placename,control,doubled,longitude,latitude
Dingle,0.9833162,0.0166837782,-10.2640135,52.14094
Tralee,0.9835301,0.0164699424, -9.6999325,52.27131
Killarney,0.9835301,0.0164699424, -9.5044265,52.05994
Bantry,0.9820724,0.0179275726, -9.4539805,51.68035
Mayo,0.9845111,0.0154888674, -9.4289369,54.01526
Ballycastle,0.9806576,0.0193423598, -9.3724643,54.27967
Abbeyfeale,0.9829725,0.0170274872, -9.2970823,52.38618
Ennistymon,0.9864025,0.0135975136, -9.2934951,52.94037
Galway,0.9890488,0.0109511890, -9.0567905,53.27067
Claremorris,0.9915617,0.0084383438, -9.0017356,53.72388
Clare,0.9858060,0.0141940262, -8.9811351,52.90453
Adare,0.9830070,0.0169930409, -8.7925892,52.56363
Charleville,0.9821152,0.0178848217, -8.6810176,52.36206
Mallow,0.9800555,0.0199444683, -8.6539164,52.13898
Limerick,0.9815468,0.0184532109, -8.6267343,52.66384
Loughrea,0.9865817,0.0134183160, -8.5660931,53.19891
Sligo,0.9720566,0.0279433681, -8.4760888,54.27661
Cork,0.9785297,0.0214703193, -8.4756035,51.89851
Nenagh,0.9808353,0.0191647369, -8.1983400,52.86350
Roscommon,0.9874221,0.0125778630, -8.1890955,53.62759
Tipperary,0.9798427,0.0201573060, -8.1618514,52.47379
Donegal,0.9575459,0.0424541222, -8.1096143,54.65383
Leitrim,0.9763247,0.0236753100, -8.0020132,54.12469
Athlone,0.9843673,0.0156327135, -7.9406898,53.42393
Longford,0.9820491,0.0179509341, -7.7932573,53.72763
Offaly,0.9809613,0.0190386844, -7.7122229,53.23569
Fermanagh,0.9594064,0.0405936272, -7.6318728,54.34383
Enniskillen,0.9594064,0.0405936272, -7.6315336,54.34382
Doon,0.9666941,0.0333059211, -7.6096400,54.18593
Westmeath,0.9661206,0.0338794065, -7.4653217,53.53453
Strabane,0.9537911,0.0462088840, -7.4633103,54.82739
Balivanich,0.9991485,0.0008515470, -7.3743509,57.47227
Cavan,0.9700670,0.0299329502, -7.3633319,53.98972
Mullingar,0.9682155,0.0317844710, -7.3401868,53.52582
Laois,0.9640340,0.0359659639, -7.3323007,52.99430
Omagh,0.9409913,0.0590086546, -7.3099597,54.59771
Derry,0.9461776,0.0538223861, -7.3085748,54.99661
Derry,0.9461776,0.0538223861, -7.3085748,54.99661
Kilkenny,0.9664459,0.0335541224, -7.2447879,52.65415
Tyrone,0.9417476,0.0582524272, -7.1312320,54.49121
Waterford,0.9727224,0.0272776256, -7.1100702,52.25932
Western Isles,1.0000000,0.0000000000, -7.0194034,57.75989
Monaghan,0.9506680,0.0493319630, -6.9683132,54.24920
Carlow,0.9619449,0.0380551451, -6.9341359,52.83651
Kildare,0.9659197,0.0340803470, -6.8194708,53.21204
Dungannon,0.9339571,0.0660429279, -6.7669352,54.50827
Cookstown,0.9370427,0.0629572911, -6.7443895,54.64182
Coleraine,0.9391212,0.0608787718, -6.6646103,55.13258
Meath,0.9660338,0.0339662080, -6.6564169,53.60555
Armagh,0.9354764,0.0645236296, -6.6527920,54.35028
Armagh,0.9354764,0.0645236296, -6.6527920,54.35028
Magherafelt,0.9320103,0.0679897097, -6.6079805,54.75537
Dunvegan,1.0000000,0.0000000000, -6.5813982,57.43660
Louth,0.9653921,0.0346079176, -6.4889423,53.92523
Wexford,0.9632247,0.0367753101, -6.4633381,52.33692
Craigavon,0.9351371,0.0648628614, -6.4175653,54.44293
Stornoway,1.0000000,0.0000000000, -6.3848692,58.20943
Drogheda,0.9637700,0.0362299607, -6.3560985,53.71786
Rosslare,0.9627110,0.0372890226, -6.3414908,52.25131
Newry,0.9376011,0.0623988907, -6.3402300,54.17510
Scilly Isles,0.9975952,0.0024048096, -6.3274966,49.92773
Ballymena,0.9368459,0.0631540960, -6.2802213,54.86529
Banbridge,0.9348610,0.0651389631, -6.2704803,54.34873
Dublin,0.9659448,0.0340551869, -6.2603097,53.34981
Antrim,0.9359678,0.0640321990, -6.2072498,54.71953
Antrim,0.9359678,0.0640321990, -6.2072498,54.71953
Portree,1.0000000,0.0000000000, -6.1960231,57.41247
Islay,0.9772826,0.0227174383, -6.1770670,55.73625
Wicklow,0.9619647,0.0380353475, -6.0445890,52.98082
Kilkeel,0.9406536,0.0593463769, -6.0070040,54.06312
Mull,0.9989510,0.0010489510, -6.0008870,56.43920
Belfast,0.9400315,0.0599685411, -5.9301200,54.59728
Broadford,1.0000000,0.0000000000, -5.9096592,57.24139
Down,0.9386853,0.0613147490, -5.7156922,54.32875
Kyle of Lochalsh,1.0000000,0.0000000000, -5.7143293,57.28261
Campbeltown,0.9848539,0.0151461155, -5.6053740,55.42412
Penzance,0.9975952,0.0024048096, -5.5375920,50.11880
