index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
0,Dingle,-10.264013499999999,52.14094,0.01,0.12332031752557089,0.01,0.01,0.01,0.01,0.11376243236418769,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.17326524578635036,0.01,0.01,0.01,0.01,0.17726969055097913,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.25318250611406024,0.01,0.01,0.01,0.01,0.2788881383483789,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.12946031852757708,0.01,0.01,0.01,0.01,0.12156972416498045,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.01,0.01,0.01,0.1918080058969759,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.040267884450879754,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.058968846970240414,0.01,0.01,0.01,0.01,0.03193659743819519,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.058968846970240414,0.01,0.01,0.01,0.01,0.03193659743819519,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.42416064611899196,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.01,0.01,0.01,0.2874268050199892,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.22981299061222193,0.01,0.01,0.01,0.01,0.24917273167232362,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.11642517166481328,0.01,0.01,0.01,0.01,0.10499493937414199,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.058968846970240414,0.01,0.01,0.01,0.01,0.03193659743819519,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.15205601560584625,0.01,0.01,0.01,0.01,0.150301185360952,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
