index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
0,Dingle,-10.264013499999999,52.14094,0.01,0.376811616490904,0.01,0.01,0.01,0.01,0.77068190628007,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.38327291005150754,0.01,0.01,0.01,0.01,0.7908770961302296,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.3906107901056207,0.01,0.01,0.01,0.01,0.8138121136155942,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.3777281788395113,0.01,0.01,0.01,0.01,0.7735466810292775,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.01,0.01,0.01,0.9212257580786442,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.854149381248206,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.36316474599132076,0.01,0.01,0.01,0.01,0.7280277321561687,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.36316474599132076,0.01,0.01,0.01,0.01,0.7280277321561687,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.9677009684619381,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.01,0.01,0.01,0.9441052595898083,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.38872393280167783,0.01,0.01,0.01,0.01,0.8079146193884895,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.37572915479401187,0.01,0.01,0.01,0.01,0.7672986024154147,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.36316474599132076,0.01,0.01,0.01,0.01,0.7280277321561687,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.3807787742591851,0.01,0.01,0.01,0.01,0.783081513811366,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.01,0.3947230862950981,0.01,0.01,0.01,0.01,0.8266653606454082,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.01,0.01,0.01,0.01,0.854149381248206,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.38981226677319375,0.01,0.01,0.01,0.01,0.81131627742631,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.01,0.3990003978663733,0.01,0.01,0.01,0.01,0.8400343738963892,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.01,0.01,0.01,0.01,0.01,0.9293695466331253,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.9321576017540236,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.01,0.38942318614384874,0.01,0.01,0.01,0.01,0.8101001808191921,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.01,0.3912723154445264,0.01,0.01,0.01,0.16690489306887052,0.679996768914833,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.01,0.3834939905727497,0.01,0.01,0.01,0.01,0.7915680975615654,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.9269676518230262,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.9306513272333268,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.9434715999322002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.3803554860952627,0.01,0.01,0.01,0.01,0.7817584993481536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.38424318550380837,0.01,0.01,0.01,0.01,0.7939097546501334,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.01,0.37608743363800673,0.01,0.01,0.01,0.01,0.7684184260553572,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.9275861750998272,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.01,0.38496254089988774,0.01,0.01,0.01,0.16421333477534514,0.6624664512338804,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
31,Cavan,-7.3633319,53.98972,0.01,0.386902063655287,0.01,0.01,0.01,0.01,0.8022202498402852,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.9263193657919571,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
33,Laois,-7.332300699999999,52.99429,0.01,0.01,0.01,0.01,0.01,0.01,0.9416714664566584,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
34,Omagh,-7.309959700000001,54.59771,0.01,0.385973871143248,0.01,0.01,0.01,0.01,0.799319124264995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
35,Derry,-7.308574799999999,54.99661,0.01,0.01,0.01,0.01,0.01,0.8386098561099057,0.27567387086633716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.01,0.01,0.01,0.01,0.01,0.8386098561099057,0.27567387086633716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
37,Kilkenny,-7.2447879,52.65415,0.01,0.01,0.01,0.01,0.01,0.01,0.9498684713042189,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.3809422588037055,0.01,0.01,0.01,0.01,0.783592495301866,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
39,Waterford,-7.110070200000001,52.25932,0.01,0.39265032985988396,0.01,0.01,0.01,0.01,0.8201868266909195,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.01,0.3862842830537196,0.01,0.01,0.01,0.01,0.800289336716252,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.9443642159261402,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.9575700090518167,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.7628462512111878,0.01,0.01,0.01,0.16270352764639123,0.5201704565825842,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.7695302631274127,0.01,0.01,0.01,0.3282582518894063,0.39467171726378836,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.3907138453225519,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.9497960548883092,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.643630032365923,0.01,0.01,0.01,0.01,0.621138810339668,0.01,0.01,0.7390738173020975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.643630032365923,0.01,0.01,0.01,0.01,0.621138810339668,0.01,0.01,0.7390738173020975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
