index,placename,longitude,latitude,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen
0,Dingle,-10.264013499999999,52.14094,0.01,0.01,0.01,0.06450300876420915,0.01,0.01,0.01,0.01,0.126818657161593,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.01,0.01,0.09062683174791861,0.01,0.01,0.01,0.01,0.19704305792200918,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.01,0.01,0.13242775998718434,0.01,0.01,0.01,0.01,0.30940965674110654,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1556768299127865,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.260839422396445,0.01,0.01,0.01,0.01,0.13521109085437094,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.12337522735126019,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.01,0.030843806837815048,0.01,0.01,0.01,0.01,0.03633812960523768,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.01,0.030843806837815048,0.01,0.01,0.01,0.01,0.03633812960523768,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4700475916232647,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.3670384201883983,0.01,0.01,0.01,0.01,0.2092237492983242,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.01,0.01,0.12020427489181204,0.01,0.01,0.01,0.01,0.27655126091742943,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.01,0.01,0.060896485015235466,0.01,0.01,0.01,0.01,0.11712382921631787,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.01,0.030843806837815048,0.01,0.01,0.01,0.01,0.03633812960523768,0.01,0.01,0.01
