index,placename,longitude,latitude,'ee,deesel,theesen,you,yoursel,yourself,yourselfs,yoursels,yourselves,yoursen,yoursens,yous
0,Dingle,-10.264013499999999,52.14094,0.01,0.01,0.01,0.01,0.01,0.9443890745620248,0.01,0.01,0.09072058306650253,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.01,0.01,0.01,0.01,0.9605827766113332,0.01,0.01,0.09995683393115312,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.01,0.01,0.01,0.01,0.9789734351002771,0.01,0.01,0.11044614235814469,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.01,0.01,0.01,0.9466862210147818,0.01,0.01,0.09203078507256023,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9189385196535661,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8499145561150929,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.01,0.01,0.01,0.9101864257111493,0.01,0.01,0.07121273711130703,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.01,0.01,0.01,0.9101864257111493,0.01,0.01,0.07121273711130703,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.3307111962212329,0.01,0.01,0.6838261618003109,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.942482335713834,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.01,0.01,0.01,0.01,0.97424447414176,0.01,0.01,0.10774892898414244,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.01,0.01,0.01,0.01,0.9416761406835612,0.01,0.01,0.08917323226281343,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.01,0.01,0.01,0.9101864257111493,0.01,0.01,0.07121273711130703,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.01,0.01,0.01,0.01,0.9543318159464826,0.01,0.01,0.09639153177418967,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.01,0.01,0.01,0.01,0.01,0.9892799315636078,0.01,0.01,0.11632456265889514,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.01,0.01,0.01,0.30339547523704974,0.01,0.01,0.590347283113831,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9451443984654918,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.12243886815020615,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.01,0.01,0.01,0.01,0.6429805467704707,0.01,0.01,0.37722253606484046,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9301877733388857,0.01,0.01,0.01
