index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
0,Dingle,-10.264013499999999,52.14094,0.01,0.01,0.01,0.01,0.01,0.01,0.11752965290843029
1,Tralee,-9.6999325,52.27131,0.01,0.01,0.01,0.01,0.01,0.01,0.1862556575338912
2,Killarney,-9.5044265,52.059940000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.29622466127854963
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.01,0.01,0.01,0.01,0.12597851352268372
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.01,0.01,0.15796126461883253,0.13845061619740948
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01,0.0560359322490203,0.015455855816340871
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.0289797316842201
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.01,0.01,0.01,0.0560359322490203,0.015455855816340871
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.6284815852425636,0.2511956261400639
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.01,0.01,0.22227411977833003,0.21605786089163975
10,Clare,-8.9811351,52.90453,0.01,0.01,0.01,0.01,0.01,0.01,0.26406737351375076
11,Adare,-8.7925892,52.56363,0.01,0.01,0.01,0.01,0.01,0.01,0.10804168600525672
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.01,0.01,0.01,0.0560359322490203,0.015455855816340871
13,Mallow,-8.6539164,52.13898,0.01,0.01,0.01,0.01,0.01,0.14449325408796326,0.12219857473195937
14,Limerick,-8.6267343,52.66384,0.01,0.01,0.01,0.01,0.01,0.01,0.3774018364956718
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.01,0.01,0.01,0.11207186113588473,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.01,0.01,0.01,0.01,0.2309420265272324,0.22651754828042914
17,Cork,-8.4756035,51.898509999999995,0.01,0.01,0.01,0.01,0.01,0.36800991213376216,0.39191933166581217
18,Nenagh,-8.19834,52.8635,0.01,0.01,0.01,0.01,0.01,0.1785012946167502,0.16323656498046274
