index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
0,Dingle,-10.264013499999999,52.14094,0.01,0.01,0.01,0.01,0.01,0.01,0.9016639568331697
1,Tralee,-9.6999325,52.27131,0.01,0.01,0.01,0.01,0.01,0.01,0.9277681022158845
2,Killarney,-9.5044265,52.059940000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.9574137274977049
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.01,0.01,0.01,0.01,0.9053669424003715
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.01,0.01,0.01,0.4500082987594313,0.66702045933692
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01,0.42728369716195097,0.601993659558848
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.84652950299682
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.01,0.01,0.01,0.42728369716195097,0.601993659558848
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.01,0.01,0.01,0.9315069597832867,0.4455235065069549
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.01,0.01,0.01,0.4577595754556143,0.6892008577736086
10,Clare,-8.9811351,52.90453,0.01,0.01,0.01,0.01,0.01,0.01,0.9497906723127675
11,Adare,-8.7925892,52.56363,0.01,0.01,0.01,0.01,0.01,0.01,0.897290724562904
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.01,0.01,0.01,0.42728369716195097,0.601993659558848
13,Mallow,-8.6539164,52.13898,0.01,0.01,0.01,0.01,0.01,0.44800758956418346,0.6612953989570732
14,Limerick,-8.6267343,52.66384,0.01,0.01,0.01,0.01,0.01,0.01,0.9740277346744465
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.01,0.01,0.01,0.8545673686868808,0.3574579628423525
16,Sligo,-8.476088800000001,54.27661,0.01,0.01,0.01,0.01,0.01,0.4586360002848723,0.6917087610100291
17,Cork,-8.4756035,51.898509999999995,0.01,0.01,0.01,0.01,0.01,0.46944635196916346,0.7226427499510227
18,Nenagh,-8.19834,52.8635,0.01,0.01,0.01,0.01,0.01,0.4527673081028032,0.6749154073467968
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.01,0.01,0.01,0.01,0.9074237024039848,0.4179576574544787
20,Tipperary,-8.161851400000002,52.47379,0.01,0.01,0.01,0.01,0.01,0.45817822509706646,0.6903988302130852
21,Donegal,-8.1096143,54.653830000000006,0.01,0.01,0.01,0.01,0.01,0.46035382945526854,0.6966243558131817
22,Leitrim,-8.0020132,54.12469,0.01,0.01,0.01,0.01,0.01,0.45120219388043503,0.6704368087350159
23,Athlone,-7.9406898,53.423930000000006,0.01,0.01,0.01,0.01,0.01,0.903907127820574,0.41393256389585625
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.01,0.01,0.01,0.01,0.9064030901118535,0.41678945815556767
25,Offaly,-7.7122229,53.235690000000005,0.01,0.01,0.01,0.01,0.01,0.9150897722041005,0.42673228954047504
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.01,0.01,0.01,0.01,0.44750956729290825,0.6598703005068183
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.01,0.01,0.01,0.01,0.4520836637465806,0.6729591484227052
28,Doon,-7.60964,54.185930000000006,0.01,0.01,0.01,0.01,0.01,0.4424879641396631,0.6455009052322621
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.01,0.01,0.01,0.01,0.9043262230456465,0.41441226294698585
30,Strabane,-7.4633103,54.82739,0.01,0.01,0.01,0.01,0.01,0.45293002572582836,0.6753810263477472
31,Cavan,-7.3633319,53.98972,0.01,0.01,0.01,0.01,0.01,0.4552119830545734,0.6819108826218772
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.01,0.01,0.01,0.01,0.9034678661302017,0.4134297821807155
