index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
0,Dingle,-10.264013499999999,52.14094,0.01,0.01,0.12278787911520807,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.01,0.19100051100101786,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.01,0.300148063112677,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.13117362803332686,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.01,0.18139062812096524,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.034899412254633624,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.034899412254633624,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.034899412254633624,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.01,0.40600190895580907,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.01,0.2738236683583735,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.01,0.26823098536749934,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.01,0.11337078587316679,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.034899412254633624,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.01,0.1620338579040262,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.01,0.01,0.3807188572508253,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.034899412254633624,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.01,0.2862815350058485,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.01,0.01,0.48328105172927666,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.01,0.21091159114719973,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.01,0.22183060361142812,0.01,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.01,0.01,0.2797180633610038,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.01,0.10383535086459811,0.2762818167189264,0.01,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.01,0.01,0.1937454885184752,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.01,0.01,0.20184575074272118,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.01,0.2158778337667506,0.01,0.01,0.01
