,Unnamed:_0,Unnamed:_0,placename,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen,longitude,latitude
0,0,0,Dingle,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-10.264013499999999,52.14094
1,1,1,Tralee,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-9.6999325,52.27131
2,2,2,Killarney,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-9.5044265,52.05994000000001
3,3,3,Bantry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-9.4539805,51.68035
4,4,4,Mayo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.25,0.7499999990625001,0.01,0.01,0.5,0.01,0.01,0.01,-9.4289369,54.01526
5,5,5,Ballycastle,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.7499999990625001,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-9.3724643,54.279669999999996
6,6,6,Abbeyfeale,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-9.2970823,52.386179999999996
7,7,7,Ennistymon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333337499999993,1.0,0.01,0.01,0.583333375,0.01,0.01,0.01,-9.2934951,52.940369999999994
8,8,8,Galway,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999990625001,0.01,0.01,1.0,0.01,0.01,0.01,-9.0567905,53.270669999999996
9,9,9,Claremorris,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.25,0.7499999990625001,0.01,0.01,0.5,0.01,0.01,0.01,-9.0017356,53.72388
