index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emselves,him,himself,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens
0,Dingle,-10.264013499999999,52.14094,0.15245360400909128,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0585933853680989,0.01,0.01,0.01,0.01,0.16465919130533935,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.21419756046421878,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0823238013083522,0.01,0.01,0.01,0.01,0.23793436002116652,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.3129945357231076,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12029502069783543,0.01,0.01,0.01,0.01,0.3551825158948462,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.08002206178070206,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18453208243946362,0.01,0.01,0.01,0.01,0.17366730534222857,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.10274949642879466,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23694188981999206,0.5026758574605786,0.01,0.01,0.01,0.17883572279457108,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.07289969264804742,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05603593056794237,0.17832163068489967,0.01,0.01,0.01,0.03564217254625143,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.07289969264804742,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.028017965283971186,0.01,0.01,0.01,0.01,0.07024790619080487,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.07289969264804742,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.028017965283971186,0.17832163068489967,0.01,0.01,0.01,0.05294503936852815,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.5110126879171464,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.37186072762010747,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.1445832554676454,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3334111696651599,0.7073369159235413,0.01,0.01,0.01,0.2582702372657469,0.01,0.01
10,Clare,-8.9811351,52.90453,0.2841041879386655,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10919142434696615,0.6949538501104914,0.01,0.01,0.01,0.25346403315485466,0.01,0.01
11,Adare,-8.7925892,52.56363,0.14392954359688145,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05531728337051161,0.3520693981775889,0.01,0.01,0.01,0.12038126614701014,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.07289969264804742,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.028017965283971186,0.01,0.01,0.01,0.01,0.07024790619080487,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.1879778454638436,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2167398746297486,0.01,0.01,0.01,0.01,0.11758416214853522,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.3859247169415773,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1483247038324123,0.9440194100526659,0.01,0.01,0.01,0.3501331404783592,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.09112461581005929,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17832163068489967,0.01,0.01,0.01,0.05294503936852815,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.15022149251069883,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.6885788588048092,0.01,0.01,0.01,0.01,0.4618840391979435,0.01,0.01,0.01,0.01,0.19766554224329383,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.4787608309390667,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5520148516401975,0.01,0.01,0.01,0.01,0.324637680034522,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.2902755649939946,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5680398390441898,0.01,0.01,0.01,0.20420525904143186,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.30263000381796706,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5922162227545988,0.01,0.01,0.01,0.2135887700822131,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.29450193427712834,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11318765101624818,0.01,0.01,0.01,0.01,0.3332362628727636,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.1618841947269081,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.7420378549071529,0.01,0.01,0.01,0.32263126761355043,0.43552529622393943,0.01,0.01,0.01,0.2472149764041376,0.1758510255448596,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.10834111444222985,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.49660937125197796,0.01,0.01,0.01,0.01,0.33311499382300336,0.01,0.01,0.01,0.01,0.13802326575108484,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.28001791843191215,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5479666651198946,0.01,0.01,0.01,0.1964143151435217,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.2958946757724876,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09097834520132256,0.01,0.01,0.01,0.01,0.20847311683575365,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.3580829382618056,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2201985762862146,0.7007319910613722,0.01,0.01,0.01,0.11972012932292726,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.09192121073096358,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.4213445181991877,0.01,0.01,0.01,0.01,0.2826289327231855,0.01,0.01,0.01,0.01,0.11463951225388071,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.11265371634863754,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.5163772916045344,0.01,0.01,0.01,0.01,0.3463748939524237,0.01,0.01,0.01,0.01,0.14416488641368452,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.0733497249434376,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.33621733515663066,0.01,0.01,0.01,0.01,0.22552743062728012,0.01,0.01,0.01,0.01,0.08819166862649278,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.2826259854578778,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08689863851291901,0.01,0.01,0.01,0.01,0.1983952084954528,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.11694764615483659,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.5360596235819638,0.01,0.01,0.01,0.23307381790425225,0.3146302103191767,0.01,0.01,0.01,0.1785919226608834,0.12252219196875894,0.01,0.01
31,Cavan,-7.3633319,53.98972,0.12931323150252627,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.5927404653500565,0.01,0.01,0.01,0.01,0.39759768519056465,0.01,0.01,0.01,0.01,0.16788987302698474,0.01,0.01
32,Mullingar,-7.340186800000001,53.525819999999996,0.2773089023288023,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2557914059548829,0.01,0.01,0.01,0.01,0.0890451602375209,0.01,0.01
33,Laois,-7.332300699999999,52.99429,0.3486570737020519,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42880452005885794,0.01,0.01,0.01,0.01,0.049937054632215344,0.01,0.01
34,Omagh,-7.309959700000001,54.59771,0.12324807803752069,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.5649392740450764,0.01,0.01,0.01,0.01,0.3789492379281154,0.01,0.01,0.01,0.01,0.15925242569219356,0.01,0.01
35,Derry,-7.308574799999999,54.99661,0.3569868571460966,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.35573306719880293,0.3430071172810772,0.01,0.01,0.01,0.272579103892254,0.11083073440197347,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.3569868571460966,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.35573306719880293,0.3430071172810772,0.01,0.01,0.01,0.272579103892254,0.11083073440197347,0.01,0.01
37,Kilkenny,-7.2447879,52.65415,0.393575002083456,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48404794454215366,0.01,0.01,0.01,0.01,0.058466132377091876,0.01,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.09479929201073704,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.4345369441966378,0.01,0.01,0.01,0.01,0.2914781312261699,0.01,0.01,0.01,0.01,0.11873821736047421,0.01,0.01
39,Waterford,-7.110070200000001,52.25932,0.6078681918347443,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.133500307280591,0.01,0.01,0.01,0.01,0.14862335006273392,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.12524569421533718,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.5740958617281133,0.01,0.01,0.01,0.01,0.38509128200953285,0.01,0.01,0.01,0.01,0.16209725140527234,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.3628461554006182,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.446255312905898,0.01,0.01,0.01,0.01,0.05263129689352094,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.4407440910855993,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5420600145581551,0.01,0.01,0.01,0.01,0.06742266358303312,0.01,0.01
