index,placename,longitude,latitude,after_perfective,after_perfective_with_modifier,control
0,Dingle,-10.264013499999999,52.14094,0.24713161374348802,0.23439603946901658,0.07345878248737195
1,Tralee,-9.6999325,52.27131,0.31224590136248015,0.3728132285672634,0.1328390903949371
2,Killarney,-9.5044265,52.059940000000005,0.5121277995608646,0.5230388551471441,0.2199099552449421
3,Bantry,-9.4539805,51.68035,0.26538064211615947,0.2792065657932959,0.07945064319758251
4,Mayo,-9.4289369,54.01526,0.15045084661521554,0.43150043556031337,0.13760169777980438
5,Ballycastle,-9.3724643,54.279669999999996,0.04311904275080919,0.20817368827675314,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.05761426467149684,0.1804350808755922,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.03332873606815605,0.11123020334011097,0.01
8,Galway,-9.0567905,53.270669999999996,0.22387350649872373,0.486170416210931,0.35137254830284975
9,Claremorris,-9.0017356,53.72388,0.24034190557555032,0.5841630666034178,0.21836377932640688
10,Clare,-8.9811351,52.90453,0.29036747850929573,0.41867780959706846,0.21035791195959674
11,Adare,-8.7925892,52.56363,0.1382073306242975,0.2481145596247237,0.07409455542455397
12,Charleville,-8.681017599999999,52.36206,0.07922139567084406,0.14825866079542072,0.01
13,Mallow,-8.6539164,52.13898,0.3937268948688013,0.33666276343188234,0.09722112911320283
14,Limerick,-8.6267343,52.66384,0.37722221954037377,0.6638474335480257,0.30996335028901384
15,Loughrea,-8.5660931,53.19891,0.039921488745998907,0.08669470140948961,0.01
16,Sligo,-8.476088800000001,54.27661,0.1394819906341704,0.7228467527618266,0.23818837464612827
17,Cork,-8.4756035,51.898509999999995,1.0,0.8550667171802128,0.3508413018872008
18,Nenagh,-8.19834,52.8635,0.25439142779973606,0.48821295610749355,0.15632324566807423
19,Roscommon,-8.1890955,53.627590000000005,0.30133016721999983,0.575261292533892,0.16160737612426235
20,Tipperary,-8.161851400000002,52.47379,0.3388152177693364,0.5701837721216229,0.21522909684411198
21,Donegal,-8.1096143,54.653830000000006,0.11829063589891613,0.724270111099339,0.2655198649982654
22,Leitrim,-8.0020132,54.12469,0.11302036409481678,0.39399200638110377,0.15372529975884416
23,Athlone,-7.9406898,53.423930000000006,0.28450750547904247,0.37430345572578194,0.1460737503007191
24,Longford,-7.7932573000000005,53.727630000000005,0.2703134185842965,0.6091424378115401,0.15817846341161607
25,Offaly,-7.7122229,53.235690000000005,0.22150832149406804,0.5256052431246309,0.21792622208031434
26,Fermanagh,-7.6318728,54.343830000000004,0.04991856605714418,0.2753248177827429,0.1253619703926655
27,Enniskillen,-7.631533599999999,54.343819999999994,0.061177522972268375,0.3374233615897055,0.16864616439226593
28,Doon,-7.60964,54.185930000000006,0.07209331823360422,0.2131620476284257,0.08368541821406315
29,Westmeath,-7.4653217000000005,53.534530000000004,0.3137111877732944,0.39907784087414894,0.1453191897347153
30,Strabane,-7.4633103,54.82739,0.010078246485320016,0.5058358751405698,0.18055077753906051
31,Cavan,-7.3633319,53.98972,0.18124772585630053,0.528166878547421,0.19132250645542706
32,Mullingar,-7.340186800000001,53.525819999999996,0.2675703162825024,0.49655607366124027,0.14370452559070895
33,Laois,-7.332300699999999,52.99429,0.33644453159244225,0.9273444369626408,0.19388142182369544
34,Omagh,-7.309959700000001,54.59771,0.02102393900584542,0.45223269146200906,0.1939438308310689
35,Derry,-7.308574799999999,54.99661,0.010143136234114346,0.581820281253067,0.3135328843890561
36,Derry,-7.308574799999999,54.99661,0.010143136234114346,0.581820281253067,0.3135328843890561
37,Kilkenny,-7.2447879,52.65415,0.42913113742245684,1.0,0.223466588633717
38,Tyrone,-7.131232000000001,54.491209999999995,0.01567788580453495,0.26229553221203616,0.1349671189984165
39,Waterford,-7.110070200000001,52.25932,0.5456036428281704,0.5403853873383273,0.253979937464466
40,Monaghan,-6.9683132,54.2492,0.07538961015290772,0.4804913639354154,0.1928907848775741
41,Carlow,-6.934135899999999,52.83651,0.334415483421867,0.693925581820395,0.209439542486898
42,Kildare,-6.8194707999999995,53.21204,0.318208468395628,0.5528297300861545,0.2805895701976378
43,Dungannon,-6.7669352,54.508269999999996,0.013438137293784413,0.2890592954495563,0.1401014285556449
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01474230444220367,0.3435384467643992,0.1796174332932119
45,Coleraine,-6.6646103000000005,55.132580000000004,0.06668374268422962,0.11953266070385501,0.2681896910776884
46,Meath,-6.656416900000001,53.60555,0.2545649810630564,0.5887942735989152,0.24458494002052564
