,placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
0,Dingle,0.7739309153842325,0.4624448746231043,0.21706147408914925,-10.2640135,52.14094
1,Tralee,0.6959752760288838,0.5235090460706495,0.2746335124320862,-9.6999325,52.27131
2,Killarney,0.7811837149963677,0.5026255874575485,0.2026340095852321,-9.5044265,52.05994000000001
3,Bantry,0.7916643599997905,0.5247268545164927,0.18889865041964785,-9.4539805,51.68035
4,Mayo,0.3495397119178367,0.6315662842371987,0.5627838772031728,-9.4289369,54.01526
5,Ballycastle,0.2823936971903496,0.8589097570220515,0.577809228505518,-9.3724643,54.27967
6,Abbeyfeale,0.3773252877043984,0.7444622457141502,0.5156290014689069,-9.2970823,52.38618
7,Ennistymon,0.21827536977943032,0.4589278679511042,0.714209108026067,-9.2934951,52.94037
8,Galway,0.26145239052446256,0.3576961408481676,0.6956550719393634,-9.0567905,53.27067
9,Claremorris,0.3968195781891161,0.6076220105061131,0.5252778820474088,-9.0017356,53.72388
10,Clare,0.4879574166692229,0.4432509800301309,0.4763619214768656,-8.9811351,52.90453
11,Adare,0.4584507805717629,0.5185011194663428,0.4878405461467871,-8.7925892,52.56363
12,Charleville,0.5188339395509742,0.6117046365192818,0.4154561505411801,-8.681017599999999,52.36206
13,Mallow,1.0,0.5386861542619353,0.01,-8.6539164,52.13898
14,Limerick,0.4666661042727609,0.5173841059529236,0.4807215335971781,-8.6267343,52.66384
15,Loughrea,0.26145239052446256,0.3576961408481676,0.6956550719393634,-8.5660931,53.19891
16,Sligo,0.22164995853875905,0.7236549929287454,0.6588331635227909,-8.476088800000001,54.27661
17,Cork,0.9972245778855374,0.5371910728431426,0.01,-8.4756035,51.89851
18,Nenagh,0.5230143352822955,0.632348119203349,0.407638016378991,-8.19834,52.8635
19,Roscommon,0.594226790690908,0.7146782728281521,0.3277291678047228,-8.1890955,53.62759000000001
20,Tipperary,0.5492705857132508,0.5823366154068973,0.3940715489578075,-8.161851400000002,52.47379
21,Donegal,0.17443254100028602,0.6728426538283072,0.7110698264624795,-8.1096143,54.653830000000006
22,Leitrim,0.24902617248245104,0.5469045204774574,0.6693335190975463,-8.0020132,54.12469
23,Athlone,0.6063585472161349,0.5025686842480939,0.35884333712045063,-7.9406898,53.42393000000001
24,Longford,0.5451952370465228,0.7739967126035476,0.3598035643675501,-7.7932573,53.72763000000001
25,Offaly,0.36917137277566897,0.551865786186498,0.5610082586559524,-7.7122229,53.23569000000001
26,Fermanagh,0.1296366965352278,0.450450450468712,0.7950801884972187,-7.6318728,54.34383
27,Enniskillen,0.1296366965352278,0.450450450468712,0.7950801884972187,-7.631533599999999,54.34382
28,Doon,0.234627069199834,0.4370476555374116,0.7039272592778953,-7.60964,54.185930000000006
29,Westmeath,0.6624292735627445,0.5308880307828642,0.3031456463266544,-7.4653217,53.53453
30,Strabane,0.020571932034899626,0.6504823894720877,0.8529594394197342,-7.4633103,54.82739
31,Cavan,0.3345886398757617,0.6142506141373101,0.579567306367118,-7.3633319,53.98972
32,Mullingar,0.5758318983029684,0.6732275753654369,0.35236230436497434,-7.3401868000000015,53.52582
33,Laois,0.5758860942701851,1.0,0.2876812767213551,-7.3323006999999985,52.99429
34,Omagh,0.04072072695676464,0.55182223956488,0.8544719476826501,-7.309959700000001,54.59771
35,Derry,0.013565369163226194,0.4902120982694079,0.8909199889142865,-7.308574799999999,54.99661
36,Derry,0.013565369163226194,0.4902120982694079,0.8909199889142865,-7.308574799999999,54.99661
37,Kilkenny,0.6507049644330759,0.955278279902426,0.2296797421619453,-7.2447879,52.65415
38,Tyrone,0.03947880451200192,0.4161052547790453,0.8824252854496006,-7.1312320000000025,54.49121
39,Waterford,0.7499243879133992,0.4679286359402088,0.23742570893186776,-7.110070200000001,52.25932
40,Monaghan,0.14369123694006675,0.5769526641404602,0.7575020259491896,-6.9683132,54.2492
41,Carlow,0.5500288252043671,0.7190312771352171,0.3663567645152931,-6.9341358999999985,52.83651
42,Kildare,0.430870572198386,0.4715875180344944,0.5217612251617629,-6.8194708,53.21204
43,Dungannon,0.03299576551583137,0.4471383146581809,0.8820794833616572,-6.7669352,54.50827
44,Cookstown,0.030402602375351005,0.44633047673595183,0.8845562281712436,-6.7443895000000005,54.64182
45,Coleraine,0.1011820543398143,0.11426307921332238,0.886998392772035,-6.6646103000000005,55.13258
46,Meath,0.3864170762355855,0.5630630629592008,0.5433853823944645,-6.656416900000001,53.60555
47,Armagh,0.08013257343565673,0.18098455589687631,0.8926079040334054,-6.652792,54.35028000000001
48,Armagh,0.08013257343565673,0.18098455589687631,0.8926079040334054,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.36721504101628255,0.9273675289834772,-6.607980499999999,54.75536999999999
50,Louth,0.3053523117909014,0.6140788438670542,0.6057224732767651,-6.4889423,53.925230000000006
51,Wexford,0.8339034474596244,0.3195702075743606,0.19173873800279712,-6.4633381,52.33692
52,Craigavon,0.06910817418307527,0.6243409732580794,0.8147653482252083,-6.4175653,54.44293
53,Drogheda,0.3001015227090077,0.4276044445584794,0.6472969051715453,-6.3560985,53.71786
54,Rosslare,0.8339034474596244,0.3195702075743606,0.19173873800279712,-6.3414908,52.25131
55,Newry,0.15617485306295473,0.5290963816276102,0.7558141108300707,-6.34023,54.1751
56,Ballymena,0.01,0.3378378377248448,0.9331785075482576,-6.2802213,54.86529
57,Banbridge,0.02871645119502532,0.7134374135377165,0.8332306785589177,-6.2704803,54.34873
58,Dublin,0.33520530326770065,0.31288728848708725,0.6386232867135326,-6.2603097000000005,53.34981
