index,placename,longitude,latitude,after_perfective,after_perfective_with_modifier,control
0,Dingle,-10.264013499999999,52.14094,0.2700207482437434,0.29994147417000155,0.07557885471523605
1,Tralee,-9.6999325,52.27131,0.37937958846209885,0.421418256831925,0.13330386578813533
2,Killarney,-9.5044265,52.059940000000005,0.5543655020914868,0.6157941825130336,0.22567009591355683
3,Bantry,-9.4539805,51.68035,0.30632592606328163,0.3159935487613044,0.08097072678958867
4,Mayo,-9.4289369,54.01526,0.17471359414989582,0.4706207140225572,0.13842155137677636
5,Ballycastle,-9.3724643,54.279669999999996,0.05915011361639946,0.1690902070593385,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.12911750878904016,0.1434248893065949,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.09545952364701661,0.15608478190472203,0.01
8,Galway,-9.0567905,53.270669999999996,0.43675311093905583,0.9706365690735079,0.33461566227916495
9,Claremorris,-9.0017356,53.72388,0.28353756983132833,0.6693080544883981,0.21916782723249223
10,Clare,-8.9811351,52.90453,0.36995674321694877,0.5952820909969511,0.20810643381547103
11,Adare,-8.7925892,52.56363,0.2543711943459564,0.2839905974839357,0.06764113299358014
12,Charleville,-8.681017599999999,52.36206,0.1430473308483923,0.15853629341039366,0.01
13,Mallow,-8.6539164,52.13898,0.3926341365377237,0.3926341365377238,0.10411323434240918
14,Limerick,-8.6267343,52.66384,0.6622535621102001,0.7454895883768307,0.29558548258392814
15,Loughrea,-8.5660931,53.19891,0.08098658269057028,0.17477885630338683,0.01
16,Sligo,-8.476088800000001,54.27661,0.21825774326692532,0.7760119381489611,0.23505587559398647
17,Cork,-8.4756035,51.898509999999995,1.0,1.0,0.3687332721584849
18,Nenagh,-8.19834,52.8635,0.2756836384294183,0.5539898556642726,0.15908287920259262
19,Roscommon,-8.1890955,53.627590000000005,0.2381944371929691,0.6066529559304574,0.17201426772562367
20,Tipperary,-8.161851400000002,52.47379,0.6063678294874008,0.6445515334179182,0.20136623802918174
21,Donegal,-8.1096143,54.653830000000006,0.10735488500032897,0.7308548073607084,0.26916567425898774
22,Leitrim,-8.0020132,54.12469,0.17107103294175913,0.6142110224233801,0.14922615402959413
23,Athlone,-7.9406898,53.423930000000006,0.23999967007774275,0.5337078219520808,0.15302322579236238
24,Longford,-7.7932573000000005,53.727630000000005,0.2542866860387642,0.5992866572921304,0.16504267436970077
25,Offaly,-7.7122229,53.235690000000005,0.3742009362820613,0.8106395729948042,0.2079082296865818
26,Fermanagh,-7.6318728,54.343830000000004,0.08688327910153795,0.4014593827002122,0.12213858141257782
27,Enniskillen,-7.631533599999999,54.343819999999994,0.10647949696823539,0.49200713376781624,0.16478717644803775
28,Doon,-7.60964,54.185930000000006,0.09388020139713159,0.37960447110002626,0.08144301616236618
29,Westmeath,-7.4653217000000005,53.534530000000004,0.2712395995436915,0.5771066970648622,0.1524874828899939
30,Strabane,-7.4633103,54.82739,0.0421771867308423,0.45721130981729863,0.17928965017727605
31,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.023817553977238944
32,Cavan,-7.3633319,53.98972,0.2437470356857536,0.6215639327165311,0.18941663234502615
33,Mullingar,-7.340186800000001,53.525819999999996,0.2642492549122688,0.5119873440157834,0.14911743168324806
34,Laois,-7.332300699999999,52.9943,0.352439456327194,0.7164437242640381,0.20238513684628362
35,Omagh,-7.309959700000001,54.59771,0.0526756669805661,0.536940802921959,0.19131873646055894
36,Derry,-7.308574799999999,54.99661,0.07383034306791136,0.708840829497109,0.30805303025170283
37,Derry,-7.308574799999999,54.99661,0.07383034306791136,0.708840829497109,0.30805303025170283
38,Kilkenny,-7.2447879,52.65415,0.4948535846974277,0.6994009363304975,0.23115153119070533
