,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,Unnamed:_0.1.1,placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
0,0,0,0,0,Dingle,0.8479652458216339,0.6940719838032257,0.13949213132418034,-10.264013499999999,52.14094
1,1,1,1,1,Tralee,0.8479652458216339,0.6940719838032257,0.13949213132418034,-9.6999325,52.27131
2,2,2,2,2,Killarney,0.8479652458216339,0.6940719838032257,0.13949213132418034,-9.5044265,52.05994000000001
3,3,3,3,3,Bantry,0.9163526384895222,0.6965369696598793,0.07978684134579828,-9.4539805,51.68035
4,4,4,4,4,Mayo,0.4070386153645124,0.8079175255315242,0.5009387010232662,-9.4289369,54.01526
5,5,5,5,5,Ballycastle,0.3884619607636454,0.8182734253640929,0.5151598537371407,-9.3724643,54.279669999999996
6,6,6,6,6,Abbeyfeale,0.8479652458216339,0.6940719838032257,0.13949213132418034,-9.2970823,52.386179999999996
7,7,7,7,7,Ennistymon,0.6269200760960583,0.7553366416516584,0.31993322623335285,-9.2934951,52.940369999999994
8,8,8,8,8,Galway,0.5114850551966809,0.8376077124269279,0.40505574547870615,-9.0567905,53.270669999999996
9,9,9,9,9,Claremorris,0.4694412298845615,0.8165518082713705,0.4453018273095189,-9.0017356,53.72388
10,10,10,10,10,Clare,0.6234360678706202,0.7391811269675511,0.3258790445445214,-8.9811351,52.90453
11,11,11,11,11,Adare,0.8461290248590185,0.6960808750132766,0.14071912369193434,-8.7925892,52.56363
12,12,12,12,12,Charleville,0.9394478425476078,0.7672001714914524,0.04697349000925589,-8.681017599999999,52.36206
13,13,13,13,13,Mallow,1.0,0.7368635538376844,0.01,-8.6539164,52.13898
14,14,14,14,14,Limerick,0.8215619569560612,0.6814667591576244,0.16465432189909818,-8.6267343,52.66384
15,15,15,15,15,Loughrea,0.5318706048740985,0.8458023437064116,0.3859070988006462,-8.5660931,53.19891
16,16,16,16,16,Sligo,0.3477972984388922,0.9111964575273794,0.5335635189726206,-8.476088800000001,54.27661
17,17,17,17,17,Cork,1.0,0.7368635538376844,0.01,-8.4756035,51.898509999999995
18,18,18,18,18,Nenagh,0.568367371076791,0.8416025343389184,0.3550431460792066,-8.19834,52.8635
19,19,19,19,19,Roscommon,0.4710296617853014,0.8839832503817475,0.431710339500428,-8.1890955,53.62759000000001
20,20,20,20,20,Tipperary,0.985749606747666,0.7721028984416509,0.01,-8.161851400000002,52.47379
21,21,21,21,21,Donegal,0.15874716501765526,0.7963470057259303,0.7181834655609292,-8.1096143,54.653830000000006
22,22,22,22,22,Leitrim,0.3779825890773593,1.0,0.4913204475745999,-8.0020132,54.12469
23,23,23,23,23,Athlone,0.5129245037021671,0.8404917334508315,0.4032863382850286,-7.9406898,53.42393000000001
24,24,24,24,24,Longford,0.5142983089625939,0.8931268778244148,0.3925606799892851,-7.7932573000000005,53.72763000000001
25,25,25,25,25,Offaly,0.6253884646885641,0.9982972477753912,0.2772478030369133,-7.7122229,53.23569000000001
26,26,26,26,26,Fermanagh,0.2262606778489237,0.770373915259558,0.6643873854690171,-7.6318728,54.343830000000004
27,27,27,27,27,Enniskillen,0.2262606778489237,0.770373915259558,0.6643873854690171,-7.631533599999999,54.343819999999994
28,28,28,28,28,Doon,0.30638262968454977,0.9128691323957562,0.5691469077778867,-7.60964,54.185930000000006
29,29,29,29,29,Westmeath,0.5743407486520351,0.9004502560019187,0.3392063415553813,-7.4653217000000005,53.534530000000004
30,30,30,30,30,Strabane,0.0863325839803366,0.6896062239177662,0.8002680956968627,-7.4633103,54.82739
31,31,31,31,31,Balivanich,0.02892723523457825,0.01,0.9749342116101176,-7.3743509000000005,57.472269999999995
32,32,32,32,32,Cavan,0.4512165228102196,0.847849042119565,0.455424666878589,-7.3633319,53.98972
33,33,33,33,33,Mullingar,0.5702674517225869,0.8141625378646717,0.3583671910416739,-7.3401868000000015,53.525819999999996
34,34,34,34,34,Laois,0.604943294191966,0.9061483488297676,0.3116566715498243,-7.3323006999999985,52.9943
35,35,35,35,35,Omagh,0.1023100988487946,0.7684612008588247,0.7721387923002717,-7.309959700000001,54.59771
