index,placename,longitude,latitude,aint,amnt,arent,ent,int
0,Dingle,-10.264013499999999,52.14094,0.04007434413609735,0.14355896696934545,0.09178233567728743,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.06544997770797001,0.2017005810224299,0.15714644178487572,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.09856950165725796,0.29741281478239817,0.26474830191317456,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.03476832028923914,0.13630237193717482,0.10727375973874897,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.07927608408029177,0.2174017640558126,0.1339059867418316,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01662893958668125,0.0776394781548089,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.06864648846420444,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.06864648846420444,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.10366144175949817,0.4621659697843763,0.3654558790559514,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.11175145980149141,0.32084598965441113,0.21765412397545789,0.01,0.01
10,Clare,-8.9811351,52.90453,0.09418031934595959,0.2675286294294979,0.2311518097302257,0.01,0.01
11,Adare,-8.7925892,52.56363,0.03312951652455192,0.13676433868916935,0.0841436718694724,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.06566932623730878,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.04602154329439405,0.16304781392333334,0.13685261570087026,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.126798586310685,0.3667123328352116,0.3426563787558827,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.07055333530184851,0.01070547896795538,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.11382811332511618,0.2931531980864147,0.23977402018177324,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.13577935550376044,0.4077390371822723,0.46593897441000376,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.0551703111374963,0.2091882704454209,0.18703482354984094,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.09883852486703804,0.33721418201806735,0.15054817068783463,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.07483168379037591,0.2508140335852915,0.2598242852225232,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.0776435555392759,0.1501626551726859,0.3252010177291055,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.07050444650265499,0.23697952437201247,0.15013088619187503,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.06676779276291456,0.36756548493935903,0.13231493055995236,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.06658250498028585,0.4161574575485905,0.1398408768724698,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.07737869308728147,0.4797018340240453,0.19330289231179268,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.02833796310696913,0.08526547692524764,0.15748341331391813,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.03982262163390335,0.10449680520398705,0.20870350508196464,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.01783388120553657,0.07757997071955823,0.1094811307647414,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.05234231867007883,0.34506965411209795,0.14765877809596611,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.05060685248917926,0.0775606380470385,0.22244084430511646,0.01,0.01
31,Balivanich,-7.3743509000000005,57.472269999999995,0.0466357382140498,0.010984774724075452,0.017961641044120485,0.01,0.01
32,Cavan,-7.3633319,53.98972,0.05848657911043952,0.42616999995192084,0.17382535648138947,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.041597079894147286,0.34105520793984384,0.14753045598726505,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.07442009637092077,0.39419249502779924,0.20354682535612056,0.01,0.01
35,Omagh,-7.309959700000001,54.59771,0.05454978700951203,0.08173913614306598,0.23817477068735934,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.08912341684480787,0.1183783056992855,0.37613773806363543,0.01,0.01
37,Derry,-7.308574799999999,54.99661,0.08912341684480787,0.1183783056992855,0.37613773806363543,0.01,0.01
38,Kilkenny,-7.2447879,52.65415,0.07450855868400101,0.4183440833752318,0.2509827155918365,0.01,0.01
39,Tyrone,-7.131232000000001,54.491209999999995,0.03108218951115998,0.06356004430783295,0.16972231707210905,0.01,0.01
40,Waterford,-7.110070200000001,52.25932,0.08082762524290166,0.45824216416699515,0.2866301418440513,0.01,0.01
41,Western Isles,-7.0194034,57.759890000000006,0.12613023568263051,0.022734512608037997,0.10765303070818853,0.01,0.01
42,Monaghan,-6.9683132,54.2492,0.03963553509248835,0.10079544511078092,0.2468821873689658,0.01,0.01
43,Carlow,-6.934135899999999,52.83651,0.08116555257747562,0.3981821068376581,0.2161157099215649,0.01,0.01
44,Kildare,-6.8194707999999995,53.21204,0.08746453105922306,0.4915479210397446,0.2833814764492836,0.01,0.01
45,Dungannon,-6.7669352,54.508269999999996,0.02651625917741838,0.05227001917087458,0.18173626334248016,0.01,0.01
46,Cookstown,-6.7443895000000005,54.641819999999996,0.035875311839566694,0.062233812940617944,0.22964826173449743,0.01,0.01
47,Coleraine,-6.6646103000000005,55.132580000000004,0.05731119775252373,0.08505479306891431,0.3367968746340943,0.01,0.01
48,Meath,-6.656416900000001,53.60555,0.06840769502702915,0.48353155670707537,0.23824116975415502,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.03872979131258431,0.10034162384313063,0.24539640429884058,0.01,0.01
50,Armagh,-6.652792,54.350280000000005,0.03872979131258431,0.10034162384313063,0.24539640429884058,0.01,0.01
51,Magherafelt,-6.607980499999999,54.75536999999999,0.03943289027125753,0.06602126655292809,0.2478606490616909,0.01,0.01
52,Dunvegan,-6.581398200000001,57.4366,0.040296646718130325,0.01,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.06651583588532721,0.41034749640852136,0.25948710722022816,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.08094652405537917,0.42071447797958295,0.2707611203839621,0.01,0.01
55,Craigavon,-6.4175653,54.442930000000004,0.048349007757384675,0.07879670323923367,0.29120694661797364,0.01,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.20422585968540324,0.024864552551118267,0.14505027481863406,0.07555629688409149,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.05549420570330732,0.3852707583049106,0.16755008144467967,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.01,0.09434137739407282,0.01,0.01,0.01
59,Newry,-6.34023,54.1751,0.04896881879110259,0.3324623662520544,0.23132052605039022,0.01,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.10954133190108155,0.01,0.12104759185167453,0.09291850198235882,0.01
61,Ballymena,-6.2802213,54.86529,0.04636444607826252,0.07340070998941138,0.28111161765513376,0.01,0.01
62,Banbridge,-6.2704803,54.34873,0.03636928130122316,0.070166124345571,0.2373614572256456,0.01,0.01
63,Dublin,-6.2603097000000005,53.34981,0.15111954594400473,1.0,0.5740972860889348,0.01,0.01
64,Antrim,-6.2072498,54.719530000000006,0.05047503957662718,0.07101370448729959,0.3114902278439447,0.01,0.01
65,Antrim,-6.2072498,54.719530000000006,0.05047503957662718,0.07101370448729959,0.3114902278439447,0.01,0.01
66,Portree,-6.1960231,57.41246999999999,0.16272409889618894,0.029408052357397414,0.16311804845584477,0.01,0.01
67,Islay,-6.177067,55.73625,0.11908122328542574,0.03807419768127501,0.11941809450107348,0.01,0.01
68,Wicklow,-6.044589,52.980819999999994,0.08155393506124431,0.43607507522981176,0.2435452211284874,0.01,0.01
69,Kilkeel,-6.007004,54.06312,0.021795601151027702,0.20857029701086502,0.1170335168847934,0.01,0.01
70,Mull,-6.0008870000000005,56.4392,0.1396132690826953,0.03861052811902204,0.11157039332945598,0.01,0.01
71,Belfast,-5.93012,54.597280000000005,0.10805340836454265,0.11661630815721043,0.6287798444653298,0.01,0.01
72,Broadford,-5.9096592,57.24139,0.03767563280439951,0.01,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.04246895890915778,0.15485257281105458,0.30073927083639335,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.03830604620564583,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.07369915459937489,0.030853345561167,0.16075768224235182,0.01,0.01
76,Penzance,-5.537592,50.1188,0.1836446171684577,0.01,0.24713683415984622,0.15061168071661335,0.01
