index,placename,longitude,latitude,aint,amnt,arent,ent,int
0,Dingle,-10.264013499999999,52.14094,0.10391605552208154,0.523971436771198,0.5395252349720857,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.10789408686944471,0.5329561206879999,0.5600901502499429,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.09841978913727188,0.5480975472059126,0.594747224844922,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.07469065381198244,0.475043923058528,0.5953478528796804,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.1559231472584584,0.5975193170816707,0.47904479520463883,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.16454382660041136,0.5711514641161861,0.39733071242962115,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.09551407252416359,0.504994924290804,0.49609016535336325,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.09551407252416359,0.504994924290804,0.49609016535336325,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.055051942191458696,0.6608615379113548,0.6068138968870151,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.14268436211576835,0.637476411703062,0.502253139845961,0.01,0.01
10,Clare,-8.9811351,52.90453,0.1112501237329581,0.5405359831372462,0.5774395896436938,0.01,0.01
11,Adare,-8.7925892,52.56363,0.08979067031055338,0.5272159227876517,0.5469515685987066,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.06925763113104658,0.483093559093419,0.5321049980096348,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.08010185208673859,0.48772132540716406,0.5976038884097877,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.10080430479879873,0.5538678421182147,0.6079547716594552,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.04044467006005617,0.519022560604821,0.5431410857387151,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.13705720563130094,0.5616668222162369,0.547065629795897,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.0696338880850469,0.5017965958660663,0.6821028251181631,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.06494195584352891,0.511905723914447,0.6188796197629488,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.16164599401240307,0.7931622911057656,0.39451072162724526,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.064888256385941,0.48975196567033186,0.6498934613635899,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.05336962176642795,0.2679768731923473,0.7747006822163973,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.11872379564359968,0.6193509286709743,0.5094674035343694,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.10144470674721942,0.9307451962436616,0.38123100235652735,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.08927746248719541,1.0,0.36491300559943574,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.07520652457326861,0.9616334095101856,0.41326880905132674,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.02974050549424851,0.26050009122052165,0.7527872315658627,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.031353583116894436,0.2631627215429102,0.7672254571681936,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.027138113592328296,0.2936977703561311,0.7205882057051186,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.06270078647851156,0.8661196563581237,0.4505137859048711,0.01,0.01
