,placename,control,doubled,longitude,latitude
0,Dingle,0.769291227963595,0.23070810975130696,-10.2640135,52.14094
1,Tralee,0.728227481385574,0.2717723745323602,-9.6999325,52.27131
2,Killarney,0.6940083253914319,0.30599195898768217,-9.5044265,52.05994000000001
3,Bantry,0.6837287830981152,0.31627154096346155,-9.4539805,51.68035
4,Mayo,0.8268222393505742,0.1731777919406946,-9.4289369,54.01526
5,Ballycastle,0.6426245359840939,0.3573746267517035,-9.3724643,54.27967
6,Abbeyfeale,0.7247963266013868,0.2752036830275356,-9.2970823,52.38618
7,Ennistymon,0.7828260008378575,0.2171738647983429,-9.2934951,52.94037
8,Galway,0.7886922503490013,0.2113070237918187,-9.0567905,53.27067
9,Claremorris,0.7422596514675746,0.2577404023238931,-9.0017356,53.72388
10,Clare,0.7695608096563402,0.2304388420917557,-8.9811351,52.90453
11,Adare,0.7069039491819534,0.2930958160676905,-8.7925892,52.56363
12,Charleville,0.7073152827506947,0.2926850307568235,-8.681017599999999,52.36206
13,Mallow,0.6826846286543825,0.3173148822683252,-8.6539164,52.13898
14,Limerick,0.7069039491819534,0.2930958160676905,-8.6267343,52.66384
15,Loughrea,0.7594749105507708,0.24052471011466844,-8.5660931,53.19891
16,Sligo,0.5884955696210552,0.4115047936179171,-8.476088800000001,54.27661
17,Cork,0.6826846286543825,0.3173148822683252,-8.4756035,51.89851
18,Nenagh,0.7120222044188622,0.2879772979741649,-8.19834,52.8635
19,Roscommon,0.7296032339677991,0.2703966113463918,-8.1890955,53.62759000000001
20,Tipperary,0.693286909593945,0.3067127213016999,-8.161851400000002,52.47379
21,Donegal,0.3271367513254431,0.6728624233067734,-8.1096143,54.653830000000006
22,Leitrim,0.6326145753835225,0.36738491322382905,-8.0020132,54.12469
23,Athlone,0.6815101131104033,0.3184892832327072,-7.9406898,53.42393000000001
24,Longford,0.6411867669561189,0.3588128189469175,-7.7932573,53.72763000000001
25,Offaly,0.6459835491885353,0.3540161191939813,-7.7122229,53.23569000000001
26,Fermanagh,0.3185974664383457,0.6814019475775234,-7.6318728,54.34383
27,Enniskillen,0.3185974664383457,0.6814019475775234,-7.631533599999999,54.34382
28,Doon,0.4023525748848576,0.59764652507144,-7.60964,54.185930000000006
29,Westmeath,0.6130199098103704,0.3869804396141328,-7.4653217,53.53453
30,Strabane,0.23214780670612944,0.7678517375755299,-7.4633103,54.82739
31,Balivanich,0.8860125070717731,0.11398748340763601,-7.3743509,57.47227
32,Cavan,0.4824512443156895,0.5175483748123807,-7.3633319,53.98972
33,Mullingar,0.5689882333286505,0.43101139860102017,-7.3401868000000015,53.52582
34,Laois,0.4195260677903055,0.5804733242283793,-7.3323006999999985,52.9943
35,Omagh,0.24575218987664066,0.7542475786122927,-7.309959700000001,54.59771
36,Derry,0.27972834265478586,0.7202716806801057,-7.308574799999999,54.99661
37,Derry,0.27972834265478586,0.7202716806801057,-7.308574799999999,54.99661
38,Kilkenny,0.4812628067124594,0.5187371888967662,-7.2447879,52.65415
39,Tyrone,0.2828253680169821,0.717173814172702,-7.1312320000000025,54.49121
40,Waterford,0.543032452320111,0.456967726705658,-7.110070200000001,52.25932
41,Western Isles,0.8651585279573929,0.1348418973633675,-7.0194034,57.75989000000001
42,Monaghan,0.05020294565461076,0.9497961237090796,-6.9683132,54.2492
43,Carlow,0.41752761946708894,0.5824719878329575,-6.9341358999999985,52.83651
44,Kildare,0.4436226210681258,0.5563776023395689,-6.8194708,53.21204
45,Dungannon,0.01,1.0,-6.7669352,54.50827
46,Cookstown,0.11135748937177377,0.8886415719447844,-6.7443895000000005,54.64182
47,Coleraine,0.2715029369216821,0.7284963691518063,-6.6646103000000005,55.13258
48,Meath,0.4535857529239502,0.5464136345320697,-6.656416900000001,53.60555
49,Armagh,0.11125244110652754,0.8887466239468607,-6.652792,54.35028000000001
50,Armagh,0.11125244110652754,0.8887466239468607,-6.652792,54.35028000000001
51,Magherafelt,0.02976789395947184,0.9702311675108652,-6.607980499999999,54.75536999999999
52,Dunvegan,0.8783427180669108,0.12165725916535845,-6.5813982000000015,57.4366
53,Louth,0.3613609698865869,0.6386392254463223,-6.4889423,53.925230000000006
54,Wexford,0.4001301079718978,0.599869356483251,-6.4633381,52.33692
55,Craigavon,0.0978353729150142,0.9021639274659508,-6.4175653,54.44293
56,Stornoway,0.8687314346175818,0.13126786759226067,-6.3848692000000025,58.20943000000001
57,Drogheda,0.4536945981144472,0.5463047514346079,-6.3560985,53.71786
58,Rosslare,0.4009186027821361,0.5990806254492173,-6.3414908,52.25131
59,Newry,0.0705202926669991,0.929479333810912,-6.34023,54.1751
60,Scilly Isles,0.8115674593380954,0.1884329074807348,-6.327496599999999,49.92773
61,Ballymena,0.13343914098363235,0.8665608632113252,-6.2802213,54.86529
62,Banbridge,0.05296963852006112,0.9470299247607292,-6.2704803,54.34873
63,Dublin,0.4443174583888645,0.5556827464317112,-6.2603097000000005,53.34981
64,Antrim,0.16317033133235448,0.8368293696637378,-6.2072498,54.719530000000006
65,Antrim,0.16317033133235448,0.8368293696637378,-6.2072498,54.719530000000006
66,Portree,0.9019203582272408,0.0980800273730816,-6.1960231,57.41246999999999
67,Islay,0.6272647077063661,0.37273459558817895,-6.177067,55.73625
68,Wicklow,0.4277780520001574,0.5722210764233389,-6.044589,52.98082
69,Kilkeel,0.11658332415743165,0.8834162577958488,-6.007004,54.06312
70,Mull,0.9383948878198448,0.06160502504645371,-6.0008870000000005,56.4392
71,Belfast,0.1873681359501759,0.8126313156354158,-5.93012,54.59728000000001
72,Broadford,0.901538134418748,0.09846153840701856,-5.9096592,57.24139
73,Down,0.09302846554859899,0.9069711712742744,-5.7156922,54.32875
74,Kyle of Lochalsh,0.9019203582272408,0.0980800273730816,-5.7143293,57.28261
75,Campbeltown,0.7976909631913418,0.20230834773839546,-5.6053739999999985,55.42412
76,Penzance,0.8115674593380954,0.1884329074807348,-5.537592,50.1188
77,Oban,0.8637701189576692,0.13622994106421066,-5.471047,56.41516
78,Lochgilphead,0.9535825888195748,0.046417153014121824,-5.4323449,56.03829
79,Helston,0.8115674593380954,0.1884329074807348,-5.274996,50.10159
80,Redruth,0.8115674593380954,0.1884329074807348,-5.226666000000002,50.23302
81,Ullapool,0.8681618958300911,0.13183760729085778,-5.161313,57.89542
82,Ballachulish,0.8166844489332534,0.1833155373236197,-5.1337199999999985,56.67393000000001
83,Fort William,0.8566521497557945,0.1433477328012889,-5.1052179,56.81981999999999
84,Achnasheen,0.8659508196928792,0.13404847586369156,-5.078765799999998,57.57859000000001
85,Newquay,0.8124977060243268,0.1875023740261544,-5.0737190000000005,50.4155
86,Falmouth,0.8115674593380954,0.1884329074807348,-5.0662699999999985,50.15257
87,Rothesay,0.9859374545160008,0.014062677925397478,-5.055793,55.83596
88,Truro,0.8115674593380954,0.1884329074807348,-5.0510410000000014,50.2632
89,Milford Haven,0.8508504479738979,0.14914961604779764,-5.0426971,51.71431
90,Stranraer,0.3495841734030452,0.6504150748214321,-5.0240550000000015,54.90337
91,Fishguard,0.838657255354615,0.1613423409983912,-4.975989,51.99393
92,Inchnadamph,0.8701907195553036,0.12980933654575974,-4.974295,58.15221
93,Haverfordwest,0.8508504479738979,0.14914961604779764,-4.971319,51.80047
94,Dunoon,0.9855678871250064,0.014431483189074975,-4.926214,55.95097
95,Pembroke,0.8582481240025165,0.14175179490552453,-4.9086370000000015,51.67404000000001
96,Girvan,0.9850401145152654,0.01496029585381619,-4.8542179,55.24016
97,Wadebridge,0.8101537375033698,0.1898461538913275,-4.836456,50.51665
98,Invergarry,0.8999826607080265,0.10001773011200422,-4.800261,57.07095
99,St Austell,0.8115674593380954,0.1884329074807348,-4.7834252,50.34038
100,Greenock,0.984890768788768,0.015109125113338787,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.9844958885627748,0.0155039734724071,-4.734014,56.00232
102,Bodmin,0.8101537375033698,0.1898461538913275,-4.7188629,50.4715
103,Tenby,0.8584746738757626,0.1415253540070091,-4.703579,51.67274000000001
104,Camelford,0.8111763760373529,0.18882336026852,-4.682364,50.62206
105,Irvine,0.9879498248984636,0.012049898626456999,-4.6696364,55.61156999999999
106,Cardigan,0.8138759898900519,0.18612368088121087,-4.660864,52.0837
107,Holyhead,0.6805950541251692,0.31940467582369425,-4.633038,53.30944
108,Ayr,0.9864778835432392,0.013521806232961087,-4.629179,55.45856
109,Dumbarton,0.9117012376710676,0.08829895735024139,-4.564554,55.94529
110,Bude,0.8267032690260756,0.17329635212944078,-4.543678,50.82664000000001
111,Isle of Man,0.7952356181963851,0.20476472662308245,-4.5126331,54.27697
112,Kilmarnock,1.0,0.01,-4.498792,55.61472
113,Newton Stewart,0.9473379124251844,0.05266190177458212,-4.483164,54.9603
114,Liskeard,0.8103119427221167,0.18968808038975146,-4.4647190000000005,50.45552
115,Altnaharra,0.8667747524721137,0.13322537128503414,-4.442655,58.28023
116,Pwllheli,0.7724692543977892,0.2275309710838843,-4.417633900000001,52.88882
117,Lairg,0.8636650706924215,0.13633476018833812,-4.402414,58.02206
118,Launceston,0.7864900337040402,0.21351020106413784,-4.360451599999998,50.63683
119,Carmarthen,0.8569508412087894,0.14304877067198699,-4.312131,51.85762
120,Llangefni,0.6805950541251692,0.31940467582369425,-4.311401999999998,53.25579000000001
121,Caernarfon,0.7518354969479031,0.2481649065759736,-4.273911,53.13955
122,Cumnock,0.9570972759592602,0.042903085517901035,-4.265828900000002,55.45355
123,Aberaeron,0.8434907411977784,0.15650960717980536,-4.2581619,52.24279
124,Alness,0.865118027421394,0.13488181441568473,-4.256825,57.69595
125,Glasgow,0.8991827751220401,0.10081665082193793,-4.251806,55.86424
126,Dalwhinnie,0.9276090888265353,0.07239128868799466,-4.242783,56.9366
127,Inverness,0.8626791357691881,0.13732090717523945,-4.224721,57.47776999999999
128,Saltash,0.8058834622389466,0.1941167216072155,-4.21643,50.40921
129,Bideford,0.7500851144076879,0.249915012205108,-4.206666,51.01668
130,Invergordon,0.8606629684614756,0.13933662655828316,-4.172882,57.68811
131,Llanelli,0.8589999152020037,0.14099979657098666,-4.160248,51.68089000000001
132,Plymouth,0.8047848851999654,0.19521455382081004,-4.1426565,50.37546
133,Tavistock,0.804857026779714,0.1951428894289981,-4.141654,50.55112
134,Porthmadog,0.7684799516018606,0.2315196995279103,-4.133384,52.92784
135,Bangor,0.6805950541251692,0.31940467582369425,-4.129263,53.22739
136,Tywyn,0.7817856433193727,0.2182139698591032,-4.087249,52.58701
137,Aberystwyth,0.8247035550611113,0.17529654083145518,-4.08292,52.4153
138,Lampeter,0.8086501551043969,0.1913496151942493,-4.078509,52.1129
139,Barnstaple,0.7991046850260672,0.2008954012847259,-4.058338,51.07816
140,Tain,0.8611730220867136,0.13882716934175168,-4.05523,57.8115
141,Okehampton,0.8027573271165007,0.19724275748693365,-4.004263,50.73831
142,Llandeilo,0.8557864507988103,0.14421303005482813,-3.99143,51.88469
143,Motherwell,0.9148349666440104,0.08516463025616225,-3.9810968,55.78321
144,Golspie,0.8648775554888998,0.13512181792343408,-3.976086,57.97341
145,Airdrie,0.8701464220940552,0.1298537301703857,-3.962566,55.86626999999999
146,Swansea,0.8654255783666396,0.13457448893048335,-3.943646,51.62144
147,Stirling,0.7792480316106686,0.2207513421756044,-3.9369029,56.11652
148,Tregaron,0.8639093395501651,0.1360904332508441,-3.934385,52.22
149,Tregaron,0.8639093395501651,0.1360904332508441,-3.934385,52.22
150,Castle Douglas,0.8591998865985002,0.1408006087206828,-3.931414,54.94042
151,Dolgellau,0.7639831264641896,0.2360169739269292,-3.8844,52.74215
152,Aberfeldy,0.7862090612355456,0.2137907139442045,-3.866969,56.62175
153,Machynlleth,0.7599052287457628,0.2400945035422584,-3.853485,52.59027
154,Brora,0.8039457647197293,0.19605454837895864,-3.852548000000001,58.01216
155,Llandudno,0.6141336745503488,0.3858661667236112,-3.827609,53.32406
156,Llandudno,0.6141336745503488,0.3858661667236112,-3.827609,53.32406
157,Aviemore,0.8577924929725241,0.14220685740204306,-3.823812,57.19449
158,Dalbeattie,0.7977669016963398,0.20223292059581333,-3.822527,54.93422
159,Falkirk,0.9012508337415012,0.09874962488298453,-3.7839131,56.00188000000001
160,Kingsbridge,0.7857876025328016,0.21421286724276653,-3.777493,50.28395
161,Pitlochry,0.7966835123583588,0.203315827104789,-3.729711,56.70436
162,Colwyn Bay,0.6153069244525802,0.3846933212320501,-3.72764,53.29318000000001
163,Totnes,0.7855597870178075,0.2144397080838462,-3.685797,50.43374
164,Grantown-on-Spey,0.7486992366914599,0.251300565124412,-3.609628,57.33041
165,Dumfries,0.8362221606276571,0.16377813423179133,-3.60512,55.07086
166,Whitehaven,0.7837068874958392,0.216292873596082,-3.589233,54.5497
167,Dartmouth,0.7846485249578227,0.2153518935404735,-3.578807,50.35252
168,Bridgend,1.0,0.01,-3.576945,51.50429000000001
169,Paignton,0.7851054216295658,0.2148948325967749,-3.564235,50.43508
170,Workington,0.7823539164651128,0.21764540847230124,-3.542752,54.64357
171,Llanidloes,0.6399464380411417,0.3600530509636229,-3.540195,52.44779000000001
172,Exeter,0.6857095124368286,0.31429004577940034,-3.533899,50.71841
173,Torquay,0.7860128867642984,0.21398650607963574,-3.525315,50.46192
174,Thurso,0.8538031901765968,0.14619615791581286,-3.5220800000000003,58.59356999999999
175,Livingston,0.8875819028417454,0.112418151817519,-3.518068,55.90071
176,Rhyl,0.5704297992818763,0.4295701789924721,-3.4916339999999995,53.31914
177,Tiverton,0.7443150536695381,0.2556850557203271,-3.491207,50.90205
178,Tiverton,0.7443150536695381,0.2556850557203271,-3.491207,50.90205
179,Minehead,0.8654572194103878,0.13454307698586052,-3.481152,51.20428
180,Dunfermline,0.8833508624715719,0.11664894296724365,-3.452151,56.07174000000001
