,placename,a_load_of,a_lot_of,a_rake_of,bare,loads_of,lots_of,longitude,latitude
0,Dingle,0.9814071792472994,0.5411332831931922,0.01,0.04913719213693984,0.3010772806299895,0.3381722725489284,-10.2640135,52.14094
1,Tralee,0.9814071792472994,0.5411332831931922,0.01,0.04913719213693984,0.3010772806299895,0.3381722725489284,-9.6999325,52.27131
2,Killarney,0.8993049996039315,0.5574513856530884,0.01,0.05689158062206873,0.3367125345016585,0.306310204548795,-9.5044265,52.05994000000001
3,Bantry,0.9175341534018234,0.5730441317022965,0.01,0.05804478579985632,0.3226862421107847,0.2921206946169614,-9.4539805,51.68035
4,Mayo,0.6181061402694515,0.6132368038946906,0.01,0.01,0.3737173994077702,0.25954719550810296,-9.4289369,54.01526
5,Ballycastle,0.6508169323925971,0.6895564788731486,0.01,0.01,0.2938171149342724,0.20546731513392644,-9.3724643,54.27967
6,Abbeyfeale,0.9143422287138468,0.5517058926266283,0.01,0.05669366385320863,0.3342202633736584,0.3130819747318443,-9.2970823,52.38618
7,Ennistymon,0.9774889267259022,0.5380378706294134,0.01,0.01,0.2346588583914608,0.38912934912699415,-9.2934951,52.94037
8,Galway,0.9095045113196444,0.5584048861503007,0.01,0.01,0.2424671564504141,0.36787740329292135,-9.0567905,53.27067
9,Claremorris,0.6354053837563731,0.6107584759717234,0.01,0.01,0.3642229515875373,0.26600853799672025,-9.0017356,53.72388
10,Clare,0.9792766649473612,0.5511645337772476,0.01,0.01,0.2409323172739578,0.36834180971111696,-8.9811351,52.90453
11,Adare,0.8978071888701223,0.5461653425931476,0.01,0.05566841164792916,0.3378405422280282,0.3204243719500171,-8.7925892,52.56363
12,Charleville,0.8945716774104261,0.5466296867014554,0.01,0.055467795202485085,0.3352546189664219,0.3218612322332637,-8.681017599999999,52.36206
13,Mallow,0.9000669247804467,0.5837314576538153,0.01,0.05811784637459307,0.3063117904402561,0.2907196529138415,-8.6539164,52.13898
14,Limerick,1.0,0.4972925612782773,0.01,0.01,0.21882952247078727,0.4475613928404834,-8.6267343,52.66384
15,Loughrea,0.9023142326906884,0.5805558079748605,0.01,0.01,0.2549701276431961,0.3330683307347708,-8.5660931,53.19891
16,Sligo,0.4084127558980699,0.7552912993965782,0.01,0.01,0.3052044190917895,0.14836961645711416,-8.476088800000001,54.27661
