index,placename,longitude,latitude,a load of,a lot of,bare,loads of,lots of
0,Dingle,-10.264013499999999,52.14094,0.19846107781007397,0.11317819423779095,0.022152596340689265,0.08916127231999257,0.0689100119752722
1,Tralee,-9.6999325,52.27131,0.28703446660836773,0.18587116416434965,0.03112443372503847,0.15378648491532432,0.12200075983598113
2,Killarney,-9.5044265,52.059940000000005,0.42378666242596197,0.30118674972816345,0.044976431351664764,0.26564302936765377,0.20604908798898613
3,Bantry,-9.4539805,51.68035,0.20747271027368092,0.12127713166666088,0.02357327059966213,0.09467912770836537,0.0782509045727894
4,Mayo,-9.4289369,54.01526,0.2951341918786205,0.17514761640641055,0.01,0.13782387399649085,0.11904389075749612
5,Ballycastle,-9.3724643,54.279669999999996,0.08800069960975232,0.021112105969182823,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.08433882316434711,0.019483711665882752,0.010592845443628903,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.08251919549901184,0.019557290133139695,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.5780036703813888,0.4168931313392454,0.04853231932389096,0.3694274727554411,0.2806413873397432
9,Claremorris,-9.0017356,53.72388,0.40635040826163044,0.27901407254957095,0.02117507283741894,0.22841439872881314,0.17845591718354067
10,Clare,-8.9811351,52.90453,0.38082041037154946,0.2685703229398126,0.033124185018719145,0.2313796628940446,0.18049515145985232
11,Adare,-8.7925892,52.56363,0.18697437922069718,0.10273834393932442,0.020989077116879477,0.0825296748345772,0.06147038825629969
12,Charleville,-8.681017599999999,52.36206,0.08361592238525231,0.01947907795841663,0.010519620672966964,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.244206062215124,0.15443783685802312,0.027376016539597047,0.12587351035374633,0.10114539550188362
14,Limerick,-8.6267343,52.66384,0.5373246840613513,0.3874957107025619,0.05647700360508577,0.3364040612736414,0.26941327548912214
15,Loughrea,-8.5660931,53.19891,0.0857301616356446,0.01909956796940702,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.3325916833980756,0.3012353326652219,0.01,0.22672371737038136,0.1818893179994134
17,Cork,-8.4756035,51.898509999999995,0.6561507228346528,0.4972120976105084,0.07002175996056295,0.43046689794017245,0.35047948769821863
18,Nenagh,-8.19834,52.8635,0.31667283258170054,0.2074754341709103,0.03412658354570453,0.17541133110092713,0.13533339272431535
19,Roscommon,-8.1890955,53.627590000000005,0.30558228687744354,0.22007127182953698,0.03342703096901413,0.19706321136057153,0.139055056738517
20,Tipperary,-8.161851400000002,52.47379,0.3946849836033777,0.27924106915260505,0.04295404616585635,0.23828056661271838,0.1937989339055945
21,Donegal,-8.1096143,54.653830000000006,0.2583159867541139,0.33505022339287327,0.01,0.24562833509577778,0.19771886468674993
22,Leitrim,-8.0020132,54.12469,0.20554279540451262,0.19751231771323624,0.01,0.15693137235753576,0.1130924258927261
23,Athlone,-7.9406898,53.423930000000006,0.28855695741469267,0.19038885978759784,0.03695290625509495,0.19337035235712077,0.1340811673793976
24,Longford,-7.7932573000000005,53.727630000000005,0.2706699149792371,0.20944714616284604,0.039940073777638724,0.20922188139671896,0.13753697876149495
25,Offaly,-7.7122229,53.235690000000005,0.3518711697491432,0.2630011626174242,0.05811423142468854,0.25035913207752075,0.19381254772736473
26,Fermanagh,-7.6318728,54.343830000000004,0.1633940902102085,0.16027119692654015,0.01,0.11464999702063218,0.08436444578648247
27,Enniskillen,-7.631533599999999,54.343819999999994,0.2048116108473179,0.211375766664368,0.01,0.15638884232139952,0.11741651793390806
28,Doon,-7.60964,54.185930000000006,0.12403215128147078,0.11494617240908402,0.01,0.08340945497265455,0.051511963423032624
29,Westmeath,-7.4653217000000005,53.534530000000004,0.24630639590911843,0.19397000846054918,0.05381631125429263,0.19287800463039168,0.1362361553696178
30,Strabane,-7.4633103,54.82739,0.19944780024891814,0.20843288141873254,0.01,0.1700252842527583,0.1515438404187951
31,Balivanich,-7.3743509000000005,57.472269999999995,0.02768696106898483,0.0168361584944579,0.01,0.01879967512382528,0.04695187221545864
32,Cavan,-7.3633319,53.98972,0.18093253861299824,0.2529982226111671,0.015896408036251343,0.22448902037735485,0.13155947257109157
33,Mullingar,-7.340186800000001,53.525819999999996,0.23897788670140652,0.18925676300703084,0.05281292646603333,0.1879691674200565,0.1322438025395419
34,Laois,-7.332300699999999,52.9943,0.3039058998634629,0.2549966692710835,0.0603917438848895,0.2507129290980218,0.1843013688589732
35,Omagh,-7.309959700000001,54.59771,0.24179867896760207,0.23431848755413687,0.01,0.16591580653792878,0.1446570858367027
36,Derry,-7.308574799999999,54.99661,0.3237270902151133,0.34904800456321067,0.01,0.30411544972698706,0.26882543600705694
37,Derry,-7.308574799999999,54.99661,0.3237270902151133,0.34904800456321067,0.01,0.30411544972698706,0.26882543600705694
38,Kilkenny,-7.2447879,52.65415,0.37727451158006586,0.2971679440928572,0.06521315477188047,0.27629456396896446,0.21892231775583437
39,Tyrone,-7.131232000000001,54.491209999999995,0.16639630114685883,0.1567039437638536,0.01,0.1279290428111703,0.10853670489818185
40,Waterford,-7.110070200000001,52.25932,0.44080750156256515,0.33506504702162526,0.06977812065178118,0.3125812439870575,0.2456712893114172
41,Western Isles,-7.0194034,57.759890000000006,0.08665840086826244,0.10804422539790506,0.01,0.11584006429888169,0.15434136062304615
42,Monaghan,-6.9683132,54.2492,0.22413361607553328,0.22955071554742884,0.01,0.1941422786796287,0.15993996989635575
43,Carlow,-6.934135899999999,52.83651,0.31302967265164033,0.2673249215633561,0.06570785516049879,0.26697693902919284,0.19469010830492245
