index,placename,longitude,latitude,a load of,a lot of,bare,loads of,lots of
0,Dingle,-10.264013499999999,52.14094,0.7827212207634651,0.7439299937696352,0.07459972246822838,0.17526691261797772,0.11354553658379232
1,Tralee,-9.6999325,52.27131,0.7971575564686921,0.7909702247181248,0.07587890465187641,0.1909151099968684,0.13200484223151113
2,Killarney,-9.5044265,52.059940000000005,0.8038828386238415,0.836667446323914,0.07647482012207149,0.23308474481665004,0.14922593926972524
3,Bantry,-9.4539805,51.68035,0.7778686964963624,0.7383783765307818,0.07580284125646077,0.1642333794197428,0.13823190589237602
4,Mayo,-9.4289369,54.01526,0.8550371641873721,0.779639259149693,0.01,0.1594577228683991,0.1577053567401677
5,Ballycastle,-9.3724643,54.279669999999996,0.7806428578620977,0.6937134533033839,0.01,0.07426478971427523,0.06619376612567296
6,Abbeyfeale,-9.2970823,52.386179999999996,0.7522302978530783,0.6435497518412235,0.07189796724818108,0.14221642184880595,0.07571571578565976
7,Ennistymon,-9.2934951,52.940369999999994,0.7381117766505721,0.6458163823852145,0.05760405610270056,0.1539797355749604,0.07075478186857553
8,Galway,-9.0567905,53.270669999999996,0.8430689815009004,0.8939906805578527,0.06402931389879303,0.24817095741603545,0.13998672231556683
9,Claremorris,-9.0017356,53.72388,0.8347709909246259,0.8737557857676569,0.0388175129327874,0.19299520674468765,0.11276373481149607
10,Clare,-8.9811351,52.90453,0.7954912336739812,0.8340061915482672,0.061749697799398866,0.21812388379049785,0.1402357572009641
11,Adare,-8.7925892,52.56363,0.7833167229961802,0.7295240551029133,0.07465248707532395,0.18647919121155082,0.10949737925084292
12,Charleville,-8.681017599999999,52.36206,0.7466212987312291,0.6434070075946228,0.07140096083089457,0.1525316658489655,0.07083550781092775
13,Mallow,-8.6539164,52.13898,0.7751302054570957,0.7657462774903213,0.0755548432663558,0.1826730654432829,0.13625190794049027
14,Limerick,-8.6267343,52.66384,0.8290215789553986,0.8708216810355977,0.07870232659138349,0.22545394090169363,0.16387530821712784
15,Loughrea,-8.5660931,53.19891,0.7630257161032489,0.6317159658414032,0.05940407748964413,0.17005896089533468,0.07390448544690591
16,Sligo,-8.476088800000001,54.27661,0.6538145386594927,0.9494981786250489,0.01,0.15471689749908984,0.08917165830607829
17,Cork,-8.4756035,51.898509999999995,0.8187886446289078,0.9047643744235647,0.07950853099288406,0.2285637027416324,0.17968674107066035
18,Nenagh,-8.19834,52.8635,0.8103903216072446,0.8062136604964407,0.07705143982004412,0.20525871174502075,0.12451967791312776
19,Roscommon,-8.1890955,53.627590000000005,0.749117749207192,0.821357161735151,0.07254196584346702,0.24846499941658257,0.10199638790016234
20,Tipperary,-8.161851400000002,52.47379,0.7953532558503124,0.8261400911883429,0.0773862361290456,0.20716346955688544,0.1616496170933275
21,Donegal,-8.1096143,54.653830000000006,0.4651218151818027,1.0,0.01,0.14641538238274937,0.08058874141255055
22,Leitrim,-8.0020132,54.12469,0.563191439335325,0.8879688165584624,0.01,0.19367942467631377,0.06768871321402332
23,Athlone,-7.9406898,53.423930000000006,0.765533866235774,0.722580408287861,0.08633362359455467,0.309287531342259,0.15519619976057225
24,Longford,-7.7932573000000005,53.727630000000005,0.6781039428101262,0.7754148390007284,0.08854957285347594,0.31554971438423085,0.11680507941407542
25,Offaly,-7.7122229,53.235690000000005,0.7275859868212594,0.7650552853646497,0.10748700264393146,0.2702547071926392,0.19165925644399148
26,Fermanagh,-7.6318728,54.343830000000004,0.5325448019284895,0.8994332964265526,0.01,0.14859265384399153,0.04437498684387423
27,Enniskillen,-7.631533599999999,54.343819999999994,0.538592967642784,0.9290626817418157,0.01,0.1576476575799129,0.05467128435176758
28,Doon,-7.60964,54.185930000000006,0.5168749268713548,0.8740824456879591,0.01,0.17511974116021406,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.6464508145679069,0.7363530817899234,0.12462935352883002,0.29817395601471886,0.15756161273340932
30,Strabane,-7.4633103,54.82739,0.5039728181177537,0.796869501298281,0.01,0.1783338082905567,0.2057674743300519
31,Balivanich,-7.3743509000000005,57.472269999999995,0.2667835457916675,0.24593228616344662,0.01,0.16408459928265265,0.6204511766323507
32,Cavan,-7.3633319,53.98972,0.4095465061530693,0.9544850889272837,0.03240060190267678,0.2834741356015011,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.6395436493617049,0.7357195834123995,0.12453244446950304,0.29736879969223395,0.15500547954067848
34,Laois,-7.332300699999999,52.9943,0.6437609210487444,0.7670876896735936,0.11456630720596042,0.29725452244303435,0.1772931134388753
35,Omagh,-7.309959700000001,54.59771,0.5798736379832149,0.9115405685064085,0.01,0.11891950322502579,0.11310621034980033
36,Derry,-7.308574799999999,54.99661,0.5308711198352853,0.8295544917703804,0.01,0.21716097296035347,0.24832952440877007
37,Derry,-7.308574799999999,54.99661,0.5308711198352853,0.8295544917703804,0.01,0.21716097296035347,0.24832952440877007
38,Kilkenny,-7.2447879,52.65415,0.7091261735821058,0.7898630580138323,0.11025974408525607,0.25820683574197173,0.19604303658322855
39,Tyrone,-7.131232000000001,54.491209999999995,0.5248602345765547,0.77144138227477,0.01,0.18475663636547143,0.17666540336739606
40,Waterford,-7.110070200000001,52.25932,0.7525399101505861,0.8062958383493474,0.10746817049133692,0.2644348639498011,0.19325936135449076
41,Western Isles,-7.0194034,57.759890000000006,0.3069314701796786,0.3714965318046104,0.01,0.21034425662413575,0.6189763217210643
42,Monaghan,-6.9683132,54.2492,0.5277581881594025,0.8219509063985979,0.01,0.2066588821870328,0.17510014393939216
43,Carlow,-6.934135899999999,52.83651,0.6366711022387573,0.7664120652229733,0.12001590175527327,0.3092326014050893,0.18116393155745913
44,Kildare,-6.8194707999999995,53.21204,0.6666193102155563,0.7990045042019717,0.12445053347891717,0.32139121437020574,0.18134857525183215
45,Dungannon,-6.7669352,54.508269999999996,0.5628465627963606,0.7762826804799358,0.01,0.17298985446878626,0.17900980466053606
46,Cookstown,-6.7443895000000005,54.641819999999996,0.5379452131400455,0.7678712577488173,0.01,0.19778205933877396,0.22038464416751954
47,Coleraine,-6.6646103000000005,55.132580000000004,0.5229389568843807,0.7902343741938892,0.01,0.19418084626035811,0.2751953555701847
48,Meath,-6.656416900000001,53.60555,0.6013669493482343,0.8023989567524915,0.12738869631193664,0.3130218175476628,0.1618334701755151
49,Armagh,-6.652792,54.350280000000005,0.5511912473677786,0.8318629998239185,0.01,0.13421109592622513,0.2006756411067524
50,Armagh,-6.652792,54.350280000000005,0.5511912473677786,0.8318629998239185,0.01,0.13421109592622513,0.2006756411067524
51,Magherafelt,-6.607980499999999,54.75536999999999,0.5105304181911664,0.7436173382162573,0.01,0.20424538863437597,0.2622346061192824
52,Dunvegan,-6.581398200000001,57.4366,0.2912381085947534,0.25403731450702177,0.01,0.16344621516062677,0.5761636689591457
53,Louth,-6.4889423,53.925230000000006,0.6501914344696081,0.807878521112615,0.0997382117865029,0.2963173834185026,0.16510335782737978
54,Wexford,-6.4633381,52.33692,0.648216718872888,0.7751592061560221,0.11669996097976926,0.3223873080014028,0.1953829127581599
