index,placename,longitude,latitude,a_load_of,a_lot_of,bare,loads_of,lots_of
0,Dingle,-10.264013499999999,52.14094,0.8875902266103022,0.6537308296352368,0.021265785484284754,0.17867368079394763,0.22168239469599418
1,Tralee,-9.6999325,52.27131,0.9036987396175193,0.6893018293321735,0.02165172845323644,0.19058151559140069,0.2332854268189034
2,Killarney,-9.5044265,52.059940000000005,0.9565473367033074,0.722350209122186,0.022072595999797186,0.20631916568768277,0.24986106169521557
3,Bantry,-9.4539805,51.68035,0.8963147377259973,0.6655899978236232,0.02068271248960071,0.170226502506275,0.2202690548370707
4,Mayo,-9.4289369,54.01526,0.6930702177042857,0.7497596327681789,0.01,0.1535117265738505,0.20296127378586154
5,Ballycastle,-9.3724643,54.279669999999996,0.5523547653417623,0.6303414676636866,0.01,0.17380717794590375,0.163126149945506
6,Abbeyfeale,-9.2970823,52.386179999999996,0.8867165923717628,0.5807879109496856,0.020461233310844353,0.15640183594545895,0.18899395711412964
7,Ennistymon,-9.2934951,52.940369999999994,0.8732707903536717,0.5847672636853053,0.021470898901386554,0.16030320319482588,0.18348462503524396
8,Galway,-9.0567905,53.270669999999996,0.9541262827387771,0.7514623872976899,0.01,0.18576283212579398,0.2815331675972142
9,Claremorris,-9.0017356,53.72388,0.8111539587374317,0.7534203125016257,0.01,0.17284516661909663,0.23756529171680993
10,Clare,-8.9811351,52.90453,0.935694765398651,0.717495273743666,0.02300570142525485,0.20589191687642722,0.2399088480662228
11,Adare,-8.7925892,52.56363,0.934132233836769,0.6419358712075354,0.021555362292766094,0.17416855425246897,0.22219681058254742
12,Charleville,-8.681017599999999,52.36206,0.8834638457888417,0.5892318384330482,0.0203861752776769,0.14339969008695688,0.18667486922682489
13,Mallow,-8.6539164,52.13898,0.9035535242043946,0.681514964028141,0.020849749505957423,0.1754572692793483,0.22705086502898728
14,Limerick,-8.6267343,52.66384,0.9733268912233313,0.7451889976615587,0.02245978880699737,0.2065507928252963,0.2603612343152037
15,Loughrea,-8.5660931,53.19891,0.8525374268556057,0.5553963997692831,0.01,0.1761356989346469,0.2154283155498402
16,Sligo,-8.476088800000001,54.27661,0.7129521463091196,0.7832193742325477,0.01,0.2201075974743108,0.19424293484849792
17,Cork,-8.4756035,51.898509999999995,0.9271593103534724,0.7790325118688323,0.02193381507831214,0.20448157490868418,0.26828154752741357
18,Nenagh,-8.19834,52.8635,0.8920528378732605,0.6967019427093881,0.01,0.19108412535496141,0.24405839359728357
19,Roscommon,-8.1890955,53.627590000000005,0.6287753073725157,0.7439076870420555,0.01,0.24984568546455438,0.19369830796841359
20,Tipperary,-8.161851400000002,52.47379,0.9718168660147498,0.7106680614109772,0.022990279515180845,0.18486407974673352,0.26242515780692793
21,Donegal,-8.1096143,54.653830000000006,0.5404016853066188,0.7630325704182397,0.01,0.25608553875138396,0.23269313301214414
22,Leitrim,-8.0020132,54.12469,0.47637457083157286,0.8178382031093628,0.01,0.25279121525712334,0.10132233040264436
23,Athlone,-7.9406898,53.423930000000006,0.6298295401012893,0.6860997932067172,0.01,0.3034354715657944,0.2176980396401416
24,Longford,-7.7932573000000005,53.727630000000005,0.4926640554235609,0.749595398300369,0.01,0.36542252739713327,0.13358089303050766
25,Offaly,-7.7122229,53.235690000000005,0.6872476742575964,0.717315010172655,0.08719903702088992,0.28417655069336,0.21683463823298893
26,Fermanagh,-7.6318728,54.343830000000004,0.5575612440776272,0.7147888037897643,0.01,0.2715485618234655,0.1734531983331243
27,Enniskillen,-7.631533599999999,54.343819999999994,0.5632602035985782,0.7354463733990636,0.01,0.2792042757193104,0.18155776752283917
28,Doon,-7.60964,54.185930000000006,0.463781544732841,0.8163609822915123,0.01,0.22495889822390358,0.048414289816485524
29,Westmeath,-7.4653217000000005,53.534530000000004,0.3770419100866027,0.7537856240302762,0.10956824162253656,0.3837741081014428,0.10603193408215186
30,Strabane,-7.4633103,54.82739,0.6198892757048617,0.6960034847430598,0.01,0.2160051674654219,0.2645510966505332
31,Balivanich,-7.3743509000000005,57.472269999999995,0.28843614851153915,0.25626572835739697,0.01,0.1376749802457318,0.6855111545997672
32,Cavan,-7.3633319,53.98972,0.4452736714679776,0.8773257504643569,0.01,0.21479254107757473,0.08866112845321249
33,Mullingar,-7.340186800000001,53.525819999999996,0.4094122852835111,0.7490527877588814,0.11406887225744838,0.3924793650913729,0.09864580425092448
34,Laois,-7.332300699999999,52.9943,0.5587563654701232,0.7207107625818926,0.1536979021683488,0.35809314157257893,0.17072327944062038
35,Omagh,-7.309959700000001,54.59771,0.6160027873832385,0.770796919550412,0.01,0.24625707055804624,0.16855358550359145
36,Derry,-7.308574799999999,54.99661,0.5824581425528569,0.7213705859510098,0.01,0.22718959194283228,0.31228870436770767
37,Derry,-7.308574799999999,54.99661,0.5824581425528569,0.7213705859510098,0.01,0.22718959194283228,0.31228870436770767
38,Kilkenny,-7.2447879,52.65415,0.6566403699054184,0.7177255607519704,0.10516272106276926,0.24924971054078843,0.25476440773487236
39,Tyrone,-7.131232000000001,54.491209999999995,0.47639016374633575,0.6615851217289247,0.01,0.20152907755138935,0.2918285779638133
40,Waterford,-7.110070200000001,52.25932,0.7952298512211154,0.7396946568697376,0.0611093710974603,0.23403134456596567,0.2463310410859354
41,Western Isles,-7.0194034,57.759890000000006,0.2958223205233701,0.3258179607074404,0.01,0.20794743952967754,0.6925127772483632
42,Monaghan,-6.9683132,54.2492,0.5548706050599937,0.8954626902412424,0.01,0.045397847832142145,0.14374234986190212
43,Carlow,-6.934135899999999,52.83651,0.478667566169844,0.7348929009819685,0.12232962363696667,0.2935124965955271,0.21235623143342733
44,Kildare,-6.8194707999999995,53.21204,0.6441594191486647,0.6718403686005419,0.10554612421732551,0.3817308594959213,0.2575416118958174
45,Dungannon,-6.7669352,54.508269999999996,0.4633124280417398,0.7679490109730777,0.01,0.17719726278458847,0.18498800684359823
46,Cookstown,-6.7443895000000005,54.641819999999996,0.36129376380439127,0.7241089838802474,0.01,0.15248086280805018,0.2958201896207416
47,Coleraine,-6.6646103000000005,55.132580000000004,0.5212267350524336,0.6092810260244464,0.01,0.2837307812879144,0.39724822669612
48,Meath,-6.656416900000001,53.60555,0.6360433399071279,0.680791138245673,0.10814281892275482,0.3277715223246641,0.25619394343473295
49,Armagh,-6.652792,54.350280000000005,0.5650293178197836,0.8446151504162573,0.01,0.27268493254207266,0.0736512248986446
50,Armagh,-6.652792,54.350280000000005,0.5650293178197836,0.8446151504162573,0.01,0.27268493254207266,0.0736512248986446
51,Magherafelt,-6.607980499999999,54.75536999999999,0.593458131972346,0.6959655756088605,0.01,0.1933816286401514,0.2896645770653646
