placename,bap,bap (only if crusty),bap (only if soft),barm,barmcake,batch,breadbun,breadcake,breadroll,bun,butty,cake,cob,cob (only if crusty),cookie,dinner roll,flour bap,flourcake,Glasgow (only if browner on top),morning roll,muffin,oven bottom bread,rhol bara,roll,roll (only if crusty),roll (only if soft),softie,split,stottie,stottiecake,teacake,longitude,latitude
Dingle,0.25000000,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.237179487,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,-10.2640135,52.14094
Tralee,0.25000000,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.237179487,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.6999325,52.27131
Killarney,0.25000000,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.237179487,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.5044265,52.05994
Bantry,0.25000000,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.237179487,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.4539805,51.68035
Mayo,0.61538462,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.128205128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.12820513,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.4289369,54.01526
Ballycastle,0.61538462,0.000000000,0.000000000,0.076923077,0.0000000000,0.000000000,0.000000000,0.000000000,0.051282051,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20512821,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.3724643,54.27967
Abbeyfeale,0.25000000,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.237179487,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.2970823,52.38618
Ennistymon,0.23076923,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.243589744,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20512821,0.000000000,0.1538461538,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.2934951,52.94037
Galway,0.29487179,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.269230769,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.24615385,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.0567905,53.27067
Claremorris,0.56410256,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.192307692,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.11538462,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -9.0017356,53.72388
Clare,0.23076923,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.282051282,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.16666667,0.000000000,0.1538461538,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.9811351,52.90453
