index,placename,longitude,latitude,merger,no merger
0,Dingle,-10.264013499999999,52.14094,0.01,0.14507435202047816
1,Tralee,-9.6999325,52.27131,0.01,0.2088393974291679
2,Killarney,-9.5044265,52.059940000000005,0.01,0.31087033252485813
3,Bantry,-9.4539805,51.68035,0.01,0.1529133350030561
4,Mayo,-9.4289369,54.01526,0.01,0.1998560962241279
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.06291637152140743
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.06291637152140743
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.06291637152140743
8,Galway,-9.0567905,53.270669999999996,0.01,0.40982231693400845
9,Claremorris,-9.0017356,53.72388,0.01,0.286262335729273
10,Clare,-8.9811351,52.90453,0.01,0.28103430574405724
11,Adare,-8.7925892,52.56363,0.01,0.1362712702217601
12,Charleville,-8.681017599999999,52.36206,0.01,0.06291637152140743
13,Mallow,-8.6539164,52.13898,0.01,0.18176142229459932
14,Limerick,-8.6267343,52.66384,0.01,0.3861877657450531
15,Loughrea,-8.5660931,53.19891,0.01,0.06291637152140743
16,Sligo,-8.476088800000001,54.27661,0.01,0.29790792702974445
17,Cork,-8.4756035,51.898509999999995,0.01,0.48206272038807724
18,Nenagh,-8.19834,52.8635,0.01,0.2274522392820193
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.23765931246408212
20,Tipperary,-8.161851400000002,52.47379,0.01,0.2917724055595747
21,Donegal,-8.1096143,54.653830000000006,0.01,0.3219968510022494
22,Leitrim,-8.0020132,54.12469,0.01,0.21140539746768733
23,Athlone,-7.9406898,53.423930000000006,0.01,0.2189775080031084
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.23209467393659106
25,Offaly,-7.7122229,53.235690000000005,0.01,0.283473790004746
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.17749063184957775
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.2203129334333017
28,Doon,-7.60964,54.185930000000006,0.01,0.13913184493221986
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.22113225832216798
30,Strabane,-7.4633103,54.82739,0.01,0.22918190279625453
31,Cavan,-7.3633319,53.98972,0.01,0.2547226085258428
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.21673935489799326
33,Laois,-7.332300699999999,52.99429,0.01,0.2756862659628662
34,Omagh,-7.309959700000001,54.59771,0.01,0.24219523553872876
35,Derry,-7.308574799999999,54.99661,0.01,0.3563026717240675
36,Derry,-7.308574799999999,54.99661,0.01,0.3563026717240675
37,Kilkenny,-7.2447879,52.65415,0.01,0.3127968614911727
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.18343521311812763
39,Waterford,-7.110070200000001,52.25932,0.01,0.3463537265245329
40,Monaghan,-6.9683132,54.2492,0.01,0.2463212453897552
41,Carlow,-6.934135899999999,52.83651,0.01,0.2874090967079187
42,Kildare,-6.8194707999999995,53.21204,0.01,0.35176733600935906
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.18843826703359823
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.22671657567866652
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.31258022809652
46,Meath,-6.656416900000001,53.60555,0.01,0.3124499702500419
47,Armagh,-6.652792,54.350280000000005,0.01,0.24490158148661217
48,Armagh,-6.652792,54.350280000000005,0.01,0.24490158148661217
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.24126698907553276
50,Louth,-6.4889423,53.925230000000006,0.01,0.31472105759950547
51,Wexford,-6.4633381,52.33692,0.01,0.3291885274554962
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.27666322196892523
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.24265432745048165
54,Rosslare,-6.3414908,52.25131,0.01,0.06291637152140743
55,Newry,-6.34023,54.1751,0.01,0.2763854388537862
56,Ballymena,-6.2802213,54.86529,0.01,0.26805608234438444
57,Banbridge,-6.2704803,54.34873,0.01,0.23356665047769598
58,Dublin,-6.2603097000000005,53.34981,0.01,0.6593953611530502
59,Antrim,-6.2072498,54.719530000000006,0.01,0.29028815836223
60,Antrim,-6.2072498,54.719530000000006,0.01,0.29028815836223
61,Wicklow,-6.044589,52.980819999999994,0.01,0.3128833534402701
62,Kilkeel,-6.007004,54.06312,0.01,0.16710877172814403
63,Belfast,-5.93012,54.597280000000005,0.01,0.5389632336940017
64,Down,-5.7156921999999994,54.32875,0.01,0.29372577155801677
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.07411126794347965
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.16568792002136676
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.06291637152140743
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.2227372330377241
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.17069221324794842
