index,placename,longitude,latitude,merger,no merger
0,Dingle,-10.264013499999999,52.14094,0.01,0.9060394728792102
1,Tralee,-9.6999325,52.27131,0.01,0.9225616405957258
2,Killarney,-9.5044265,52.059940000000005,0.01,0.941325326814373
3,Bantry,-9.4539805,51.68035,0.01,0.9083832136029979
4,Mayo,-9.4289369,54.01526,0.01,0.9205321821092228
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.8711430730972106
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.8711430730972106
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.8711430730972106
8,Galway,-9.0567905,53.270669999999996,0.01,0.9547524149309681
9,Claremorris,-9.0017356,53.72388,0.01,0.9373786226546313
10,Clare,-8.9811351,52.90453,0.01,0.9365004457684227
11,Adare,-8.7925892,52.56363,0.01,0.9032715110871934
12,Charleville,-8.681017599999999,52.36206,0.01,0.8711430730972106
13,Mallow,-8.6539164,52.13898,0.01,0.916183888295509
14,Limerick,-8.6267343,52.66384,0.01,0.9518408755516735
15,Loughrea,-8.5660931,53.19891,0.01,0.8711430730972106
16,Sligo,-8.476088800000001,54.27661,0.01,0.9392834235483842
17,Cork,-8.4756035,51.898509999999995,0.01,0.9627783849673269
18,Nenagh,-8.19834,52.8635,0.01,0.9265285474422046
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.9285814245474429
20,Tipperary,-8.161851400000002,52.47379,0.01,0.9382885058352375
21,Donegal,-8.1096143,54.653830000000006,0.01,0.943016912639349
22,Leitrim,-8.0020132,54.12469,0.01,0.9231269653896785
23,Athlone,-7.9406898,53.423930000000006,0.01,0.924760004622558
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.9274723372648548
25,Offaly,-7.7122229,53.235690000000005,0.01,0.9369120517486738
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.9151014985277101
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.9250427310466964
28,Doon,-7.60964,54.185930000000006,0.01,0.9041876655838494
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.9252154304369489
30,Strabane,-7.4633103,54.82739,0.01,0.9268821940567464
31,Cavan,-7.3633319,53.98972,0.01,0.9318417458793248
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.9242826641493184
33,Laois,-7.332300699999999,52.99429,0.01,0.9355865927322388
34,Omagh,-7.309959700000001,54.59771,0.01,0.9294682656755109
35,Derry,-7.308574799999999,54.99661,0.01,0.947914939961345
36,Derry,-7.308574799999999,54.99661,0.01,0.947914939961345
37,Kilkenny,-7.2447879,52.65415,0.01,0.9416221418348917
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.9166019344712923
39,Waterford,-7.110070200000001,52.25932,0.01,0.9465406320111378
40,Monaghan,-6.9683132,54.2492,0.01,0.9302620196812547
41,Carlow,-6.934135899999999,52.83651,0.01,0.9375692951883726
42,Kildare,-6.8194707999999995,53.21204,0.01,0.9472928728038253
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.9178315585203445
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.9263773988279579
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.9415888492131356
46,Meath,-6.656416900000001,53.60555,0.01,0.9415688207935858
47,Armagh,-6.652792,54.350280000000005,0.01,0.9299902732918759
48,Armagh,-6.652792,54.350280000000005,0.01,0.9299902732918759
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.9292880080079001
50,Louth,-6.4889423,53.925230000000006,0.01,0.9419169345075618
51,Wexford,-6.4633381,52.33692,0.01,0.9440820510956827
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.9357547280830683
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.929557186807074
54,Rosslare,-6.3414908,52.25131,0.01,0.8711430730972106
55,Newry,-6.34023,54.1751,0.01,0.9357069762597944
56,Ballymena,-6.2802213,54.86529,0.01,0.9342544748146366
57,Banbridge,-6.2704803,54.34873,0.01,0.927768031460574
58,Dublin,-6.2603097000000005,53.34981,0.01,0.978534563952647
59,Antrim,-6.2072498,54.719530000000006,0.01,0.9380449615286838
60,Antrim,-6.2072498,54.719530000000006,0.01,0.9380449615286838
61,Wicklow,-6.044589,52.980819999999994,0.01,0.9416354281924876
62,Kilkeel,-6.007004,54.06312,0.01,0.9123706866352317
63,Belfast,-5.93012,54.597280000000005,0.01,0.968350438219661
64,Down,-5.7156921999999994,54.32875,0.01,0.9386073108965723
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.8776023323605157
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.911985331362489
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.8711430730972106
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.9255520691285087
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.9133298424744725
70,Portree,-6.1960231,57.41246999999999,0.01,0.9245425441312255
71,Islay,-6.177067,55.73625,0.01,0.9142034842929908
72,Mull,-6.0008870000000005,56.4392,0.01,0.9146127714083425
73,Broadford,-5.9096592,57.24139,0.01,0.8711430730972106
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.8711430730972106
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.9173123834485757
76,Penzance,-5.537592,50.1188,0.01,0.937509472690993
77,Oban,-5.471047,56.41516,0.01,0.9286785815068541
78,Lochgilphead,-5.4323449,56.03829,0.01,0.9071750336141934
79,Helston,-5.274996,50.10159,0.01,0.9236617600242099
80,Redruth,-5.226666000000001,50.23302,0.01,0.9291275633439431
81,Ullapool,-5.161313,57.895419999999994,0.01,0.9121154750025342
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.8711430730972106
83,Fort William,-5.1052179,56.81981999999999,0.01,0.926997335126323
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.8711430730972106
85,Newquay,-5.0737190000000005,50.4155,0.01,0.936151697276521
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.9398933324645258
87,Rothesay,-5.055793,55.83596,0.01,0.925845584649917
88,Truro,-5.051041000000001,50.2632,0.01,0.9561826077856819
89,Milford Haven,-5.0426971,51.71431,0.01,0.9211704669621632
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.9227829090052371
91,Fishguard,-4.975989,51.99393,0.01,0.9104263815084793
92,Inchnadamph,-4.974295,58.15221,0.01,0.8711430730972106
93,Haverfordwest,-4.971319,51.80048,0.01,0.9257811045170168
94,Dunoon,-4.926214,55.95097,0.01,0.9215246125030943
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.9375194678664117
96,Girvan,-4.8542179,55.240159999999996,0.01,0.9200825339239125
97,Wadebridge,-4.836456,50.51665,0.01,0.9273625954471404
98,Invergarry,-4.800261,57.07095,0.01,0.8711430730972106
99,St Austell,-4.7834252,50.340379999999996,0.01,0.9312057874313018
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.9427707563569883
101,Helensburgh,-4.734014,56.00232,0.01,0.924207144541329
102,Bodmin,-4.7188629,50.4715,0.01,0.9238600023296349
103,Tenby,-4.703579,51.672740000000005,0.01,0.9257811045170168
104,Camelford,-4.682364,50.62206,0.01,0.9108767681642991
105,Irvine,-4.6696364,55.61156999999999,0.01,0.9462166364301348
106,Cardigan,-4.660864,52.0837,0.01,0.9182557770129977
107,Holyhead,-4.633038,53.30944,0.01,0.9220094997624
108,Ayr,-4.629179,55.45856,0.01,0.9498440586499869
109,Dumbarton,-4.564554,55.94529,0.01,0.9400265910832752
110,Bude,-4.543678,50.826640000000005,0.01,0.9259733026270189
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.9471012761832824
112,Kilmarnock,-4.498792,55.61472,0.01,0.943688881735413
113,Newton Stewart,-4.483164,54.9603,0.01,0.9135556544899803
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.9271675850655975
115,Altnaharra,-4.442655,58.28023,0.01,0.8711430730972106
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.9182557770129977
117,Lairg,-4.402414,58.022059999999996,0.01,0.8711430730972106
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.9234594712552097
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.9360827752155656
120,Llangefni,-4.311401999999999,53.25578,0.01,0.9335823082304636
121,Caernarfon,-4.273911,53.13955,0.01,0.9309780774593408
122,Cumnock,-4.265828900000001,55.45355,0.01,0.932136621402095
123,Aberaeron,-4.2581619,52.24279,0.01,0.9150056791568697
124,Alness,-4.256825,57.69595,0.01,0.9250427310466964
125,Glasgow,-4.251806,55.86424,0.01,0.9781068420836182
126,Dalwhinnie,-4.242783,56.9366,0.01,0.8711430730972106
127,Inverness,-4.224721,57.47776999999999,0.01,0.9486880931589721
128,Saltash,-4.21643,50.409209999999995,0.01,0.9240927756611138
129,Bideford,-4.206666,51.01668,0.01,0.9297544064314872
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.9256180485853951
131,Llanelli,-4.160248,51.680890000000005,0.01,0.9417935150171494
132,Plymouth,-4.1426565,50.37546,0.01,0.9589502662726022
