,placename,daps,guddies,gutties,gym-shoes,plimsolls,pumps,sand-shoes,sannies,plimmies,dappers,runners,rubbers,sandies,gym-shoes.1,gymmies,longitude,latitude
0,Dingle,0.15584415594332945,0.01,0.01,0.4603174475308642,0.01,0.696202526934786,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-10.2640135,52.14094
1,Tralee,0.15584415594332945,0.01,0.01,0.4603174475308642,0.01,0.696202526934786,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.6999325,52.27131
2,Dumfries,0.039669421076483836,0.01,0.9393939386763468,0.11717172797755325,0.01,0.3233601799105621,0.3272727243272727,0.3532196991405264,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.60512,55.07086
3,Grantown-on-Spey,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.609628,57.33041
4,Mayo,0.01,0.01,0.01,0.5370370436008229,0.01,0.8227848064925493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.4289369,54.01526
5,Ballycastle,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.3724643,54.27967
6,Golspie,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.976086,57.97341
7,Ennistymon,0.15584415594332945,0.01,0.01,0.4603174475308642,0.01,0.696202526934786,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.2934951,52.94037
8,Galway,0.01,0.01,0.01,0.5370370436008229,0.01,0.8227848064925493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.0567905,53.27067
9,Claremorris,0.01,0.01,0.01,0.5370370436008229,0.01,0.8227848064925493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.0017356,53.72388
