placename,dinner,supper,tea,longitude,latitude
Dingle,0.7272727,0.090909091,0.18181818,-10.2640135,52.14094
Tralee,0.7272727,0.090909091,0.18181818, -9.6999325,52.27131
Killarney,0.8181818,0.000000000,0.18181818, -9.5044265,52.05994
Bantry,0.7272727,0.090909091,0.18181818, -9.4539805,51.68035
Mayo,0.7000000,0.000000000,0.30000000, -9.4289369,54.01526
Ballycastle,0.8000000,0.000000000,0.20000000, -9.3724643,54.27967
Abbeyfeale,0.8181818,0.000000000,0.18181818, -9.2970823,52.38618
Ennistymon,0.7000000,0.100000000,0.20000000, -9.2934951,52.94037
Galway,0.7000000,0.100000000,0.20000000, -9.0567905,53.27067
Claremorris,0.7000000,0.100000000,0.20000000, -9.0017356,53.72388
Clare,0.7272727,0.090909091,0.18181818, -8.9811351,52.90453
Adare,0.7272727,0.090909091,0.18181818, -8.7925892,52.56363
Charleville,0.7272727,0.090909091,0.18181818, -8.6810176,52.36206
Mallow,0.7272727,0.090909091,0.18181818, -8.6539164,52.13898
Limerick,0.7272727,0.090909091,0.18181818, -8.6267343,52.66384
Loughrea,0.7000000,0.100000000,0.20000000, -8.5660931,53.19891
Sligo,0.8000000,0.000000000,0.20000000, -8.4760888,54.27661
Cork,0.7272727,0.000000000,0.27272727, -8.4756035,51.89851
Nenagh,0.7272727,0.090909091,0.18181818, -8.1983400,52.86350
Roscommon,0.7000000,0.100000000,0.20000000, -8.1890955,53.62759
Tipperary,0.7272727,0.090909091,0.18181818, -8.1618514,52.47379
Donegal,0.8000000,0.000000000,0.20000000, -8.1096143,54.65383
Leitrim,0.7000000,0.100000000,0.20000000, -8.0020132,54.12469
Athlone,0.7272727,0.090909091,0.18181818, -7.9406898,53.42393
Longford,0.7000000,0.100000000,0.20000000, -7.7932573,53.72763
Offaly,0.7272727,0.090909091,0.18181818, -7.7122229,53.23569
Fermanagh,0.7000000,0.100000000,0.20000000, -7.6318728,54.34383
Enniskillen,0.7000000,0.100000000,0.20000000, -7.6315336,54.34382
Doon,0.7000000,0.100000000,0.20000000, -7.6096400,54.18593
Westmeath,0.7272727,0.090909091,0.18181818, -7.4653217,53.53453
Strabane,0.9000000,0.000000000,0.10000000, -7.4633103,54.82739
Cavan,0.7000000,0.100000000,0.20000000, -7.3633319,53.98972
Mullingar,0.7272727,0.090909091,0.18181818, -7.3401868,53.52582
Laois,0.7272727,0.000000000,0.27272727, -7.3323007,52.99429
Omagh,0.8000000,0.000000000,0.20000000, -7.3099597,54.59771
Derry,0.7000000,0.000000000,0.30000000, -7.3085748,54.99661
Derry,0.7000000,0.000000000,0.30000000, -7.3085748,54.99661
Kilkenny,0.7272727,0.000000000,0.27272727, -7.2447879,52.65415
Tyrone,0.7000000,0.100000000,0.20000000, -7.1312320,54.49121
Waterford,0.7272727,0.000000000,0.27272727, -7.1100702,52.25932
Monaghan,0.6000000,0.100000000,0.30000000, -6.9683132,54.24920
Carlow,0.6818182,0.000000000,0.31818182, -6.9341359,52.83651
Kildare,0.6818182,0.000000000,0.31818182, -6.8194708,53.21204
Dungannon,0.7000000,0.100000000,0.20000000, -6.7669352,54.50827
Cookstown,0.8000000,0.100000000,0.10000000, -6.7443895,54.64182
Coleraine,0.7500000,0.000000000,0.25000000, -6.6646103,55.13258
Meath,0.6818182,0.000000000,0.31818182, -6.6564169,53.60555
Armagh,0.5500000,0.100000000,0.35000000, -6.6527920,54.35028
Armagh,0.5500000,0.100000000,0.35000000, -6.6527920,54.35028
