,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
0,Dingle,0.01,0.4285714,0.5714286,-10.2640135,52.14094
1,Tralee,0.01,0.4285714,0.5714286,-9.6999325,52.27131
2,Killarney,0.01,0.4285714,0.5714286,-9.5044265,52.05994000000001
3,Bantry,0.01,0.4285714,0.5714286,-9.4539805,51.68035
4,Mayo,0.01,0.25,0.75,-9.4289369,54.01526
5,Ballycastle,0.01,0.25,0.75,-9.3724643,54.27967
6,Abbeyfeale,0.01,0.4285714,0.5714286,-9.2970823,52.38618
7,Ennistymon,0.01,0.4285714,0.5714286,-9.2934951,52.94037
8,Galway,0.01,0.4285714,0.5714286,-9.0567905,53.27067
9,Claremorris,0.01,0.3333333,0.6666667,-9.0017356,53.72388
10,Clare,0.01,0.4285714,0.5714286,-8.9811351,52.90453
11,Adare,0.01,0.4285714,0.5714286,-8.7925892,52.56363
12,Charleville,0.01,0.4285714,0.5714286,-8.681017599999999,52.36206
13,Mallow,0.01,0.4285714,0.5714286,-8.6539164,52.13898
14,Limerick,0.01,0.4285714,0.5714286,-8.6267343,52.66384
15,Loughrea,0.01,0.4285714,0.5714286,-8.5660931,53.19891
16,Sligo,0.01,0.25,0.75,-8.476088800000001,54.27661
17,Cork,0.01,0.4285714,0.5714286,-8.4756035,51.89851
18,Nenagh,0.01,0.4285714,0.5714286,-8.19834,52.8635
19,Roscommon,0.01,0.4285714,0.5714286,-8.1890955,53.62759000000001
20,Tipperary,0.01,0.4285714,0.5714286,-8.161851400000002,52.47379
21,Donegal,0.01,0.3333333,0.6666667,-8.1096143,54.653830000000006
22,Leitrim,0.01,0.3333333,0.6666667,-8.0020132,54.12469
23,Athlone,0.01,0.4285714,0.5714286,-7.9406898,53.42393000000001
24,Longford,0.01,0.4285714,0.5714286,-7.7932573,53.72763000000001
25,Offaly,0.01,0.4285714,0.5714286,-7.7122229,53.23569000000001
26,Fermanagh,0.01,0.3333333,0.6666667,-7.6318728,54.34383
27,Enniskillen,0.01,0.3333333,0.6666667,-7.631533599999999,54.34382
28,Doon,0.01,0.4166667000000001,0.5833333,-7.60964,54.185930000000006
29,Westmeath,0.01,0.4285714,0.5714286,-7.4653217,53.53453
30,Strabane,0.01,0.3333333,0.6666667,-7.4633103,54.82739
31,Cavan,0.01,0.4166667000000001,0.5833333,-7.3633319,53.98972
32,Mullingar,0.01,0.4285714,0.5714286,-7.3401868000000015,53.52582
33,Laois,0.01,0.4285714,0.5714286,-7.3323006999999985,52.99429
34,Omagh,0.01,0.3333333,0.6666667,-7.309959700000001,54.59771
35,Derry,0.01,0.25,0.75,-7.308574799999999,54.99661
36,Derry,0.01,0.25,0.75,-7.308574799999999,54.99661
37,Kilkenny,0.01,0.4285714,0.5714286,-7.2447879,52.65415
38,Tyrone,0.01,0.3333333,0.6666667,-7.131232000000002,54.49121
39,Waterford,0.01,0.4285714,0.5714286,-7.110070200000001,52.25932
40,Monaghan,0.01,0.4166667000000001,0.5833333,-6.9683132,54.2492
41,Carlow,0.01,0.4285714,0.5714286,-6.9341358999999985,52.83651
42,Kildare,0.01,0.4285714,0.5714286,-6.8194708,53.21204
43,Dungannon,0.01,0.4166667000000001,0.5833333,-6.7669352,54.50827
44,Cookstown,0.01,0.4166667000000001,0.5833333,-6.7443895000000005,54.64182
45,Coleraine,0.01,0.375,0.625,-6.6646103000000005,55.13258
46,Meath,0.01,0.4285714,0.5714286,-6.656416900000001,53.60555
47,Armagh,0.01,0.4166667000000001,0.5833333,-6.652792,54.35028000000001
48,Armagh,0.01,0.4166667000000001,0.5833333,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.4375,0.5625,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.4285714,0.5714286,-6.4889423,53.925230000000006
51,Wexford,0.01,0.4285714,0.5714286,-6.4633381,52.33692
52,Craigavon,0.01,0.3571429,0.6428571,-6.4175653,54.44293
53,Drogheda,0.01,0.4285714,0.5714286,-6.3560985,53.71786
54,Rosslare,0.01,0.4285714,0.5714286,-6.3414908,52.25131
55,Newry,0.01,0.5,0.5,-6.34023,54.1751
56,Ballymena,0.01,0.5,0.5,-6.2802213,54.86529
57,Banbridge,0.01,0.4285714,0.5714286,-6.2704803,54.34873
58,Dublin,0.01,0.4285714,0.5714286,-6.2603097000000005,53.34981
59,Antrim,0.01,0.5,0.5,-6.2072498,54.719530000000006
60,Antrim,0.01,0.5,0.5,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.4285714,0.5714286,-6.044589,52.98082
62,Kilkeel,0.01,0.4375,0.5625,-6.007004,54.06312
63,Belfast,0.01,0.4166667000000001,0.5833333,-5.93012,54.59728000000001
64,Down,0.01,0.4166667000000001,0.5833333,-5.7156922,54.32875
65,Balivanich,0.01,0.45,0.55,-7.3743509,57.47227
66,Western Isles,0.01,0.45,0.55,-7.0194034,57.75989000000001
67,Dunvegan,0.01,0.45,0.55,-6.5813982000000015,57.4366
68,Stornoway,0.01,0.45,0.55,-6.384869200000002,58.20943000000001
69,Scilly Isles,0.01,0.44,0.56,-6.327496599999999,49.92773
70,Portree,0.01,0.45,0.55,-6.1960231,57.41246999999999
71,Islay,0.01,0.4313725000000001,0.5686275,-6.177067,55.73625
72,Mull,0.01,0.4509804,0.5490195999999999,-6.0008870000000005,56.4392
73,Broadford,0.01,0.45,0.55,-5.9096592,57.24139
74,Kyle of Lochalsh,0.01,0.45,0.55,-5.7143293,57.28261
75,Campbeltown,0.01,0.4230769,0.5769231,-5.6053739999999985,55.42412
76,Penzance,0.01,0.44,0.56,-5.537592,50.1188
77,Oban,0.01,0.4411765,0.5588234999999999,-5.471047,56.41516
78,Lochgilphead,0.01,0.4215686,0.5784314,-5.4323449,56.03829
79,Helston,0.01,0.44,0.56,-5.274996,50.10159
80,Redruth,0.01,0.44,0.56,-5.226666000000002,50.23302
81,Ullapool,0.01,0.45,0.55,-5.161313,57.89542
82,Ballachulish,0.01,0.44,0.56,-5.1337199999999985,56.67393000000001
83,Fort William,0.01,0.45,0.55,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.45,0.55,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.44,0.56,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.44,0.56,-5.0662699999999985,50.15257
87,Rothesay,0.01,0.4313725000000001,0.5686275,-5.055793,55.83596
88,Truro,0.01,0.44,0.56,-5.0510410000000014,50.2632
89,Milford Haven,0.01,0.4230769,0.5769231,-5.0426971,51.71431
90,Stranraer,0.01,0.4423077,0.5576923,-5.0240550000000015,54.90337
91,Fishguard,0.01,0.4074074,0.5925925999999999,-4.975989,51.99393
92,Inchnadamph,0.01,0.45,0.55,-4.974295,58.15221
93,Haverfordwest,0.01,0.4038462,0.5961538000000001,-4.971319,51.80048
94,Dunoon,0.01,0.4313725000000001,0.5686275,-4.926214,55.95097
95,Pembroke,0.01,0.4230769,0.5769231,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.4326923,0.5673077,-4.8542179,55.24016
97,Wadebridge,0.01,0.44,0.56,-4.836456,50.51665
98,Invergarry,0.01,0.45,0.55,-4.800261,57.07095
99,St Austell,0.01,0.44,0.56,-4.7834252,50.34038
100,Greenock,0.01,0.4313725000000001,0.5686275,-4.7719830000000005,55.956480000000006
