index,placename,longitude,latitude,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc
0,Dingle,-10.264013499999999,52.14094,0.1008952005776076,0.01,0.25293196280328945,0.048842506966141834,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.17071431902023324,0.01,0.37558793950470504,0.07608203303959701,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.2832535637142784,0.01,0.5430864956784953,0.11940561621247128,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.1102426448365312,0.01,0.25383512573876493,0.04981360434192664,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.15754580310131783,0.01,0.4221301027685527,0.08227219390251955,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.09572132474651417,0.024242252243305135,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.011077191291617165,0.01,0.09545001779797478,0.012774428919172099,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.010885691890858017,0.01,0.09004182273015264,0.014887969622233954,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.38653050101113506,0.01,0.7635737544227439,0.188273711655189,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.25686463687711525,0.01,0.5602151721415837,0.0945009225195296,0.01,0.01
10,Clare,-8.9811351,52.90453,0.24963421790536083,0.01,0.49446733015701483,0.1111184256907538,0.01,0.01
11,Adare,-8.7925892,52.56363,0.09155595356865982,0.01,0.23816709861726018,0.042841013820924916,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01144662986035201,0.01,0.0809794896453897,0.01291526449730761,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.1431784202397236,0.01,0.2640851848095884,0.061365955173044745,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.36664383235870135,0.01,0.6796304646073434,0.1472265307319342,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.010805318689258882,0.01,0.08098775897416635,0.0169241978067386,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.2622637740739182,0.01,0.5369657558319492,0.1531835689424958,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.47572078540460466,0.01,0.7052567674991523,0.18944613360301235,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.1920561205577144,0.01,0.3726397435150162,0.08458267062417332,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.2022190195978469,0.01,0.3349648435978382,0.10498640772282586,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.26582327790731136,0.01,0.42265771858102424,0.10365649713064301,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.27383860319418374,0.01,0.7278309155650052,0.2315498994621548,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.16197436703252344,0.01,0.4497180191165195,0.13768125049230387,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.17930173826285722,0.01,0.32909406061446994,0.10730762484764542,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.19537984493170793,0.01,0.34075974712013646,0.10448097237156007,0.01,0.01
