,placename,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc,longitude,latitude
0,Dingle,0.7933241929421777,0.01,0.5958412104295483,0.10605348713807058,0.01,0.01,-10.264013499999999,52.14094
1,Tralee,0.7933241929421777,0.01,0.5958412104295483,0.10605348713807058,0.01,0.01,-9.6999325,52.27131
2,Killarney,0.7998329070896779,0.01,0.5637414215695001,0.10566996558352415,0.01,0.01,-9.5044265,52.059940000000005
3,Bantry,0.8051704761836556,0.01,0.5649034908562668,0.09926226010482779,0.01,0.01,-9.4539805,51.68035
4,Mayo,0.7530942237730923,0.01,0.7043207619398824,0.12836041970009826,0.01,0.01,-9.4289369,54.01526
5,Ballycastle,0.7354392354456196,0.01,0.5997954312636938,0.17187470567169497,0.01,0.01,-9.3724643,54.279669999999996
6,Abbeyfeale,0.7981000109921355,0.01,0.5984954959335183,0.09996235109297544,0.01,0.01,-9.2970823,52.386179999999996
7,Ennistymon,0.7915828892624904,0.01,0.5725827654303307,0.11321592887833345,0.01,0.01,-9.2934951,52.940369999999994
8,Galway,0.7675400068568503,0.01,0.5970227182133959,0.13550133342719548,0.01,0.01,-9.0567905,53.270669999999996
9,Claremorris,0.8051346661115585,0.01,0.6389633392858403,0.082885469929438,0.01,0.01,-9.0017356,53.72388
10,Clare,0.7921938402316511,0.01,0.571262226264365,0.11280467206682525,0.01,0.01,-8.9811351,52.90453
11,Adare,0.7984889395142973,0.01,0.6011035239648345,0.0989359671852801,0.01,0.01,-8.7925892,52.56363
12,Charleville,0.8106727716092764,0.01,0.529161662454075,0.10084550195307516,0.01,0.01,-8.681017599999999,52.36206
13,Mallow,0.8212108973474709,0.01,0.4854364708157428,0.09839611637512895,0.01,0.01,-8.6539164,52.13898
14,Limerick,0.8045296315890924,0.01,0.5622648403133129,0.10058544355403386,0.01,0.01,-8.6267343,52.66384
15,Loughrea,0.7888476225381749,0.01,0.5292012839701898,0.12598469580720056,0.01,0.01,-8.5660931,53.19891
16,Sligo,0.7439807161204801,0.01,0.584272375134443,0.1654741403173652,0.01,0.01,-8.476088800000001,54.27661
17,Cork,0.8235992734603466,0.01,0.45292324567806624,0.10285187690009383,0.01,0.01,-8.4756035,51.898509999999995
18,Nenagh,0.8035995038903754,0.01,0.5375543670971018,0.10713519803960171,0.01,0.01,-8.19834,52.8635
19,Roscommon,0.7927966950105982,0.01,0.4572527703176318,0.13738410169862122,0.01,0.01,-8.1890955,53.627590000000005
