,Unnamed:_0,Unnamed:_0,placename,dont_have,have_no,have_not_got,havent,havent_got,longitude,latitude
0,0,138,Limerick,0.16083381941331976,0.8426391059229096,0.01,0.01,0.2022156105860638,-8.6267343,52.66384
1,1,1,Westmeath,0.060312669614332265,1.0,0.01,0.01,0.01,-7.4653217000000005,53.534530000000004
2,2,2,Mullingar,0.06140927957373121,0.9992196388564568,0.01,0.01,0.01,-7.3401868000000015,53.525819999999996
3,3,3,Offaly,0.06254648720379659,0.998410437756886,0.01,0.01,0.01,-7.7122229,53.23569000000001
4,4,4,Ballycastle,0.0643335277653279,0.9971388360289878,0.01,0.01,0.01,-9.3724643,54.279669999999996
5,5,5,Mayo,0.06558273362828003,0.9962498443844041,0.01,0.01,0.01,-9.4289369,54.01526
6,6,6,Claremorris,0.07186193009162171,0.9917818141966606,0.01,0.01,0.01,-9.0017356,53.72388
7,7,7,Longford,0.08041689281910969,0.9856944204779068,0.01,0.01,0.01,-7.7932573000000005,53.72763000000001
8,8,8,Leitrim,0.08237828044884406,0.9842988069390856,0.01,0.01,0.01,-8.0020132,54.12469
9,9,9,Sligo,0.08339531627172879,0.9835749240427656,0.01,0.01,0.01,-8.476088800000001,54.27661
10,10,77,Laois,0.0993385146589002,0.9545588039493438,0.01,0.01,0.04163262437665148,-7.3323006999999985,52.99429
11,11,86,Donegal,0.1809380426180972,0.8927083939172686,0.01,0.01,0.05055389981549743,-8.1096143,54.653830000000006
12,12,90,Derry,0.20265060232825274,0.8746834213993435,0.01,0.01,0.0566203705111349,-7.308574799999999,54.99661
13,13,91,Strabane,0.20265060232825274,0.8746834213993435,0.01,0.01,0.0566203705111349,-7.4633103,54.82739
14,14,14,Athlone,0.1089519214823486,0.9653896494359142,0.01,0.01,0.01,-7.9406898,53.42393000000001
15,15,110,Coleraine,0.34641127737091915,0.7656092657010729,0.01,0.01,0.07259021962028217,-6.6646103000000005,55.132580000000004
16,16,16,Kilkeel,0.12062537300376493,0.9570832614337208,0.01,0.01,0.01,-6.007004,54.06312
17,17,147,Dingle,0.17776368980812698,0.8215570980659446,0.01,0.01,0.22350146135194576,-10.264013499999999,52.14094
18,18,18,Louth,0.18763946161138967,0.9093980764710659,0.01,0.01,0.01,-6.4889423,53.925230000000006
19,19,19,Loughrea,0.12745321219780995,0.9522249305077226,0.01,0.01,0.01,-8.5660931,53.19891
20,20,144,Killarney,0.16887550194021064,0.8326251521908512,0.01,0.01,0.21232638941675588,-9.5044265,52.05994000000001
21,21,21,Galway,0.1286670555306558,0.9513611738246638,0.01,0.01,0.01,-9.0567905,53.270669999999996
22,22,22,Clare,0.13116543348145965,0.9495831905354952,0.01,0.01,0.01,-8.9811351,52.90453
23,23,143,Abbeyfeale,0.16887550194021064,0.8326251521908512,0.01,0.01,0.21232638941675588,-9.2970823,52.386179999999996
24,24,24,Nenagh,0.16747984724197595,0.9237430705997316,0.01,0.01,0.01,-8.19834,52.8635
25,25,142,Tralee,0.16887550194021064,0.8326251521908512,0.01,0.01,0.21232638941675588,-9.6999325,52.27131
26,26,141,Adare,0.16887550194021064,0.8326251521908512,0.01,0.01,0.21232638941675588,-8.7925892,52.56363
27,27,27,Roscommon,0.14072959620854233,0.9427776819116276,0.01,0.01,0.01,-8.1890955,53.62759000000001
28,28,128,Ennistymon,0.17320563868545955,0.8785861884489244,0.01,0.01,0.09678695760636387,-9.2934951,52.940369999999994
29,29,140,Mallow,0.12356745444836648,0.852408641027625,0.06834349609727515,0.01,0.20714769782054776,-8.6539164,52.13898
30,30,139,Charleville,0.12356745444836648,0.852408641027625,0.06834349609727515,0.01,0.20714769782054776,-8.681017599999999,52.36206
31,31,145,Bantry,0.16887550194021064,0.8176043417592469,0.0700520832194987,0.01,0.21232638941675588,-9.4539805,51.68035
32,32,146,Tipperary,0.17101316181887022,0.8147523104409773,0.07093881930139109,0.01,0.21501406781232665,-8.161851400000002,52.47379
33,33,131,Waterford,0.12825986292037755,0.875595965674684,0.07093881930139109,0.01,0.14334271187488445,-7.110070200000001,52.25932
34,34,59,Carlow,0.09006694562647914,0.9467833114710442,0.07472222583690971,0.01,0.03774691556143561,-6.934135899999999,52.83651
35,35,148,Cork,0.13510040155216851,0.8346278468040762,0.07472222583690971,0.01,0.2264814820445396,-8.4756035,51.898509999999995
36,36,35,Kilkenny,0.15832078306894748,0.911484406956774,0.08756510402437337,0.01,0.01,-7.2447879,52.65415
37,37,38,Wexford,0.16083381941331976,0.9093980764710659,0.08895502702211475,0.01,0.01,-6.4633381,52.33692
38,38,132,Dalbeattie,0.3145049870624478,0.7364189042066439,0.09075573543585526,0.01,0.14900097234728482,-3.8225269999999996,54.934219999999996
39,39,133,Castle Douglas,0.3145049870624478,0.7364189042066439,0.09075573543585526,0.01,0.14900097234728482,-3.9314139999999997,54.940419999999996
40,40,134,Dumfries,0.2471348751216326,0.7840211742957164,0.09112465772692242,0.01,0.14960666876082768,-3.60512,55.070859999999996
41,41,17,Rosslare,0.16887550194021064,0.9027223476493272,0.09340277388988716,0.01,0.01,-6.3414908,52.25131
42,42,130,Lockerbie,0.3341386893437194,0.7248288468776181,0.1198752207635361,0.01,0.12868266179677126,-3.349008,55.12224000000001
43,43,264,Leeds,0.6714931059953844,0.3012362247151692,0.1330365949504822,0.01,0.4872376071187342,-1.5490774,53.80076
44,44,297,Thirsk,0.7005456705218692,0.2530446581912444,0.1347695377809995,0.01,0.5389714641316096,-1.341377,54.23385
45,45,10,Antrim,0.18648827108976374,0.851239901809563,0.1375255660681876,0.01,0.01,-6.2072498,54.719530000000006
46,46,12,Down,0.2279301166152891,0.8217512871032041,0.1375255660681876,0.01,0.01,-5.7156921999999994,54.32875
47,47,37,Belfast,0.1911798014091647,0.8464178611615674,0.14098532077089887,0.01,0.01,-5.93012,54.59728000000001
48,48,23,Ballymena,0.13245138665363396,0.8858360727286012,0.14651415622024785,0.01,0.01,-6.2802213,54.86529
49,49,240,Cardigan,0.4143413804761681,0.4889891451212166,0.16666666106250005,0.01,0.4630662293966045,-4.660864,52.0837
50,50,181,London,0.6291567269360816,0.4238908753743788,0.16754503572773935,0.01,0.3190185712607082,-0.12775830000000002,51.50735
51,51,242,Fishguard,0.4174450757761265,0.4848400367805573,0.16791510126880466,0.01,0.4665348895487465,-4.975989,51.99393
