,placename,do_not_have,dont_have,have_not_got,havent,havent_got,longitude,latitude
0,Dingle,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-10.264013499999999,52.14094
1,Tralee,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-9.6999325,52.27131
2,Killarney,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-9.5044265,52.05994000000001
3,Bantry,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-9.4539805,51.68035
4,Mayo,0.5786581927151292,0.3701299000000001,0.5354497448555193,0.8399999964720002,0.3591353455461543,-9.4289369,54.01526
5,Ballycastle,1.0,0.3701299000000001,0.01,0.8281690101921128,0.0825,-9.3724643,54.279669999999996
6,Abbeyfeale,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-9.2970823,52.386179999999996
7,Ennistymon,0.5174820172722651,0.3701299000000001,0.4598954834225026,0.7214723972734971,0.12206878612045385,-9.2934951,52.940369999999994
8,Galway,0.5386158690315589,0.3701299000000001,0.464166980217113,0.7281733775621054,0.12917565678920515,-9.0567905,53.270669999999996
9,Claremorris,0.5760603036468585,0.3701299000000001,0.4931773796685127,0.7736842099847371,0.28001125001179017,-9.0017356,53.72388
10,Clare,0.5174820172722651,0.3701299000000001,0.4598954834225026,0.7214723972734971,0.12206878612045385,-8.9811351,52.90453
11,Adare,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.7925892,52.56363
12,Charleville,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.681017599999999,52.36206
13,Mallow,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.6539164,52.13898
14,Limerick,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.6267343,52.66384
15,Loughrea,0.5174820172722651,0.3701299000000001,0.4598954834225026,0.7214723972734971,0.12206878612045385,-8.5660931,53.19891
16,Sligo,0.8619431712630206,0.3701299000000001,0.06999345519776863,0.7686274540933334,0.37587566242512427,-8.476088800000001,54.27661
17,Cork,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.4756035,51.898509999999995
18,Nenagh,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.19834,52.8635
19,Roscommon,0.6246423496693723,0.3701299000000001,0.5134449556859113,0.8054794573306852,0.21116409325505195,-8.1890955,53.62759000000001
20,Tipperary,0.4677765691001173,0.3701299000000001,0.4613105700082069,0.9046153898621542,0.12442316601305332,-8.161851400000002,52.47379
21,Donegal,0.6172920306521883,0.3701299000000001,0.3325774746251705,0.7304347814582609,0.5189124063574103,-8.1096143,54.653830000000006
22,Leitrim,0.9094913141075259,0.3701299000000001,0.18787710721561904,0.5157894684231579,0.17744305597465496,-8.0020132,54.12469
23,Athlone,0.5927627468651171,0.3701299000000001,0.5099521634552443,1.0,0.20535278242522406,-7.9406898,53.42393000000001
24,Longford,0.6046021822544617,0.3701299000000001,0.5471749162784164,0.5364963440879562,0.3810821448078879,-7.7932573000000005,53.72763000000001
25,Offaly,0.5224784096689298,0.3701299000000001,0.5048010833647598,0.989898983217172,0.19678252157259127,-7.7122229,53.23569000000001
26,Fermanagh,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.6318728,54.343830000000004
27,Enniskillen,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.631533599999999,54.343819999999994
28,Doon,0.5219987781144261,0.3701299000000001,0.5520100274744618,0.8082474232259794,0.4284003242485382,-7.60964,54.185930000000006
29,Westmeath,0.519863933918659,0.3701299000000001,0.5615203110277641,0.660674152876854,0.4079334409640585,-7.4653217000000005,53.534530000000004
30,Strabane,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.4633103,54.82739
31,Cavan,0.6052535550788419,0.3701299000000001,0.5532321915170946,0.6509225109934318,0.2773619002978617,-7.3633319,53.98972
32,Mullingar,0.519863933918659,0.3701299000000001,0.5615203110277641,0.660674152876854,0.4079334409640585,-7.3401868000000015,53.525819999999996
33,Laois,0.4759389444235575,0.3701299000000001,0.5048010833647598,0.989898983217172,0.19678252157259127,-7.3323006999999985,52.99429
34,Omagh,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.309959700000001,54.59771
35,Derry,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.308574799999999,54.99661
36,Kilkenny,0.492876365636818,0.3701299000000001,0.491560428528998,0.9639344173613116,0.0825,-7.2447879,52.65415
37,Tyrone,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-7.1312320000000025,54.491209999999995
38,Waterford,0.4380985027755049,0.3825168312066811,0.4670589442890778,0.9158878496429907,0.0825,-7.110070200000001,52.25932
39,Monaghan,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-6.9683132,54.2492
40,Carlow,0.5158299146338765,0.3701299000000001,0.4867724904554744,0.9545454538772729,0.0825,-6.934135899999999,52.83651
41,Kildare,0.4883606414622819,0.3701299000000001,0.533544239848502,0.8370106779770821,0.2446051274703819,-6.8194707999999995,53.21204
42,Dungannon,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.7669352,54.508269999999996
43,Cookstown,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.7443895000000005,54.641819999999996
44,Coleraine,0.6033409033107017,0.3701299000000001,0.3346560905346996,0.7349999987505001,0.3312953860062855,-6.6646103000000005,55.132580000000004
45,Meath,0.5544416369949355,0.3701299000000001,0.5657582351233721,0.8875471610911699,0.2982026406814675,-6.656416900000001,53.60555
46,Armagh,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.652792,54.35028000000001
47,Magherafelt,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.607980499999999,54.75536999999999
48,Louth,0.5674811879381646,0.3701299000000001,0.5724934432840117,0.8320754763854719,0.33742364908070205,-6.4889423,53.925230000000006
49,Wexford,0.4604259045270585,0.3701299000000001,0.4627343308797777,0.9074074049574076,0.0825,-6.4633381,52.33692
50,Craigavon,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.4175653,54.442930000000004
51,Drogheda,0.5158299146338765,0.3701299000000001,0.5910808850920029,0.9545454538772729,0.3692589530239512,-6.3560985,53.717859999999995
52,Rosslare,0.4604259045270585,0.3701299000000001,0.4627343308797777,0.9074074049574076,0.0825,-6.3414908,52.25131
53,Newry,0.3827166082446868,0.3701299000000001,0.6260643335372147,0.7236923030697232,0.41224542580460544,-6.34023,54.1751
54,Ballymena,0.3827166082446868,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.2802213,54.86529
55,Banbridge,0.3706947193533406,0.3701299000000001,0.5533523464398402,0.7148936180846809,0.4941887281460999,-6.2704803,54.34873
56,Dublin,0.4254055443749032,0.3701299000000001,0.6393430053048612,0.8776119456080599,0.28766565451379045,-6.2603097000000005,53.34981
57,Antrim,0.3401869733728464,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-6.2072498,54.719530000000006
