,placename,dont_got_any,dont_got_none,dont_have,dont_have_negc,got_none,have_none,havent,havent_got,havent_got_negc,havent_negc,not_got_any,not_got_none,longitude,latitude
0,Brecon,0.01,0.01,0.01,0.01,0.1657351098430793,0.3859308894214749,0.5118585828176195,1.0,1.0,0.01,0.33618586156694064,0.01,-3.391463,51.94895
1,Merthyr Tydfil,0.01,0.01,0.1116833433449832,0.01,0.14667489768457476,0.28921553468458505,0.5178899075113885,0.9851795423081796,0.8849958729292319,0.01,0.2417375199437444,0.01,-3.381646,51.74873
2,Swansea,0.01,0.01,0.15896791407396998,0.3696756666225442,0.2449892885272752,0.2982280483806041,0.29191854680561924,0.9989766397321376,0.01,0.01,0.2737821747136215,0.01,-3.943646,51.62144
3,Llandeilo,0.01,0.01,0.1705243923584507,0.3893329036792727,0.3440219289404404,0.3034323356677659,0.2532079924059639,0.9933073679621368,0.01,0.01,0.2447258551673909,0.01,-3.99143,51.88469
4,Lampeter,0.01,0.01,0.21471351051131773,0.3575318049445198,0.4343925631546333,0.2326673047034329,0.23156146618472825,0.9819809682905956,0.01,0.01,0.28481445910827946,0.01,-4.078509,52.1129
5,Tregaron,0.01,0.01,0.2153508095711069,0.3565820772482511,0.4332386401544744,0.28376331946180977,0.257845623685852,0.9254811919695672,0.31685359939720825,0.01,0.28405786871281635,0.01,-3.934385,52.22
6,Llanelli,0.01,0.01,0.21536361960245934,0.3679866219836108,0.4064499060511058,0.2518274021684364,0.23410933926679,0.9961149698827022,0.01,0.01,0.20382590546164048,0.01,-4.160248,51.68089000000001
7,Aberystwyth,0.01,0.01,0.2457728040289385,0.3659800081192375,0.40423355369498215,0.26272463470617874,0.2671485295232812,0.9052472899773378,0.01,0.01,0.3188766852585955,0.01,-4.08292,52.4153
8,Cardigan,0.01,0.01,0.2507019210929526,0.3458631695446361,0.496618249018923,0.2336421546803729,0.17481168764525182,0.9651239687411786,0.01,0.01,0.2496891430177482,0.01,-4.660864,52.0837
9,Tenby,0.01,0.01,0.2606996930624992,0.3830374139314309,0.5076886241330788,0.2266159303029253,0.2184089541283189,0.9559518711786494,0.01,0.01,0.2121624762408381,0.01,-4.703579,51.67274000000001
10,Liverpool,0.062399408424959765,0.01,0.2715392670923567,0.1495728500621829,0.3579479554617658,0.31370881530435163,0.34810124719170826,0.7892706755407272,0.2658165107234957,0.01,0.3723489763402264,0.15466757895228653,-2.9915726,53.40837
11,Birkenhead,0.058360352423344135,0.01,0.2870082949528023,0.1398911364963352,0.3347783576477211,0.3299236355299394,0.33894002273464113,0.7711140805081035,0.24861047053974256,0.01,0.3586945995129381,0.14465608960020626,-3.023009,53.38999
12,Carmarthen,0.01,0.01,0.288321323166439,0.32362712218373263,0.4646899028201392,0.2168946892769835,0.1697780353660398,0.9472808467612099,0.01,0.01,0.23363626507497626,0.01,-4.312131,51.85762
13,Chester,0.05433376202173351,0.01,0.28985715442538623,0.13023934354099995,0.2972949639442985,0.3476988688621175,0.3081648215174906,0.7743144181580361,0.2314575328228889,0.01,0.3452940660699583,0.1346755191851692,-2.893075,53.19339
14,Llandrindod Wells,0.01,0.01,0.2906957539778581,0.01,0.5383538509794935,0.2076385797194949,0.2632095387736756,0.9034685407796644,0.8960767904611365,0.01,0.1976942288837628,0.01,-3.377742,52.2417
