,Unnamed:_0,Unnamed:_0,placename,dinna,dinnae,dinnit,divna,divnae,divnt,dont,longitude,latitude
0,0,0,Dingle,0.01,0.03880952471219057,0.01,0.01,0.01,0.01,0.9712035061044118,-10.264013499999999,52.14094
1,1,1,Tralee,0.01,0.03894385324803022,0.01,0.01,0.01,0.01,0.9711041589100948,-9.6999325,52.27131
2,2,2,Killarney,0.01,0.03881656422207346,0.01,0.01,0.01,0.01,0.9701873262311128,-9.5044265,52.05994000000001
3,3,3,Bantry,0.01,0.04004876905751293,0.01,0.01,0.01,0.01,0.9693107055117351,-9.4539805,51.68035
4,4,4,Mayo,0.01,0.022069197422476552,0.01,0.01,0.01,0.01,0.9835112042346508,-9.4289369,54.01526
5,5,5,Ballycastle,0.01,0.026900123722144842,0.01,0.01,0.01,0.01,0.9801026493058228,-9.3724643,54.279669999999996
6,6,6,Abbeyfeale,0.01,0.03644054558397297,0.01,0.01,0.01,0.01,0.9731838268444628,-9.2970823,52.386179999999996
7,7,7,Ennistymon,0.01,0.026188427485552862,0.01,0.01,0.01,0.01,0.9812162840459288,-9.2934951,52.940369999999994
8,8,8,Galway,0.01,0.02205145819263251,0.01,0.01,0.01,0.01,0.9841834535828616,-9.0567905,53.270669999999996
9,9,9,Claremorris,0.01,0.01965422868527705,0.01,0.01,0.01,0.01,0.9859026331264228,-9.0017356,53.72388
10,10,10,Clare,0.01,0.02727139779825601,0.01,0.01,0.01,0.01,0.980439483602746,-8.9811351,52.90453
11,11,11,Adare,0.01,0.03451160728769605,0.01,0.01,0.01,0.01,0.9752459907493566,-8.7925892,52.56363
12,12,12,Charleville,0.01,0.039469650004214235,0.01,0.01,0.01,0.01,0.9699999858075434,-8.681017599999999,52.36206
13,13,13,Mallow,0.01,0.03831652065228982,0.01,0.01,0.01,0.01,0.9709239147146916,-8.6539164,52.13898
14,14,14,Limerick,0.01,0.035495084378890075,0.01,0.01,0.01,0.01,0.9745406256697072,-8.6267343,52.66384
15,15,15,Loughrea,0.01,0.021136179375077783,0.01,0.01,0.01,0.01,0.984840091229109,-8.5660931,53.19891
16,16,16,Sligo,0.01,0.03629170231733972,0.01,0.01,0.01,0.01,0.9730717064394488,-8.476088800000001,54.27661
17,17,17,Cork,0.01,0.04130801844874627,0.01,0.01,0.01,0.01,0.9681436125194496,-8.4756035,51.898509999999995
