,placename,might_be_able_to,might_can,might_could,longitude,latitude
0,Dingle,1.0,0.01,0.01,-10.264013499999999,52.14094
1,Tralee,1.0,0.01,0.01,-9.6999325,52.27131
2,Killarney,1.0,0.01,0.01,-9.5044265,52.05994000000001
3,Bantry,1.0,0.01,0.01,-9.4539805,51.68035
4,Mayo,1.0,0.01,0.01,-9.4289369,54.01526
5,Ballycastle,0.8798719354274894,0.01,0.19506048035987905,-9.3724643,54.279669999999996
6,Abbeyfeale,1.0,0.01,0.01,-9.2970823,52.386179999999996
7,Ennistymon,1.0,0.01,0.01,-9.2934951,52.940369999999994
8,Galway,1.0,0.01,0.01,-9.0567905,53.270669999999996
9,Claremorris,1.0,0.01,0.01,-9.0017356,53.72388
10,Clare,1.0,0.01,0.01,-8.9811351,52.90453
11,Adare,1.0,0.01,0.01,-8.7925892,52.56363
12,Charleville,1.0,0.01,0.01,-8.681017599999999,52.36206
13,Mallow,1.0,0.01,0.01,-8.6539164,52.13898
14,Limerick,1.0,0.01,0.01,-8.6267343,52.66384
15,Loughrea,1.0,0.01,0.01,-8.5660931,53.19891
16,Sligo,0.8728212339323458,0.01,0.2065101397869797,-8.476088800000001,54.27661
17,Cork,1.0,0.01,0.01,-8.4756035,51.898509999999995
18,Nenagh,1.0,0.01,0.01,-8.19834,52.8635
19,Roscommon,1.0,0.01,0.01,-8.1890955,53.62759000000001
20,Tipperary,1.0,0.01,0.01,-8.161851400000002,52.47379
21,Donegal,0.8194424583313475,0.01,0.2931818146636363,-8.1096143,54.653830000000006
22,Leitrim,0.5728784339895417,0.2847471131596973,0.2311827958376344,-8.0020132,54.12469
23,Athlone,1.0,0.01,0.01,-7.9406898,53.42393000000001
24,Longford,0.781746031746033,0.21825396825396828,0.01,-7.7932573000000005,53.72763000000001
25,Offaly,1.0,0.01,0.01,-7.7122229,53.23569000000001
26,Fermanagh,0.4818826763271201,0.3454106287101449,0.2804347828891304,-7.6318728,54.343830000000004
27,Enniskillen,0.4818826763271201,0.3454106287101449,0.2804347828891304,-7.631533599999999,54.343819999999994
28,Doon,0.5075750353528149,0.3282828275606061,0.2665289247669421,-7.60964,54.185930000000006
29,Westmeath,0.8617744728855824,0.13822434802844233,0.01,-7.4653217000000005,53.534530000000004
30,Strabane,0.8158158158158155,0.01,0.2990726448018547,-7.4633103,54.82739
31,Balivanich,0.6350159683493014,0.3649821330239068,0.01,-7.3743509000000005,57.472269999999995
32,Cavan,0.5194877417099577,0.3203405003185484,0.2600806469298387,-7.3633319,53.98972
33,Mullingar,0.8617744728855824,0.13822434802844233,0.01,-7.3401868000000015,53.525819999999996
34,Laois,1.0,0.01,0.01,-7.3323006999999985,52.9943
35,Omagh,0.8068624179735315,0.01,0.31361426007277143,-7.309959700000001,54.59771
36,Derry,0.8068624179735315,0.01,0.31361426007277143,-7.308574799999999,54.99661
37,Derry,0.8068624179735315,0.01,0.31361426007277143,-7.308574799999999,54.99661
38,Kilkenny,1.0,0.01,0.01,-7.2447879,52.65415
39,Tyrone,0.7980242146908831,0.01,0.3279661034440678,-7.1312320000000025,54.491209999999995
40,Waterford,1.0,0.01,0.01,-7.110070200000001,52.25932
41,Western Isles,0.6448075059186184,0.35519125670036433,0.01,-7.0194034,57.75989000000001
42,Monaghan,0.4011710122821192,0.3992183151285595,0.3241206005517588,-6.9683132,54.2492
43,Carlow,1.0,0.01,0.01,-6.934135899999999,52.83651
44,Kildare,0.9314036258480712,0.06859500259807166,0.01,-6.8194707999999995,53.21204
45,Dungannon,0.8976238142904761,0.01,0.16623711386752574,-6.7669352,54.508269999999996
46,Cookstown,0.9033517644628768,0.01,0.1569343046861314,-6.7443895000000005,54.641819999999996
47,Coleraine,0.9048929882263184,0.01,0.15442936979114125,-6.6646103000000005,55.132580000000004
