index,placename,longitude,latitude,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive
0,Dingle,-10.264013499999999,52.14094,0.01,0.14355016645226468,0.016350127236058498
1,Tralee,-9.6999325,52.27131,0.012930917557604078,0.21642209560913556,0.029039906114653465
2,Killarney,-9.5044265,52.059940000000005,0.02190890043204217,0.3330250247915428,0.04934491800388109
3,Bantry,-9.4539805,51.68035,0.01,0.15250870806243794,0.01791015060065296
4,Mayo,-9.4289369,54.01526,0.03767054472766464,0.18761072162395653,0.051667267711557344
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.042960329999078756,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.04965843476404467,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.04965843476404467,0.01
8,Galway,-9.0567905,53.270669999999996,0.030615957959093512,0.4387988234009823,0.09004210969305804
9,Claremorris,-9.0017356,53.72388,0.04037462532625746,0.2928512176857065,0.05574437198645343
10,Clare,-8.9811351,52.90453,0.019283546295788438,0.2989278353994887,0.043407298418768954
11,Adare,-8.7925892,52.56363,0.01,0.1334898340383729,0.014598240120477573
12,Charleville,-8.681017599999999,52.36206,0.01,0.04965843476404467,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.18702829256547762,0.02959480118348835
14,Limerick,-8.6267343,52.66384,0.028536288733084086,0.41909924653359204,0.06433371895496405
15,Loughrea,-8.5660931,53.19891,0.01,0.04847982670292384,0.01
16,Sligo,-8.476088800000001,54.27661,0.13304644867918317,0.25889026547649024,0.09024452441251712
17,Cork,-8.4756035,51.898509999999995,0.014074444621910235,0.5313705351212984,0.10153923424528027
18,Nenagh,-8.19834,52.8635,0.01,0.23960978942605105,0.04008655638979259
19,Roscommon,-8.1890955,53.627590000000005,0.06771858941278307,0.22175836412176073,0.05498943019802635
20,Tipperary,-8.161851400000002,52.47379,0.01,0.3128625782931411,0.05669393524611882
21,Donegal,-8.1096143,54.653830000000006,0.20577502811772552,0.2505006415466817,0.11839729534058524
22,Leitrim,-8.0020132,54.12469,0.0815494138198334,0.1815240367232511,0.06090818277632873
23,Athlone,-7.9406898,53.423930000000006,0.0458123546239145,0.2043342921413541,0.06290469190218033
24,Longford,-7.7932573000000005,53.727630000000005,0.051107475543411496,0.21710745423402988,0.06720362974815326
25,Offaly,-7.7122229,53.235690000000005,0.05203828875554348,0.2790681819462543,0.0721684098803858
26,Fermanagh,-7.6318728,54.343830000000004,0.11401953591664901,0.12651687635610892,0.060753305193860324
27,Enniskillen,-7.631533599999999,54.343819999999994,0.14120993216420652,0.16325764928344608,0.07783525741035514
28,Doon,-7.60964,54.185930000000006,0.09275928922167334,0.09257871089819913,0.04490170553814544
29,Westmeath,-7.4653217000000005,53.534530000000004,0.048160247376384774,0.2034780655692348,0.07042846799866392
30,Strabane,-7.4633103,54.82739,0.1395444217321492,0.16894642383226383,0.09514322307910493
31,Balivanich,-7.3743509000000005,57.472269999999995,0.11522111958995863,0.015389325184189668,0.01
32,Cavan,-7.3633319,53.98972,0.04987135310665273,0.24052518432241732,0.08237244817852694
33,Mullingar,-7.340186800000001,53.525819999999996,0.04713127913543798,0.1989655851366427,0.06882161857324837
34,Laois,-7.332300699999999,52.9943,0.0482797572609408,0.2694455093998655,0.07617112238329318
35,Omagh,-7.309959700000001,54.59771,0.1474142365608538,0.18000815916177146,0.101076132883117
36,Derry,-7.308574799999999,54.99661,0.21642072483928276,0.27700300922743654,0.15309886528010327
37,Derry,-7.308574799999999,54.99661,0.21642072483928276,0.27700300922743654,0.15309886528010327
38,Kilkenny,-7.2447879,52.65415,0.0540568584929509,0.3128999058824218,0.07771743296635912
39,Tyrone,-7.131232000000001,54.491209999999995,0.1203371719620503,0.12673151136275368,0.07428684531150989
40,Waterford,-7.110070200000001,52.25932,0.04673215018495825,0.3521466057545684,0.09343941804305776
41,Western Isles,-7.0194034,57.759890000000006,0.22951796380989553,0.07412445688021382,0.03840401462834644
42,Monaghan,-6.9683132,54.2492,0.1710477042419709,0.17547408302874995,0.10215853526115501
43,Carlow,-6.934135899999999,52.83651,0.05860256060231734,0.2806900762673571,0.07418210187839062
44,Kildare,-6.8194707999999995,53.21204,0.07875945093592818,0.34086606950279646,0.10902668289996952
45,Dungannon,-6.7669352,54.508269999999996,0.12357888358508459,0.13089920669786545,0.07656778811167476
46,Cookstown,-6.7443895000000005,54.641819999999996,0.15870885750533173,0.1627861963388742,0.08234048709339523
47,Coleraine,-6.6646103000000005,55.132580000000004,0.2227426687833376,0.23150618979229792,0.12005449009125303
48,Meath,-6.656416900000001,53.60555,0.06954997902689643,0.30013327500434955,0.09563689564410273
49,Armagh,-6.652792,54.350280000000005,0.17373551759262565,0.18089775245086015,0.07844995104926929
50,Armagh,-6.652792,54.350280000000005,0.17373551759262565,0.18089775245086015,0.07844995104926929
51,Magherafelt,-6.607980499999999,54.75536999999999,0.16876527429220073,0.17490713108446013,0.0882634157015519
52,Dunvegan,-6.581398200000001,57.4366,0.09432789119019015,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.11196868251819767,0.28769790045404725,0.09153454920335735
54,Wexford,-6.4633381,52.33692,0.0531850870556264,0.32861271543773646,0.09227344211189265
55,Craigavon,-6.4175653,54.442930000000004,0.19599083575609558,0.20772194723557663,0.0899847420682767
56,Stornoway,-6.384869200000001,58.209430000000005,0.25945076589622107,0.11540953875933126,0.09029096709015595
57,Drogheda,-6.3560985,53.717859999999995,0.05889053570949144,0.22782498272340534,0.06543419571796653
58,Rosslare,-6.3414908,52.25131,0.01,0.043926317244815695,0.01
59,Newry,-6.34023,54.1751,0.1624868727006792,0.22578999861222204,0.07496215666215847
60,Scilly Isles,-6.327496599999999,49.92773,0.07781405226290693,0.13790136415997858,0.04463154744749495
61,Ballymena,-6.2802213,54.86529,0.18728036935554107,0.19722325658197337,0.09916825273819797
62,Banbridge,-6.2704803,54.34873,0.16579315403288172,0.17132487168534033,0.07433347411617375
63,Dublin,-6.2603097000000005,53.34981,0.1508164568232153,0.6654666394749373,0.19684521675816422
64,Antrim,-6.2072498,54.719530000000006,0.20264591371326784,0.2157432487857171,0.10821809864107595
65,Antrim,-6.2072498,54.719530000000006,0.20264591371326784,0.2157432487857171,0.10821809864107595
66,Portree,-6.1960231,57.41246999999999,0.30523742688419575,0.10656212497460933,0.04680598654875114
67,Islay,-6.177067,55.73625,0.25058381702624233,0.07043459425095831,0.05501391689529267
68,Wicklow,-6.044589,52.980819999999994,0.06965149219389458,0.30629347869578066,0.07937456571971287
69,Kilkeel,-6.007004,54.06312,0.06688127548332673,0.1376540522960275,0.04486873347276971
70,Mull,-6.0008870000000005,56.4392,0.28259627334556625,0.06969709552613756,0.026579531771347312
71,Belfast,-5.93012,54.597280000000005,0.37978393103006924,0.4197440175327035,0.2125470903263487
72,Broadford,-5.9096592,57.24139,0.09537434009878124,0.010343407127405694,0.01
73,Down,-5.7156921999999994,54.32875,0.18113648033949106,0.23854550159374466,0.07933830100453437
74,Kyle of Lochalsh,-5.7143293,57.28261,0.09537434009878124,0.010343407127405694,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.22764990722470313,0.09226940037001233,0.06225672070754834
76,Penzance,-5.537592,50.1188,0.13142677558798901,0.2418898268913373,0.10202422360114391
77,Oban,-5.471047,56.41516,0.37725069518723414,0.10058407570294954,0.054897572049472196
78,Lochgilphead,-5.4323449,56.03829,0.23217498020097704,0.0592015886366906,0.01787940566976183
79,Helston,-5.274996,50.10159,0.09770358990484056,0.17386942550215745,0.07342301884877751
80,Redruth,-5.226666000000001,50.23302,0.10995278583123386,0.19857632097272174,0.08381176930771454
81,Ullapool,-5.161313,57.895419999999994,0.19165238760810538,0.08157024129223076,0.06154402577168583
82,Ballachulish,-5.133719999999999,56.673930000000006,0.10552592095679945,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.33993248991786196,0.10463911494647372,0.05533910352921063
84,Achnasheen,-5.078765799999999,57.578590000000005,0.07296153644815921,0.014962355702842956,0.01728753773438122
85,Newquay,-5.0737190000000005,50.4155,0.12771002577958557,0.23439306142540173,0.09887198515954893
86,Falmouth,-5.066269999999999,50.152570000000004,0.1381899497394342,0.248411520485162,0.1282173081443643
87,Rothesay,-5.055793,55.83596,0.3498010072702067,0.10146395181563622,0.03323388807300145
88,Truro,-5.051041000000001,50.2632,0.19356746404773714,0.36722895147304,0.15472679360117764
89,Milford Haven,-5.0426971,51.71431,0.10817853425221932,0.16395919834920164,0.04987715805275244
90,Stranraer,-5.024055000000001,54.903369999999995,0.20883947472051514,0.1269449164788628,0.0681805518025906
91,Fishguard,-4.975989,51.99393,0.05772195191223553,0.13305555440774403,0.04314701393629646
92,Inchnadamph,-4.974295,58.15221,0.0845950110466074,0.010931683392138868,0.01571338824636033
93,Haverfordwest,-4.971319,51.800470000000004,0.0814937759461712,0.19573917529504445,0.06465238709841684
94,Dunoon,-4.926214,55.95097,0.31159471665561006,0.09317949005611784,0.028812748938625826
95,Pembroke,-4.908637000000001,51.674040000000005,0.15324212418709793,0.24266031851925274,0.07535662255288314
96,Girvan,-4.8542179,55.240159999999996,0.32244829789691043,0.08132561267010939,0.028061158070681883
