,placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
0,Dingle,0.027184918631193072,0.989078655759066,0.055037453267292,-10.264013499999999,52.14094
1,Tralee,0.027184918631193072,0.989078655759066,0.055037453267292,-9.6999325,52.27131
2,Killarney,0.027184918631193072,0.989078655759066,0.055037453267292,-9.5044265,52.059940000000005
3,Bantry,0.027184918631193072,0.989078655759066,0.055037453267292,-9.4539805,51.68035
4,Mayo,0.09620584847784833,0.8696608048762537,0.1254619765504716,-9.4289369,54.01526
5,Ballycastle,0.09719624350718921,0.8674946638716169,0.12705520632386966,-9.3724643,54.279669999999996
6,Abbeyfeale,0.027184918631193072,0.989078655759066,0.055037453267292,-9.2970823,52.386179999999996
7,Ennistymon,0.027184918631193072,0.989078655759066,0.055037453267292,-9.2934951,52.940369999999994
8,Galway,0.027184918631193072,0.9654155160710831,0.08549354379684618,-9.0567905,53.270669999999996
9,Claremorris,0.06682289337041285,0.9339298029925936,0.07819414983640098,-9.0017356,53.72388
10,Clare,0.027184918631193072,0.989078655759066,0.055037453267292,-8.9811351,52.90453
11,Adare,0.027184918631193072,0.989078655759066,0.055037453267292,-8.7925892,52.56363
12,Charleville,0.027184918631193072,0.989078655759066,0.055037453267292,-8.681017599999999,52.36206
13,Mallow,0.01,1.0,0.07377965607674097,-8.6539164,52.13898
14,Limerick,0.027184918631193072,0.989078655759066,0.055037453267292,-8.6267343,52.66384
15,Loughrea,0.02649332148562162,0.96768456325527,0.08340751710787922,-8.5660931,53.19891
16,Sligo,0.23480591859720568,0.7278041252429539,0.1408191581582285,-8.476088800000001,54.27661
17,Cork,0.01,0.9965511096148447,0.07747877966879521,-8.4756035,51.898509999999995
18,Nenagh,0.01,1.0,0.07377965607674097,-8.19834,52.8635
19,Roscommon,0.147089783129806,0.8382262041386004,0.10452862230621676,-8.1890955,53.627590000000005
20,Tipperary,0.01,0.9965511096148447,0.07747877966879521,-8.161851400000002,52.47379
21,Donegal,0.34100930072025915,0.5998229127764497,0.17740452133769202,-8.1096143,54.653830000000006
22,Leitrim,0.20254252644515758,0.7580481491880634,0.1408191581582285,-8.0020132,54.12469
23,Athlone,0.1065204641109027,0.8492349504823642,0.13930697574833073,-7.9406898,53.423930000000006
24,Longford,0.11198223134044473,0.8443429883409344,0.1390135079816303,-7.7932573000000005,53.727630000000005
25,Offaly,0.09029274013835213,0.8844627684079392,0.11354522920922422,-7.7122229,53.235690000000005
26,Fermanagh,0.34100930072025915,0.5998229127764497,0.17740452133769202,-7.6318728,54.343830000000004
27,Enniskillen,0.34100930072025915,0.5998229127764497,0.17740452133769202,-7.631533599999999,54.343819999999994
28,Doon,0.35273424599971603,0.590558971374363,0.1751815517956245,-7.60964,54.185930000000006
29,Westmeath,0.11109165370633872,0.8311023364473242,0.15712976463547412,-7.4653217000000005,53.534530000000004
30,Strabane,0.32367695150550324,0.5889567698636186,0.2123017267035537,-7.4633103,54.82739
31,Balivanich,0.7844788130672092,0.245380466635227,0.0985461822174541,-7.3743509000000005,57.472269999999995
32,Cavan,0.09786568526223056,0.8441107679390689,0.1563440920199836,-7.3633319,53.98972
33,Mullingar,0.11109165370633872,0.8311023364473242,0.15712976463547412,-7.340186800000001,53.525819999999996
34,Laois,0.08587741980393841,0.878204743770428,0.1269267716896647,-7.332300699999999,52.9943
35,Omagh,0.32367695150550324,0.5889567698636186,0.2123017267035537,-7.309959700000001,54.59771
36,Derry,0.32367695150550324,0.5889567698636186,0.2123017267035537,-7.308574799999999,54.99661
37,Derry,0.32367695150550324,0.5889567698636186,0.2123017267035537,-7.308574799999999,54.99661
38,Kilkenny,0.08361073614965484,0.8952449167073293,0.10772968616689037,-7.2447879,52.65415
39,Tyrone,0.3484611091108454,0.5657238257110069,0.2123017267035537,-7.131232000000001,54.491209999999995
40,Waterford,0.061894218642625176,0.9074408323542481,0.11823387181587583,-7.110070200000001,52.25932
41,Western Isles,0.7373286524088215,0.27543230817879233,0.11675466971839812,-7.0194034,57.759890000000006
42,Monaghan,0.3705598661734441,0.5464767922712689,0.2104117399035729,-6.9683132,54.2492
43,Carlow,0.10136509193760065,0.8727278860753627,0.11528996229280185,-6.934135899999999,52.83651
44,Kildare,0.11109165370633872,0.8431004473352072,0.1416872157695715,-6.8194707999999995,53.21204
45,Dungannon,0.3484611091108454,0.5657238257110069,0.2123017267035537,-6.7669352,54.508269999999996
46,Cookstown,0.3732452848912413,0.5657238257110069,0.18239935018258904,-6.7443895000000005,54.641819999999996
47,Coleraine,0.38152583938305135,0.5539187490970154,0.18760278388922266,-6.6646103000000005,55.132580000000004
48,Meath,0.11109165370633872,0.8431004473352072,0.1416872157695715,-6.656416900000001,53.60555
49,Armagh,0.37872749905626024,0.5814623377012804,0.15552857485316088,-6.652792,54.350280000000005
50,Armagh,0.37872749905626024,0.5814623377012804,0.15552857485316088,-6.652792,54.350280000000005
51,Magherafelt,0.3732452848912413,0.5657238257110069,0.18239935018258904,-6.607980499999999,54.75536999999999
52,Dunvegan,0.7453669334340473,0.25561537213873115,0.13256208521884674,-6.581398200000001,57.4366
53,Louth,0.1845658352245991,0.7813149978600967,0.13256208521884674,-6.4889423,53.925230000000006
54,Wexford,0.07701551804264847,0.8876652973102642,0.12544248220356904,-6.4633381,52.33692
55,Craigavon,0.37872749905626024,0.5814623377012804,0.15552857485316088,-6.4175653,54.442930000000004
56,Stornoway,0.6258077221077899,0.30960891562783666,0.20731799362865974,-6.384869200000001,58.209430000000005
57,Drogheda,0.12389099911360263,0.8431004473352072,0.12624468883206802,-6.3560985,53.717859999999995
58,Rosslare,0.08824230327367248,0.8850292635188736,0.11528996229280185,-6.3414908,52.25131
59,Newry,0.31254204117122225,0.668083273588686,0.12389473193014382,-6.34023,54.1751
