,placename,at,at_the,down_,down_the,in_,in_the,up_,up_the,longitude,latitude
0,Leitrim,0.01,0.01,0.01,0.2612211663093663,0.2281795598252061,1.0,0.01,0.25919313255997883,-8.0020132,54.12469
1,Meath,0.033913342109002195,0.2751750231994086,0.029129724063199188,0.051212226305476616,0.22167630698941426,0.8873963879576953,0.22353469295961287,0.14635135641309896,-6.656416900000001,53.60555
2,Rosslare,0.0396212049693553,0.20741373930531126,0.2248532813539824,0.039707065216780316,0.27031172891613764,0.9290348991015358,0.01,0.053794799942559035,-6.3414908,52.25131
3,Wexford,0.0396212049693553,0.20741373930531126,0.2248532813539824,0.039707065216780316,0.27031172891613764,0.9290348991015358,0.01,0.053794799942559035,-6.4633381,52.33692
4,Drogheda,0.039885564842071335,0.2689376500103798,0.03001984218603305,0.059127684952126974,0.24005782327757336,0.8782704491914363,0.2303652276284192,0.15082340724624815,-6.3560985,53.71786
5,Offaly,0.05393884086246758,0.20386891698325127,0.24085778318230425,0.08316747063935219,0.2374985807133053,0.9065254670718134,0.30804770457883224,0.17287134106799756,-7.7122229,53.23569000000001
6,Dublin,0.06551043619378998,0.28126136682305863,0.029857970134154168,0.046578024509269365,0.2165260326032009,0.8828832787800711,0.2291230594072076,0.15001013977696093,-6.2603097000000005,53.34981
7,Bantry,0.0674847301045901,0.2997750990225873,0.1906755832460078,0.0623243476129824,0.17121860041988082,0.8711723841392487,0.2032221891801565,0.2280899547292227,-9.4539805,51.68035
8,Wicklow,0.06781515951160852,0.2891370411436643,0.030161056524456026,0.032148321437685284,0.20415012905402008,0.8890953533330784,0.2314488967644534,0.15153289872799616,-6.044589,52.98082
9,Cork,0.07215855707406504,0.3161237220680852,0.19456692634109904,0.05613983784895802,0.1675475631218903,0.8676571551423109,0.2073695858040535,0.15516323528290546,-8.4756035,51.89851
10,Newtown,0.0801096781514589,0.6745098256244321,0.15583385065936844,0.34160370348303226,0.15249514229044506,0.4263071233162882,0.2790275667465601,0.4523587427732776,-3.313106,52.51211
11,Killarney,0.08142858952714782,0.3118929086739637,0.20228498065822206,0.08107257001082581,0.1671036883348006,0.8508777593398302,0.215595506034446,0.2419773528601813,-9.5044265,52.05994000000001
12,Charleville,0.08187769888939157,0.32833476871268985,0.2026588934946585,0.08167646291739224,0.1678743705122293,0.8431867803862458,0.21599400900567872,0.16161642034274454,-8.681017599999999,52.36206
13,Louth,0.08309291515268667,0.12445643086424145,0.01,0.2932493415143316,0.3034364809512894,0.8567257698838271,0.01,0.09813073207353534,-6.4889423,53.925230000000006
14,Abbeyfeale,0.08323499870789784,0.3230601403531481,0.20378896452704226,0.05738212179090111,0.17020362470791028,0.8513584455244296,0.217198445470326,0.2437764397504017,-9.2970823,52.38618
15,Adare,0.08460752857575471,0.31772636754842304,0.20493170793826865,0.08534682493555662,0.1725590013805522,0.8469849449222197,0.21841637842888206,0.1634289415412349,-8.7925892,52.56363
16,Limerick,0.08460752857575471,0.31772636754842304,0.20493170793826865,0.08534682493555662,0.1725590013805522,0.8469849449222197,0.21841637842888206,0.1634289415412349,-8.6267343,52.66384
17,Dingle,0.08553113979754931,0.3273473099543227,0.2057006755611356,0.06022431793475511,0.1871096356902695,0.8376997915336358,0.21923594863951887,0.2460632711590225,-10.2640135,52.14094
18,Tralee,0.08553113979754931,0.3273473099543227,0.2057006755611356,0.06022431793475511,0.1871096356902695,0.8376997915336358,0.21923594863951887,0.2460632711590225,-9.6999325,52.27131
19,Kilkenny,0.0882320896050009,0.16780652094545606,0.20939354563128096,0.03619331486688078,0.2345492286716713,0.9592430848965492,0.26780617272607243,0.15028845247890396,-7.2447879,52.65415
20,Llanidloes,0.09081942705862113,0.5899432390759575,0.13361853099043494,0.4799560250736054,0.10558359652189583,0.4341255415747913,0.4557143752068074,0.5896215513829023,-3.540195,52.44779000000001
21,Clare,0.09441486300243664,0.33572321954308204,0.2130971054514235,0.05756487053435425,0.14909334618356485,0.8485845279218839,0.2271190696099025,0.25491102876881266,-8.9811351,52.90453
22,Ennistymon,0.09441486300243664,0.33572321954308204,0.2130971054514235,0.05756487053435425,0.14909334618356485,0.8485845279218839,0.2271190696099025,0.25491102876881266,-9.2934951,52.94037
23,Laois,0.09877152896209118,0.22931120970584,0.2909725646013114,0.0564754041691164,0.2068450979271538,0.9127169214720354,0.3721425541519942,0.06961344218436799,-7.3323006999999985,52.99429
24,Doon,0.09893742479482004,0.01952421504548504,0.01,0.2872886831523224,0.2610916693693295,0.9634272857354852,0.01,0.0835893721008037,-7.60964,54.185930000000006
25,Slough,0.1004581411356958,0.8099762484357349,0.1506126295723327,0.6274117775347061,0.2367020524872433,0.14835794286595105,0.2889415069082009,0.3002764013841508,-0.5950406,51.51054
26,Carlow,0.11588953228354973,0.19763661331809546,0.01,0.022683397954675458,0.25300303096750537,0.9436234881794128,0.2974614170002843,0.0556434971582744,-6.9341358999999985,52.83651
27,Kildare,0.1161419860175069,0.28686923188517593,0.029560913859235288,0.04026121336734337,0.225301802720428,0.8710527196460363,0.2268435074286397,0.14851768561763612,-6.8194708,53.21204
28,Waterford,0.12294853755426385,0.1987744679513572,0.16354185478418662,0.012217185604710723,0.2521821079415302,0.9359788200607718,0.20916364961601425,0.1565056387547119,-7.110070200000001,52.25932
29,Pwllheli,0.12706073261441506,0.391659585527557,0.10662028825742292,0.2059855166878199,0.13664474198421772,0.7382788797916078,0.2832158501515715,0.2354609045803708,-4.417633900000001,52.88882
30,Tipperary,0.13634787503349452,0.2819754092605499,0.1754215384136349,0.0714154828164188,0.18176288987019407,0.8751936519676526,0.1869644177850323,0.1398951723505026,-8.161851400000002,52.47379
31,Mallow,0.13634787503349452,0.2819754092605499,0.1754215384136349,0.0714154828164188,0.18176288987019407,0.8751936519676526,0.1869644177850323,0.1398951723505026,-8.6539164,52.13898
32,Welshpool,0.13710749758437518,0.627439507695157,0.08666615221864117,0.36107266275528616,0.16023451350031032,0.4615655563672158,0.2955803446223968,0.2488122943584684,-3.146407,52.66035
33,High Wycombe,0.1402187323885526,0.7710736938942062,0.4497373162964179,0.5969339102975579,0.18813884746111287,0.17593587605733196,0.4154196753477401,0.5887944605218972,-0.748229,51.62861
34,Machynlleth,0.14090749025542482,0.5249049654380985,0.1285629279360463,0.3552851976468764,0.10402122361413868,0.5642485086728023,0.21923594863951887,0.3759300012471654,-3.853485,52.59027
35,Castle Douglas,0.14346839989532406,0.4146490313702982,0.2397202658710764,0.07835796776090137,0.23030142366808365,0.7318545190755005,0.1962194369120181,0.2248184186893235,-3.931414,54.94042
36,Dalbeattie,0.1446914900123979,0.42374455987280896,0.2452805895830195,0.07681826919726015,0.2295645348537076,0.7247855250583868,0.2007707584752636,0.23003308992972296,-3.822527,54.93422
37,Porthmadog,0.14487130812637564,0.4118973783041783,0.0982179803020251,0.1802748552343287,0.14219010155769435,0.7310854887872001,0.2898852916039036,0.2169051914329036,-4.133384,52.92784
38,Cavan,0.14736949938773294,0.01,0.01,0.18722253948946704,0.3404231440446593,0.9810466992374935,0.01,0.09913206674342714,-7.3633319,53.98972
39,Dolgellau,0.15082930888133925,0.4241632602986744,0.10474909777139543,0.2039466843012295,0.12864304029143284,0.7156433605981328,0.2782454011047564,0.2197621262709214,-3.8844,52.74215
40,Holyhead,0.15281003265197254,0.4196144187735959,0.11473559013020684,0.13517814243525592,0.1962894749154077,0.7206239725839856,0.2476276990636156,0.20587351717237728,-4.633038,53.30944
41,Stranraer,0.15468469098052773,0.3925553703958901,0.23955265607304524,0.06585018284710878,0.22851618042117586,0.7561180162331304,0.1960822400851922,0.2109064602121692,-5.0240550000000015,54.90337
42,Newton Stewart,0.15521618973317586,0.3943279716640653,0.2399553124594737,0.07375482130671883,0.2278682324212143,0.7496754016112789,0.1964118232979189,0.22963148149197365,-4.483164,54.9603
43,Glasgow,0.15533824808933036,0.4087388537012298,0.096019107864164,0.04040391336655647,0.19512799218979396,0.7740849300148634,0.245609394803074,0.22971996956020946,-4.251806,55.86424
44,Dumbarton,0.15627343850785838,0.3929742398058845,0.13482348509202902,0.03828568610103413,0.2051822433223036,0.7811752202553449,0.2463342558508265,0.2303979409109372,-4.564554,55.94529
45,Helensburgh,0.15629575230109288,0.38722210454355227,0.1252020339908102,0.03312122487889818,0.2052141707941447,0.788598137222722,0.24635157343002384,0.2304141337771368,-4.734014,56.00232
46,Caernarfon,0.15672641668406948,0.39935723506816095,0.07360459338374642,0.1452398624683966,0.18386001337774896,0.7376812333961289,0.28241221865755084,0.21131349833129545,-4.273911,53.13955
47,Airdrie,0.15683270008749786,0.4231936293659267,0.09647196952942497,0.03631233692432389,0.17825453064301305,0.7738493194166456,0.19741420965332115,0.2308034008376503,-3.962566,55.86626999999999
48,Llangefni,0.1596413772923233,0.4204647891572347,0.07326814949153063,0.13500171717773546,0.2026596275114464,0.7170975884224263,0.2530091893829311,0.21034759211380136,-4.311401999999998,53.25578
49,Mullingar,0.1601815400086449,0.17315131996460456,0.01,0.13292571674605216,0.2448810829522021,0.9065934121654166,0.3449527979698376,0.06452729526184145,-7.3401868000000015,53.52582
50,Lochgilphead,0.1607230922285744,0.3755180102862329,0.12694609868071854,0.043011437921354916,0.19382629119499065,0.799259432283249,0.2497832352068115,0.2149338892137954,-5.4323449,56.03829
51,Campbeltown,0.1614347087920568,0.37298312161170977,0.12956801112231026,0.04130782055014886,0.20198438221413145,0.8003891462276445,0.2039537692616732,0.20029716882248624,-5.6053739999999985,55.42412
52,Corwen,0.16262167181532244,0.412816102768036,0.08832168385088138,0.17863882890164706,0.15356485081128604,0.7277805177416128,0.2606768922881981,0.17554514001023613,-3.369242,52.98005
53,Girvan,0.16542944992957806,0.38345223760757,0.21189100928252208,0.054426454205033815,0.2009585566903015,0.780903101845639,0.20647644509501828,0.22208648455952493,-4.8542179,55.24016
54,Greenock,0.16633200063590226,0.392905336527246,0.12465017793134553,0.034842126444986785,0.20030742976457225,0.7859269823488109,0.2452657074620806,0.21104664391831268,-4.7719830000000005,55.956480000000006
55,Motherwell,0.16640082193225186,0.4283441388826481,0.09590488286034904,0.039080267238946816,0.16703319911125528,0.7728575238712071,0.19625376825323387,0.2294466843410228,-3.9810968,55.78321
56,Magherafelt,0.1664184768016242,0.23374611368187598,0.3383903129595165,0.24882699335949665,0.3452549038903625,0.7298834352904113,0.8655760073984624,0.01,-6.607980499999999,54.75536999999999
57,Heathrow,0.1690077759073969,0.8046233804244222,0.15115249849333912,0.5540178164918762,0.1798524245908705,0.21784008294033885,0.19331814644738216,0.19889280490450087,-0.4542955,51.47002
58,Llandrindod Wells,0.16929393191514053,0.5944195019175895,0.4652369786921853,0.5630549210210659,0.07815181678717446,0.3621889272483826,0.3966799513065196,0.8676094385943781,-3.377742,52.2417
