,placename,drank,drunk,longitude,latitude
0,Dingle,0.9649123,0.09713307858396736,-10.2640135,52.14094
1,Tralee,0.9649123,0.09713307858396736,-9.6999325,52.27131
2,Killarney,0.9649123,0.09713307858396736,-9.5044265,52.05994000000001
3,Bantry,0.9636364,0.10066519858569037,-9.4539805,51.68035
4,Mayo,0.92,0.2214634147421773,-9.4289369,54.01526
5,Ballycastle,0.92,0.2214634147421773,-9.3724643,54.27967
6,Abbeyfeale,0.9649123,0.09713307858396736,-9.2970823,52.38618
7,Ennistymon,1.0,0.01,-9.2934951,52.94037
8,Galway,0.9473684,0.14569961787595104,-9.0567905,53.27067
9,Claremorris,0.9285714,0.19773518777938298,-9.0017356,53.72388
10,Clare,1.0,0.01,-8.9811351,52.90453
11,Adare,1.0,0.01,-8.7925892,52.56363
12,Charleville,0.9642857,0.09886760773115494,-8.681017599999999,52.36206
13,Mallow,0.962963,0.10252936687928263,-8.6539164,52.13898
14,Limerick,1.0,0.01,-8.6267343,52.66384
15,Loughrea,0.9459459,0.14963743117055486,-8.5660931,53.19891
16,Sligo,0.8461538000000001,0.4258911715492152,-8.476088800000001,54.27661
17,Cork,0.9545455,0.12583149823211293,-8.4756035,51.89851
18,Nenagh,1.0,0.01,-8.19834,52.8635
19,Roscommon,0.92,0.2214634147421773,-8.1890955,53.62759000000001
20,Tipperary,1.0,0.01,-8.161851400000002,52.47379
21,Donegal,1.0,0.01,-8.1096143,54.653830000000006
22,Leitrim,1.0,0.01,-8.0020132,54.12469
23,Athlone,0.9130435,0.2407210981662054,-7.9406898,53.42393000000001
24,Longford,1.0,0.01,-7.7932573,53.72763000000001
25,Offaly,0.9333333,0.18455285484612333,-7.7122229,53.23569000000001
26,Fermanagh,1.0,0.01,-7.6318728,54.34383
27,Enniskillen,1.0,0.01,-7.631533599999999,54.34382
28,Doon,0.8461538000000001,0.4258911715492152,-7.60964,54.185930000000006
29,Westmeath,0.92,0.2214634147421773,-7.4653217,53.53453
30,Strabane,0.8947368,0.2913992357519021,-7.4633103,54.82739
31,Cavan,1.0,0.01,-7.3633319,53.98972
32,Mullingar,0.92,0.2214634147421773,-7.3401868000000015,53.52582
33,Laois,0.9333333,0.18455285484612333,-7.3323006999999985,52.99429
34,Omagh,0.8947368,0.2913992357519021,-7.309959700000001,54.59771
35,Derry,0.8888889000000001,0.307588072954921,-7.308574799999999,54.99661
36,Derry,0.8888889000000001,0.307588072954921,-7.308574799999999,54.99661
37,Kilkenny,1.0,0.01,-7.2447879,52.65415
38,Tyrone,0.9,0.2768292684277216,-7.131232000000002,54.49121
39,Waterford,1.0,0.01,-7.110070200000001,52.25932
40,Monaghan,0.8571429,0.39547037555876596,-6.9683132,54.2492
41,Carlow,0.9444444,0.15379405031892393,-6.9341358999999985,52.83651
42,Kildare,0.9541284,0.12698590396438336,-6.8194708,53.21204
43,Dungannon,0.8461538000000001,0.4258911715492152,-6.7669352,54.50827
44,Cookstown,0.8333333,0.4613821232738449,-6.7443895000000005,54.64182
45,Coleraine,1.0,0.01,-6.6646103000000005,55.13258
46,Meath,0.9619048,0.10545877419778478,-6.656416900000001,53.60555
47,Armagh,0.8461538000000001,0.4258911715492152,-6.652792,54.35028000000001
48,Armagh,0.8461538000000001,0.4258911715492152,-6.652792,54.35028000000001
49,Magherafelt,0.8181818000000001,0.503325937562598,-6.607980499999999,54.75536999999999
50,Louth,1.0,0.01,-6.4889423,53.925230000000006
51,Wexford,1.0,0.01,-6.4633381,52.33692
52,Craigavon,0.8461538000000001,0.4258911715492152,-6.4175653,54.44293
53,Drogheda,0.9607843,0.10856050773588316,-6.3560985,53.71786
54,Rosslare,1.0,0.01,-6.3414908,52.25131
55,Newry,0.9322034,0.18768085948179555,-6.34023,54.1751
56,Ballymena,1.0,0.01,-6.2802213,54.86529
57,Banbridge,0.9322034,0.18768085948179555,-6.2704803,54.34873
58,Dublin,0.9619048,0.10545877419778478,-6.2603097000000005,53.34981
59,Antrim,0.9310345,0.19091674448337406,-6.2072498,54.719530000000006
60,Antrim,0.9310345,0.19091674448337406,-6.2072498,54.719530000000006
61,Wicklow,0.9622642,0.10446387748998237,-6.044589,52.98082
62,Kilkeel,0.9322034,0.18768085948179555,-6.007004,54.06312
63,Belfast,0.9322034,0.18768085948179555,-5.93012,54.59728000000001
64,Down,0.9333333,0.18455285484612333,-5.7156922,54.32875
65,Balivanich,0.9071367,0.2570727386619867,-7.3743509,57.47227
66,Western Isles,0.9061685,0.2597529165901234,-7.0194034,57.75989000000001
67,Dunvegan,0.9061685,0.2597529165901234,-6.5813982000000015,57.4366
68,Stornoway,0.9281975,0.19877044619452214,-6.384869200000002,58.20943000000001
69,Scilly Isles,0.884984,0.3183978683260477,-6.327496599999999,49.92773
70,Portree,0.90518,0.2624895676890193,-6.1960231,57.41246999999999
71,Islay,0.8862068999999999,0.3150126062512256,-6.177067,55.73625
72,Mull,0.9059233,0.260431729639235,-6.0008870000000005,56.4392
73,Broadford,0.90518,0.2624895676890193,-5.9096592,57.24139
74,Kyle of Lochalsh,0.9061685,0.2597529165901234,-5.7143293,57.28261
