index,placename,longitude,latitude,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP
0,Dingle,-10.264013499999999,52.14094,0.043828422286208334,0.15921687213849633,0.01,0.01,0.01,0.31843374427699267,0.04821351415925331,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.06157900427294321,0.22369996313616597,0.01,0.01,0.01,0.44739992627233194,0.06774006545429576,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.089981845782603,0.6537596969016527,0.01,0.01,0.01,0.32687984845082635,0.09898464898839038,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.04601059763373669,0.3342882567220154,0.01,0.01,0.01,0.1671441283610077,0.05061401904918495,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.07877104040474325,0.2146155027495804,0.01,0.01,0.01,0.01,0.08665218763962401,0.01,0.1368647325497421
5,Ballycastle,-9.3724643,54.279669999999996,0.048901325100442,0.01,0.01,0.01,0.01,0.01,0.03073941024415212,0.01,0.04855204786403864
6,Abbeyfeale,-9.2970823,52.386179999999996,0.020957710607634353,0.07613372683920083,0.01,0.01,0.01,0.15226745367840167,0.023054557394932125,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.020957710607634353,0.01,0.01,0.01,0.01,0.15226745367840167,0.04610911478986425,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.4269461116230576,0.01,0.01,0.01,0.4269461116230576,0.25857275201425567,0.01,0.20420425330900188
9,Claremorris,-9.0017356,53.72388,0.08313159950974744,0.30199474586100156,0.01,0.01,0.01,0.30199474586100156,0.09144902647581313,0.01,0.144441206754059
10,Clare,-8.9811351,52.90453,0.08167624768984527,0.2967078440621475,0.01,0.01,0.01,0.2967078440621475,0.17969612954597228,0.01,0.01
11,Adare,-8.7925892,52.56363,0.04137786612016844,0.1503146605733916,0.01,0.01,0.01,0.1503146605733916,0.09103555318678194,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.020957710607634353,0.07613372683920083,0.01,0.01,0.01,0.15226745367840167,0.023054557394932125,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.05404117826528814,0.3926341365377238,0.01,0.01,0.01,0.3926341365377238,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.11094832145648854,0.4030454164186785,0.01,0.01,0.01,0.4030454164186785,0.24409769681219193,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.07613372683920083,0.01,0.16950187024482882,0.01,0.07613372683920083,0.023054557394932125,0.01,0.036414035442853536
16,Sligo,-8.476088800000001,54.27661,0.20153802507248447,0.01,0.01,0.01,0.01,0.01,0.03167174024473325,0.01,0.35017244609718073
17,Cork,-8.4756035,51.898509999999995,0.13763749311719853,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.4850448010538086,0.01,0.5399446759305293,0.01,0.2425224005269043,0.07343981221769548,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.069601742458091,0.2528444135451705,0.01,0.5629252994192869,0.01,0.01,0.07656548925257203,0.01,0.12093307156508037
20,Tipperary,-8.161851400000002,52.47379,0.08466546411610865,0.6151337269999235,0.01,0.01,0.01,0.6151337269999235,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.21718477396559577,0.01,0.01,0.01,0.01,0.01,0.03413062990805589,0.01,0.37735868220026136
22,Leitrim,-8.0020132,54.12469,0.14535106710701826,0.01,0.01,0.01,0.01,0.01,0.022841948759062158,0.01,0.2525475710769433
23,Athlone,-7.9406898,53.423930000000006,0.01,0.46790447394398627,0.01,0.520864318102656,0.01,0.01,0.07084462430606259,0.01,0.11189712368903196
24,Longford,-7.7932573000000005,53.727630000000005,0.13610537460274333,0.24721711272169386,0.01,0.5503968438502574,0.01,0.01,0.01,0.01,0.11824158725003475
25,Offaly,-7.7122229,53.235690000000005,0.01,0.5983495977470721,0.01,0.6660738945078702,0.01,0.01,0.09059509967658391,0.01,0.1430924530044177
26,Fermanagh,-7.6318728,54.343830000000004,0.12332202911424718,0.01,0.01,0.01,0.01,0.01,0.019380081109533123,0.01,0.2142721036244762
27,Enniskillen,-7.631533599999999,54.343819999999994,0.1511368788215393,0.01,0.01,0.01,0.01,0.01,0.023751190206979196,0.01,0.26260042259219896
28,Doon,-7.60964,54.185930000000006,0.09840641613687555,0.01,0.01,0.01,0.01,0.01,0.015464587633928177,0.01,0.17098121030963417
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.47226250301808587,0.01,0.5257156114079304,0.01,0.01,0.07150446611066659,0.01,0.11293932556035516
30,Strabane,-7.4633103,54.82739,0.08965579473069459,0.01,0.01,0.543838911356678,0.01,0.01,0.024656494948518546,0.01,0.2726097486778071
31,Cavan,-7.3633319,53.98972,0.17348738091457866,0.01,0.01,0.01,0.01,0.01,0.027263576003036864,0.01,0.3014344341223054
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.4633777609331558,0.01,0.5158252483417738,0.01,0.01,0.07015924235215538,0.01,0.11081458185862773
33,Laois,-7.332300699999999,52.99429,0.01,0.5825991621213917,0.01,0.6485407432583443,0.01,0.01,0.17642070576336416,0.01,0.01
34,Omagh,-7.309959700000001,54.59771,0.1653503358708296,0.01,0.01,0.5731376627964402,0.01,0.01,0.025984837775386644,0.01,0.1641693227135643
