index,placename,longitude,latitude,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP
0,Dingle,-10.264013499999999,52.14094,0.20471094414615837,0.4721945372810124,0.01,0.01,0.01,0.9443890745620248,0.2118873590682966,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.20822117962539968,0.4802913883056666,0.01,0.01,0.01,0.9605827766113332,0.2155206505296131,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.21220763940574736,0.978973435100277,0.01,0.01,0.01,0.4894867175501385,0.21964686096947492,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.2052088861828173,0.9466862210147817,0.01,0.01,0.01,0.47334311050739086,0.21240275712655293,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.2770533484901899,0.4792968321851941,0.01,0.01,0.01,0.01,0.2867658227920709,0.01,0.2619757212732396
5,Ballycastle,-9.3724643,54.279669999999996,0.4603596484904136,0.01,0.01,0.01,0.01,0.01,0.27228466968292087,0.01,0.24874642325682791
6,Abbeyfeale,-9.2970823,52.386179999999996,0.19729699080091304,0.4550932128555746,0.01,0.01,0.01,0.9101864257111492,0.20421349970952193,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.19729699080091304,0.01,0.01,0.01,0.01,0.9101864257111492,0.40842699941904387,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.4960667943318493,0.01,0.01,0.01,0.4960667943318493,0.4451990638337189,0.01,0.20335642637333556
9,Claremorris,-9.0017356,53.72388,0.2113691379932634,0.48755259630357417,0.01,0.01,0.01,0.48755259630357417,0.2187789647726824,0.01,0.1998661365489643
10,Clare,-8.9811351,52.90453,0.21118256394826462,0.4871222370708799,0.01,0.01,0.01,0.4871222370708799,0.4371717002518566,0.01,0.01
11,Adare,-8.7925892,52.56363,0.20412287375162957,0.47083807034178066,0.01,0.01,0.01,0.47083807034178066,0.4225573461649805,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.19729699080091304,0.4550932128555746,0.01,0.01,0.01,0.9101864257111492,0.20421349970952193,0.01,0.01
