placename,jab,jag,shot,longitude,latitude
Dingle,0.6395604,0.008791209,0.351648352,-10.2640135,52.14094
Tralee,0.6395604,0.008791209,0.351648352, -9.6999325,52.27131
Killarney,0.6427015,0.008714597,0.348583878, -9.5044265,52.05994
Bantry,0.6423841,0.008830022,0.348785872, -9.4539805,51.68035
Mayo,0.7054264,0.010335917,0.284237726, -9.4289369,54.01526
Ballycastle,0.7053942,0.016597510,0.278008299, -9.3724643,54.27967
Abbeyfeale,0.6395604,0.008791209,0.351648352, -9.2970823,52.38618
Ennistymon,0.6395604,0.008791209,0.351648352, -9.2934951,52.94037
Galway,0.6391639,0.008800880,0.352035204, -9.0567905,53.27067
Claremorris,0.6653696,0.009338521,0.325291829, -9.0017356,53.72388
Clare,0.6395604,0.008791209,0.351648352, -8.9811351,52.90453
Adare,0.6395604,0.008791209,0.351648352, -8.7925892,52.56363
Charleville,0.6379691,0.008830022,0.353200883, -8.6810176,52.36206
Mallow,0.6439560,0.008791209,0.347252747, -8.6539164,52.13898
Limerick,0.6395604,0.008791209,0.351648352, -8.6267343,52.66384
Loughrea,0.6395604,0.008791209,0.351648352, -8.5660931,53.19891
Sligo,0.8056537,0.014134276,0.180212014, -8.4760888,54.27661
Cork,0.6439560,0.008791209,0.347252747, -8.4756035,51.89851
Nenagh,0.6329866,0.008915305,0.358098068, -8.1983400,52.86350
Roscommon,0.6382721,0.009689140,0.352038757, -8.1890955,53.62759
Tipperary,0.6379691,0.008830022,0.353200883, -8.1618514,52.47379
Donegal,0.8346154,0.007692308,0.157692308, -8.1096143,54.65383
Leitrim,0.6934307,0.009732360,0.296836983, -8.0020132,54.12469
Athlone,0.6347546,0.009654063,0.355591311, -7.9406898,53.42393
Longford,0.6536180,0.009489917,0.336892052, -7.7932573,53.72763
Offaly,0.6348358,0.009167303,0.355996944, -7.7122229,53.23569
Fermanagh,0.8461538,0.015384615,0.138461538, -7.6318728,54.34383
Enniskillen,0.8461538,0.015384615,0.138461538, -7.6315336,54.34382
Doon,0.8438662,0.014869888,0.141263941, -7.6096400,54.18593
Westmeath,0.6274510,0.009803922,0.362745098, -7.4653217,53.53453
Strabane,0.8437500,0.023437500,0.132812500, -7.4633103,54.82739
Balivanich,0.6407214,0.269102990,0.090175605, -7.3743509,57.47227
Cavan,0.7082294,0.009975062,0.281795511, -7.3633319,53.98972
Mullingar,0.6274510,0.009803922,0.362745098, -7.3401868,53.52582
Laois,0.6279070,0.009002251,0.363090773, -7.3323007,52.99430
Omagh,0.8443580,0.023346304,0.132295720, -7.3099597,54.59771
Derry,0.8359375,0.031250000,0.132812500, -7.3085748,54.99661
Derry,0.8359375,0.031250000,0.132812500, -7.3085748,54.99661
Kilkenny,0.6419214,0.008733624,0.349344978, -7.2447879,52.65415
Tyrone,0.8521401,0.015564202,0.132295720, -7.1312320,54.49121
Waterford,0.6455142,0.008752735,0.345733042, -7.1100702,52.25932
Western Isles,0.6710526,0.255060729,0.073886640, -7.0194034,57.75989
Monaghan,0.8521401,0.015564202,0.132295720, -6.9683132,54.24920
Carlow,0.6348358,0.009167303,0.355996944, -6.9341359,52.83651
Kildare,0.6416040,0.010025063,0.348370927, -6.8194708,53.21204
Dungannon,0.8521401,0.015564202,0.132295720, -6.7669352,54.50827
Cookstown,0.8443580,0.023346304,0.132295720, -6.7443895,54.64182
Coleraine,0.8405797,0.101449275,0.057971014, -6.6646103,55.13258
Meath,0.6811224,0.010204082,0.308673469, -6.6564169,53.60555
Armagh,0.7845118,0.013468013,0.202020202, -6.6527920,54.35028
Armagh,0.7845118,0.013468013,0.202020202, -6.6527920,54.35028
Magherafelt,0.8372093,0.031007752,0.131782946, -6.6079805,54.75537
Dunvegan,0.6530418,0.262357414,0.084600760, -6.5813982,57.43660
Louth,0.7331863,0.008820287,0.257993385, -6.4889423,53.92523
Wexford,0.7021429,0.008571429,0.289285714, -6.4633381,52.33692
Craigavon,0.7845118,0.013468013,0.202020202, -6.4175653,54.44293
Stornoway,0.7751196,0.153793575,0.071086808, -6.3848692,58.20943
Drogheda,0.7133183,0.009029345,0.277652370, -6.3560985,53.71786
Rosslare,0.7069465,0.004341534,0.288712012, -6.3414908,52.25131
Newry,0.7494357,0.009029345,0.241534989, -6.3402300,54.17510
Scilly Isles,0.9473684,0.000000000,0.052631579, -6.3274966,49.92773
Ballymena,0.8453608,0.096907216,0.057731959, -6.2802213,54.86529
Banbridge,0.7565012,0.004728132,0.238770686, -6.2704803,54.34873
Dublin,0.6735219,0.010282776,0.316195373, -6.2603097,53.34981
Antrim,0.8295455,0.056818182,0.113636364, -6.2072498,54.71953
Antrim,0.8295455,0.056818182,0.113636364, -6.2072498,54.71953
Portree,0.6734075,0.254802831,0.071789687, -6.1960231,57.41247
Islay,0.6220930,0.305232558,0.072674419, -6.1770670,55.73625
Wicklow,0.7143945,0.009139375,0.276466108, -6.0445890,52.98082
Kilkeel,0.7508571,0.004571429,0.244571429, -6.0070040,54.06312
Mull,0.5816024,0.344213650,0.074183976, -6.0008870,56.43920
Belfast,0.8129771,0.072519084,0.114503817, -5.9301200,54.59728
Broadford,0.6587452,0.256653992,0.084600760, -5.9096592,57.24139
Down,0.7587822,0.004683841,0.236533958, -5.7156922,54.32875
Kyle of Lochalsh,0.6794742,0.248736097,0.071789687, -5.7143293,57.28261
Campbeltown,0.7009901,0.219801980,0.079207921, -5.6053740,55.42412
Penzance,0.9473684,0.000000000,0.052631579, -5.5375920,50.11880
Oban,0.6049383,0.317901235,0.077160494, -5.4710470,56.41516
Lochgilphead,0.5737052,0.349601594,0.076693227, -5.4323449,56.03829
Helston,0.9480874,0.000000000,0.051912568, -5.2749960,50.10159
Redruth,0.9480874,0.000000000,0.051912568, -5.2266660,50.23302
Ullapool,0.8384129,0.108683151,0.052903968, -5.1613130,57.89542
Ballachulish,0.6359026,0.273833671,0.090263692, -5.1337200,56.67393
Fort William,0.6532710,0.263551402,0.083177570, -5.1052179,56.81982
Achnasheen,0.8244275,0.121550206,0.054022314, -5.0787658,57.57859
Newquay,0.9480874,0.000000000,0.051912568, -5.0737190,50.41550
Falmouth,0.9480874,0.000000000,0.051912568, -5.0662700,50.15257
Rothesay,0.5669291,0.363188976,0.069881890, -5.0557930,55.83596
Truro,0.9480874,0.000000000,0.051912568, -5.0510410,50.26320
Milford Haven,0.9677033,0.000000000,0.032296651, -5.0426971,51.71431
Stranraer,0.7942446,0.151079137,0.054676259, -5.0240550,54.90337
Fishguard,0.9764398,0.000000000,0.023560209, -4.9759890,51.99393
Inchnadamph,0.8418631,0.105232892,0.052903968, -4.9742950,58.15221
Haverfordwest,0.9677033,0.000000000,0.032296651, -4.9713190,51.80047
Dunoon,0.5702970,0.359405941,0.070297030, -4.9262140,55.95097
Pembroke,0.9671133,0.000000000,0.032886724, -4.9086370,51.67404
Girvan,0.5777564,0.348098219,0.074145402, -4.8542179,55.24016
Wadebridge,0.9483696,0.000000000,0.051630435, -4.8364560,50.51665
Invergarry,0.7545887,0.169272604,0.076138681, -4.8002610,57.07095
St Austell,0.9478022,0.000000000,0.052197802, -4.7834252,50.34038
Greenock,0.5789726,0.352856457,0.068170907, -4.7719830,55.95648
Helensburgh,0.5805486,0.342643392,0.076807980, -4.7340140,56.00232
Bodmin,0.9480874,0.000000000,0.051912568, -4.7188629,50.47150
Tenby,0.9671133,0.000000000,0.032886724, -4.7035790,51.67274
Camelford,0.9483696,0.000000000,0.051630435, -4.6823640,50.62206
Irvine,0.5644292,0.365997060,0.069573738, -4.6696364,55.61157
Cardigan,0.9759680,0.000000000,0.024032043, -4.6608640,52.08370
Holyhead,0.8534961,0.000000000,0.146503885, -4.6330380,53.30944
Ayr,0.5644292,0.365997060,0.069573738, -4.6291790,55.45856
Dumbarton,0.5805486,0.348628429,0.070822943, -4.5645540,55.94529
Bude,0.9562982,0.000000000,0.043701799, -4.5436780,50.82664
Isle of Man,0.9587459,0.006600660,0.034653465, -4.5126331,54.27697
Kilmarnock,0.5644292,0.365997060,0.069573738, -4.4987920,55.61472
Newton Stewart,0.6440410,0.258089976,0.097868982, -4.4831640,54.96030
