,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
0,Abbeyfeale,0.8231686581353491,0.24159050662810186,0.038823610252182686,-9.2970823,52.3861811
1,Aberaeron,0.6755094853572615,0.3963029457664112,0.10835430900155904,-4.2581619,52.242793
2,Aberdeen,0.9465606958582838,0.06391262946286949,0.046117743087440835,-2.094278,57.149717
3,Aberfeldy,0.8356611845355923,0.19317760372928425,0.08067826863007466,-3.866969,56.621752
4,Aberystwyth,0.6615119950710461,0.4134409672830726,0.11160493827160486,-4.08292,52.415303
5,Abingdon,0.3805255093684661,0.6579563977802061,0.3113442483971809,-1.2879528999999998,51.67078
6,Achnasheen,0.8839051689835304,0.11997561471245778,0.08857534783460776,-5.078765799999998,57.5785922
7,Adare,0.8216825265567731,0.2435315827918968,0.039004521763144034,-8.7925892,52.563633900000006
8,Airdrie,0.8855027107431144,0.13696169105372766,0.06260561234383336,-3.962566,55.86626700000001
9,Alderney,0.3541943949487558,0.6435686883055292,0.3804713804713792,-2.1973557,49.715004
10,Aldershot,0.4063444876583621,0.650867709815078,0.2722071665161092,-0.7557509,51.248366
11,Alness,0.9308483191497549,0.06635015056067782,0.07247073913740583,-4.256825,57.69595500000001
12,Alnwick,0.8020145629013964,0.1837871763990307,0.1568553221023423,-1.7062990000000002,55.412744
13,Alston,0.8216254782800471,0.16187050858103616,0.14947089947090056,-2.438685,54.812167
14,Altnaharra,0.9308483191497549,0.06635015056067782,0.07247073913740583,-4.442655,58.280227
15,Ambleside,0.6653458328119857,0.4241077809617642,0.08995561924094993,-2.961333,54.428736
16,Andover,0.43566460352993297,0.6441808098317794,0.2259209276753125,-1.4919233,51.2111975
17,Antrim,0.9189624575987154,0.07320762679492128,0.08563038742066875,-6.2072498,54.7195338
18,Antrim,0.9189624575987154,0.07320762679492128,0.08563038742066875,-6.2072498,54.7195338
19,Arbroath,0.8948635068772237,0.1702177688231155,0.01,-2.591543,56.559107
20,Armagh,0.9416536478325176,0.07320762679492128,0.042815193710335785,-6.652792,54.3502798
21,Armagh,0.9416536478325176,0.07320762679492128,0.042815193710335785,-6.652792,54.3502798
22,Ashbourne,0.3961716753825961,0.6611356050825061,0.2775256013858741,-1.732179,53.016626
23,Ashford,0.5963783742154104,0.39033732981101454,0.26572604350382045,0.8750190000000001,51.1464659
24,Ashington,0.7388081593788391,0.2496437452434013,0.18711707236297365,-1.5659829,55.18297800000001
25,Athlone,0.8938017659402162,0.1717001762170659,0.01,-7.9406898,53.4239331
26,Aviemore,0.9308483191497549,0.06635015056067782,0.07247073913740583,-3.823812,57.19449
27,Axminster,0.03908137527543207,0.961563517915308,0.5453010013270603,-2.994937,50.782727
28,Aylesbury,0.3524904787522985,0.7470811639437086,0.2437971952535057,-0.8084,51.815606
29,Ayr,0.8861620512030612,0.1426633110843646,0.0536562203228863,-4.629179,55.458564
30,Aysgarth,0.8912400361970039,0.10154186141028226,0.09964726631393372,-1.9967434,54.2915895
31,Balivanich,0.9547447191212484,0.04924338484710015,0.05049997206859888,-7.3743509,57.4722719
32,Ballachulish,0.8937767240109213,0.12488384554631905,0.06331596346724992,-5.1337199999999985,56.6739269
33,Ballycastle,0.8949427935268647,0.17010706845208107,0.01,-9.3724643,54.2796698
34,Ballymena,0.901802244984404,0.06762375533428236,0.12555555555555548,-6.2802213,54.86529350000001
35,Banbridge,0.9125034302032172,0.08039155498989406,0.08810916179337211,-6.2704803,54.34872900000001
36,Banbury,0.4258427115021756,0.6637713371266,0.21797839506172825,-1.339775,52.0629009
37,Banchory,0.9082150146053264,0.11997561471245778,0.042705971277400966,-2.4909599,57.053856
38,Banff,0.9449312641996226,0.04525746799431153,0.07440329218107086,-2.524038,57.66650500000001
39,Bangor,0.7227735984017178,0.2618035020846265,0.20093912366980546,-4.129263,53.22739
40,Banham,0.3736802748187671,0.4200674588631391,0.6457490969863586,1.0402849,52.451249
41,Bantry,0.8216825265567731,0.2435315827918968,0.039004521763144034,-9.4539805,51.680352
42,Barnsley,0.7370899668355452,0.3226459249075141,0.09170217082572678,-1.479726,53.55263000000001
43,Barnstaple,0.31911249243245643,0.621956171422296,0.4758738391293744,-4.058338,51.0781599
44,Barrow-in-Furness,0.563252957242895,0.5988233184819879,0.04647623748123435,-3.218894,54.10896700000001
45,Basingstoke,0.430348633041407,0.59604067924662,0.30100916961221263,-1.0923964,51.26654
46,Bath,0.336527018724392,0.7802891658351193,0.22903998525889066,-2.3590167,51.3810641
47,Bedford,0.2988616115400155,0.8317317752724445,0.2305887154372014,-0.4667782,52.1386394
48,Belfast,0.9195316668775398,0.07257453479257966,0.08541194255479913,-5.93012,54.597285
49,Berwick,0.5465012771637974,0.5337109666057028,0.16607877718988953,-2.005395,55.770242
50,Beverley,0.8020973069237799,0.2394586288170613,0.08146345859241286,-0.435093,53.841963
51,Bexhill,0.4766733412915399,0.5820483641536279,0.2325102880658425,0.4662071,50.84990620000001
52,Bicester,0.43545268575841134,0.6289429625247035,0.2469135802469136,-1.1535898999999998,51.899603000000006
53,Bideford,0.3345704329958057,0.630368330256349,0.4353384116977488,-4.206666,51.01668400000001
54,Biggleswade,0.2771870960804509,0.8183714001986088,0.2895411134404833,-0.26421999999999995,52.086938
55,Birkenhead,0.7499172089799374,0.2297515088168853,0.19303865043775428,-3.023009,53.389991
56,Birmingham,0.6529592313588769,0.3816432715295559,0.17071501074050505,-1.890401,52.486243
57,Bishop Auckland,0.95449505524095,0.02533067238487517,0.0832872673668701,-1.6787880000000002,54.663822
58,Bishop's Stortford,0.24612581844931844,0.933603346670497,0.1924223073648351,0.1536502,51.8721635
59,Blackburn,0.6744284311182883,0.4779901969185422,0.01,-2.487529,53.748575
60,Blackpool,0.4839475746209163,0.6794558606937025,0.087145969498912,-3.0356748,53.81750529999999
61,Blairgowrie,0.8556409686216689,0.19255248635243088,0.043823928640683886,-3.3378318,56.5894057
62,Blandford Forum,0.3044421795039311,0.7618538221823887,0.31449368443587983,-2.165353,50.856908
63,Blyth,0.7449278002820096,0.2573756089769184,0.16512111504524385,-1.510277,55.126957
64,Bodmin,0.10917060612993326,0.8269642707723199,0.5949527959331875,-4.7188629,50.4714961
65,Bognor Regis,0.3495592415693927,0.6585320452947758,0.3689954455615713,-0.673061,50.782998
66,Boston,0.5954879156276267,0.2829386011036629,0.4125474371907564,-0.026577,52.97894
67,Bournemouth,0.4163218228396491,0.5619986335278505,0.37348109264119617,-1.880769,50.719164
68,Bradford,0.7659296205394683,0.32608869257068684,0.032633022886435464,-1.759398,53.795984
69,Braemar,0.898624631323788,0.13497256655151524,0.04053448121244837,-3.3979439,57.0064696
70,Braintree,0.3849933690169047,0.5352512091038405,0.4687407407407405,0.5509269,51.880087
71,Brecon,0.7241964080919218,0.3636217453151088,0.060654857756308085,-3.391463,51.9489469
