,placename,gone,went,longitude,latitude
0,Dingle,0.8168497619047621,0.18315018333333336,-10.264013499999999,52.14094
1,Tralee,0.8168497619047621,0.18315018333333336,-9.6999325,52.27131
2,Killarney,0.8168497619047621,0.18315018333333336,-9.5044265,52.05994000000001
3,Bantry,0.8168497619047621,0.18315018333333336,-9.4539805,51.68035
4,Mayo,0.8866213095238096,0.11337868452380953,-9.4289369,54.01526
5,Ballycastle,0.7732426190476189,0.22675736904761906,-9.3724643,54.279669999999996
6,Abbeyfeale,0.8168497619047621,0.18315018333333336,-9.2970823,52.386179999999996
7,Ennistymon,0.8809523809523809,0.11904761904761905,-9.2934951,52.940369999999994
8,Galway,0.8809523809523809,0.11904761904761905,-9.0567905,53.270669999999996
9,Claremorris,0.8677248809523811,0.13227513214285713,-9.0017356,53.72388
10,Clare,0.8809523809523809,0.11904761904761905,-8.9811351,52.90453
11,Adare,0.8677248809523811,0.13227513214285713,-8.7925892,52.56363
12,Charleville,0.8299320238095238,0.17006802738095242,-8.681017599999999,52.36206
13,Mallow,0.8168497619047621,0.18315018333333336,-8.6539164,52.13898
14,Limerick,0.8809523809523809,0.11904761904761905,-8.6267343,52.66384
15,Loughrea,0.8809523809523809,0.11904761904761905,-8.5660931,53.19891
16,Sligo,0.7732426190476189,0.22675736904761906,-8.476088800000001,54.27661
17,Cork,0.8168497619047621,0.18315018333333336,-8.4756035,51.898509999999995
18,Nenagh,0.8917748809523809,0.10822510833333332,-8.19834,52.8635
19,Roscommon,1.0,0.01,-8.1890955,53.62759000000001
20,Tipperary,0.8511904761904762,0.1488095238095238,-8.161851400000002,52.47379
21,Donegal,0.4987469047619048,0.5012531333333334,-8.1096143,54.653830000000006
22,Leitrim,0.7493734523809523,0.2506265666666667,-8.0020132,54.12469
23,Athlone,0.8511904761904762,0.1488095238095238,-7.9406898,53.42393000000001
24,Longford,0.8015872619047619,0.1984126988095238,-7.7932573000000005,53.72763000000001
25,Offaly,0.8677248809523811,0.13227513214285713,-7.7122229,53.23569000000001
26,Fermanagh,0.6240601190476189,0.37593985,-7.6318728,54.343830000000004
27,Enniskillen,0.6240601190476189,0.37593985,-7.631533599999999,54.343819999999994
28,Doon,0.6240601190476189,0.37593985,-7.60964,54.185930000000006
29,Westmeath,0.5535714285714286,0.44642857142857145,-7.4653217000000005,53.534530000000004
30,Strabane,0.35897440476190484,0.6410256404761905,-7.4633103,54.82739
31,Cavan,0.4047619047619048,0.5952380952380952,-7.3633319,53.98972
32,Mullingar,0.5535714285714286,0.44642857142857145,-7.3401868000000015,53.525819999999996
33,Laois,1.0,0.01,-7.3323006999999985,52.99429
34,Omagh,0.4987469047619048,0.5012531333333334,-7.309959700000001,54.59771
35,Derry,0.35897440476190484,0.6410256404761905,-7.308574799999999,54.99661
