,placename,past_participle,present_participle,longitude,latitude
0,Dingle,0.514801190860899,0.7527655,-10.264013499999999,52.14094
1,Tralee,0.5892870648579149,0.7527655,-9.6999325,52.27131
2,Killarney,0.5892870648579149,0.7527655,-9.5044265,52.05994000000001
3,Bantry,0.4847587681602849,0.7527655,-9.4539805,51.68035
4,Mayo,0.5254659965209261,0.7527655,-9.4289369,54.01526
5,Ballycastle,0.433283599535207,0.7527655,-9.3724643,54.279669999999996
6,Abbeyfeale,0.5892870648579149,0.7527655,-9.2970823,52.386179999999996
7,Ennistymon,0.5951739880776399,0.7527655,-9.2934951,52.940369999999994
8,Galway,0.5996239024759181,0.7527655,-9.0567905,53.270669999999996
9,Claremorris,0.5231035265159071,0.7527655,-9.0017356,53.72388
10,Clare,0.6041054448195491,0.7527655,-8.9811351,52.90453
11,Adare,0.6131606630867501,0.7527655,-8.7925892,52.56363
12,Charleville,0.5690988098266652,0.7527655,-8.681017599999999,52.36206
13,Mallow,0.4847587681602849,0.7527655,-8.6539164,52.13898
14,Limerick,0.6131606630867501,0.7527655,-8.6267343,52.66384
15,Loughrea,0.5911634270941482,0.7527655,-8.5660931,53.19891
16,Sligo,0.5708500354095476,0.7527655,-8.476088800000001,54.27661
17,Cork,0.5312160944988005,0.7527655,-8.4756035,51.898509999999995
18,Nenagh,0.6609085471084496,0.7527655,-8.19834,52.8635
19,Roscommon,0.4813821412119006,0.7527655,-8.1890955,53.62759000000001
20,Tipperary,0.4847587681602849,0.7527655,-8.161851400000002,52.47379
21,Donegal,0.3972813718277514,0.7527655,-8.1096143,54.653830000000006
22,Leitrim,0.6081930129743333,0.7527655,-8.0020132,54.12469
23,Athlone,0.3457085691104985,0.7527655,-7.9406898,53.42393000000001
24,Longford,0.5247729319792906,0.7527655,-7.7932573000000005,53.72763000000001
25,Offaly,0.4178195969499661,0.7527655,-7.7122229,53.23569000000001
26,Fermanagh,0.3161226889254063,0.7527655,-7.6318728,54.343830000000004
27,Enniskillen,0.3161226889254063,0.7527655,-7.631533599999999,54.343819999999994
28,Doon,0.4327713643333036,0.7527655,-7.60964,54.185930000000006
29,Westmeath,0.5694535928658359,0.7527655,-7.4653217000000005,53.534530000000004
30,Strabane,0.3540349695065355,0.7527655,-7.4633103,54.82739
31,Cavan,0.4792809455380533,0.7527655,-7.3633319,53.98972
32,Mullingar,0.5694535928658359,0.7527655,-7.3401868000000015,53.525819999999996
33,Laois,0.4793043227150529,0.7527655,-7.3323006999999985,52.99429
34,Omagh,0.3691084357230768,0.7527655,-7.309959700000001,54.59771
35,Derry,0.5395906243768951,0.7527655,-7.308574799999999,54.99661
36,Kilkenny,0.23239457924519225,0.7676054207548088,-7.2447879,52.65415
37,Tyrone,0.5067566917169163,0.7527655,-7.1312320000000025,54.491209999999995
38,Waterford,0.3536299942932184,0.7527655,-7.110070200000001,52.25932
39,Monaghan,0.568717211790348,0.7527655,-6.9683132,54.2492
40,Carlow,0.34026581225376623,0.7527655,-6.934135899999999,52.83651
41,Kildare,0.5803961743937406,0.7527655,-6.8194707999999995,53.21204
42,Dungannon,0.525218473470342,0.7527655,-6.7669352,54.508269999999996
43,Cookstown,0.4990594124077806,0.7527655,-6.7443895000000005,54.641819999999996
44,Coleraine,0.5163729622321079,0.7527655,-6.6646103000000005,55.132580000000004
45,Meath,0.5214100563114942,0.7527655,-6.656416900000001,53.60555
46,Armagh,0.5411947112574859,0.7527655,-6.652792,54.35028000000001
47,Magherafelt,0.4969754058346685,0.7527655,-6.607980499999999,54.75536999999999
48,Louth,0.4665809503510016,0.7527655,-6.4889423,53.925230000000006
49,Wexford,0.3297055163262081,0.7527655,-6.4633381,52.33692
50,Craigavon,0.5322983202810763,0.7527655,-6.4175653,54.442930000000004
51,Drogheda,0.436044856677278,0.7527655,-6.3560985,53.717859999999995
52,Rosslare,0.3297055163262081,0.7527655,-6.3414908,52.25131
53,Newry,0.568717211790348,0.7527655,-6.34023,54.1751
54,Ballymena,0.4881745862583454,0.7527655,-6.2802213,54.86529
55,Banbridge,0.5322983202810763,0.7527655,-6.2704803,54.34873
56,Dublin,0.5444200741194023,0.7527655,-6.2603097000000005,53.34981
57,Antrim,0.4925584945098013,0.7527655,-6.2072498,54.719530000000006
58,Wicklow,0.4382491869555352,0.7527655,-6.044589,52.980819999999994
59,Kilkeel,0.4895359630365579,0.7527655,-6.007004,54.06312
60,Belfast,0.5104234706857076,0.7527655,-5.93012,54.59728000000001
61,Down,0.5569419902228396,0.7527655,-5.7156921999999994,54.32875
62,Balivanich,0.16276909537200668,0.8372309046279934,-7.3743509000000005,57.472269999999995
63,Western Isles,0.20486382794397745,0.7951361720560225,-7.0194034,57.75989000000001
64,Dunvegan,0.14478998356721975,0.8552100164327802,-6.5813982000000015,57.4366
65,Stornoway,0.18038517336927007,0.8196148266307292,-6.3848692000000025,58.20943000000001
66,Scilly Isles,0.2474948604588804,0.7527655,-6.327496599999999,49.92773
67,Portree,0.16958698028753913,0.8304130197124601,-6.1960231,57.41246999999999
68,Islay,0.2973508157947209,0.7527655,-6.177067,55.73625
69,Mull,0.15428661794129592,0.8457133820587043,-6.0008870000000005,56.4392
70,Broadford,0.16958698028753913,0.8304130197124601,-5.9096592,57.24139
71,Kyle of Lochalsh,0.17024222880755768,0.8297577711924423,-5.7143293,57.28261
72,Campbeltown,0.29378167091810425,0.7527655,-5.605373999999999,55.424119999999995
73,Penzance,0.2727814027681329,0.7527655,-5.537592,50.1188
74,Oban,0.2248244992814957,0.7751755007185055,-5.471047,56.41516
75,Lochgilphead,0.2478104523483749,0.7527655,-5.4323449,56.03829
76,Helston,0.2816083497775732,0.7527655,-5.274996,50.10159
77,Redruth,0.2727814027681329,0.7527655,-5.226666000000002,50.23302
78,Ullapool,0.17847924587977254,0.8215207541202272,-5.161313,57.895419999999994
79,Ballachulish,0.1432271505283931,0.8567728494716071,-5.133719999999999,56.67393000000001
80,Fort William,0.16748509704966286,0.8325149029503371,-5.1052179,56.81981999999999
81,Achnasheen,0.17847924587977254,0.8215207541202272,-5.078765799999998,57.57859000000001
82,Newquay,0.2781732798866895,0.7527655,-5.0737190000000005,50.4155
83,Falmouth,0.2816083497775732,0.7527655,-5.066269999999999,50.152570000000004
84,Rothesay,0.2777744927496373,0.7527655,-5.055793,55.83596
85,Truro,0.2816083497775732,0.7527655,-5.0510410000000014,50.2632
86,Milford Haven,0.2693697100542488,0.7527655,-5.0426971,51.71431
87,Stranraer,0.22300933024387914,0.7769906697561216,-5.0240550000000015,54.903369999999995
88,Fishguard,0.27840223870847985,0.7527655,-4.975989,51.99393
89,Inchnadamph,0.17658156915862794,0.8234184308413722,-4.974295,58.15221
90,Haverfordwest,0.2785507525388304,0.7527655,-4.971319,51.80048
91,Dunoon,0.24606060189355144,0.7539393981064482,-4.926214,55.95097
92,Pembroke,0.28769191630970664,0.7527655,-4.9086370000000015,51.67404000000001
