,placename,inside,inside_of,longitude,latitude
0,Dingle,0.9421525,0.3640265824818023,-10.264013499999999,52.14094
1,Tralee,0.9421525,0.3640265824818023,-9.6999325,52.27131
2,Killarney,0.9421525,0.33211949807326546,-9.5044265,52.059940000000005
3,Bantry,0.9421525,0.27599575472901877,-9.4539805,51.68035
4,Mayo,1.0,0.02453988,-9.4289369,54.01526
5,Ballycastle,0.9421525,0.38706333229753526,-9.3724643,54.279669999999996
6,Abbeyfeale,0.9421525,0.33211949807326546,-9.2970823,52.386179999999996
7,Ennistymon,0.9421525,0.2397082952414835,-9.2934951,52.940369999999994
8,Galway,0.9525303534328502,0.047471076464415826,-9.0567905,53.270669999999996
9,Claremorris,0.9589733274087583,0.04102691123510669,-9.0017356,53.72388
10,Clare,0.9421525,0.23226676153976644,-8.9811351,52.90453
11,Adare,0.9421525,0.31865982739700943,-8.7925892,52.56363
12,Charleville,0.9421525,0.3326878359776208,-8.681017599999999,52.36206
13,Mallow,0.9421525,0.3016496210330059,-8.6539164,52.13898
14,Limerick,0.9421525,0.34204784786678144,-8.6267343,52.66384
15,Loughrea,0.9421525,0.10528692357461425,-8.5660931,53.19891
16,Sligo,0.9421525,0.4355407841742062,-8.476088800000001,54.27661
17,Cork,0.9421525,0.3016496210330059,-8.4756035,51.898509999999995
18,Nenagh,0.9421525,0.17130809288556828,-8.19834,52.8635
19,Roscommon,0.9421525,0.1062179409234815,-8.1890955,53.627590000000005
20,Tipperary,0.9421525,0.27439942475677503,-8.161851400000002,52.47379
21,Donegal,0.9421525,0.37733073333003087,-8.1096143,54.653830000000006
22,Leitrim,0.9421525,0.28860847282831426,-8.0020132,54.12469
23,Athlone,0.9421525,0.3867057567856032,-7.9406898,53.423930000000006
24,Longford,0.9421525,0.29010122299231555,-7.7932573000000005,53.727630000000005
25,Offaly,0.9421525,0.33072522378492625,-7.7122229,53.235690000000005
26,Fermanagh,0.9421525,0.3857041850746,-7.6318728,54.343830000000004
27,Enniskillen,0.9421525,0.3857041850746,-7.631533599999999,54.343819999999994
28,Doon,0.9421525,0.29421889565910536,-7.60964,54.185930000000006
29,Westmeath,0.9421525,0.3482926594941403,-7.4653217000000005,53.534530000000004
30,Strabane,0.9421525,0.30420699148694075,-7.4633103,54.82739
31,Cavan,0.9421525,0.28896634857157444,-7.3633319,53.98972
32,Mullingar,0.9421525,0.36605614626069377,-7.340186800000001,53.525819999999996
33,Laois,0.9421525,0.3472568614117178,-7.332300699999999,52.99429
34,Omagh,0.9421525,0.4773353869156184,-7.309959700000001,54.59771
35,Derry,0.9421525,0.31972925138819464,-7.308574799999999,54.99661
36,Kilkenny,0.9421525,0.3706187617559329,-7.2447879,52.65415
37,Tyrone,0.9421525,0.5620015221728341,-7.131232000000001,54.491209999999995
38,Waterford,0.9421525,0.5026794144888637,-7.110070200000001,52.25932
39,Monaghan,0.9421525,0.5013031540802187,-6.9683132,54.2492
40,Carlow,0.9421525,0.48975445580820015,-6.934135899999999,52.83651
41,Kildare,0.9421525,0.5179698958047175,-6.8194707999999995,53.21204
42,Dungannon,0.9421525,0.4856761134454097,-6.7669352,54.508269999999996
43,Cookstown,0.9421525,0.566323352142826,-6.7443895000000005,54.641819999999996
44,Coleraine,0.9421525,0.4749317349017417,-6.6646103000000005,55.132580000000004
45,Meath,0.9421525,0.5100188695389798,-6.656416900000001,53.60555
46,Armagh,0.9421525,0.7020441249983111,-6.652792,54.350280000000005
47,Magherafelt,0.9421525,0.2005971601118662,-6.607980499999999,54.75536999999999
48,Louth,0.9421525,0.5722481171742827,-6.4889423,53.925230000000006
49,Wexford,0.9421525,0.5744521153548809,-6.4633381,52.33692
50,Craigavon,0.9421525,0.3538058073745821,-6.4175653,54.442930000000004
51,Drogheda,0.9421525,0.5316424304926947,-6.3560985,53.717859999999995
52,Rosslare,0.9421525,0.5744521153548809,-6.3414908,52.25131
53,Newry,0.9421525,0.6256301480290564,-6.34023,54.1751
54,Ballymena,0.9421525,0.18657365500117842,-6.2802213,54.86529
55,Banbridge,0.9421525,0.38910340417291517,-6.2704803,54.34873
56,Dublin,0.9421525,0.5223241507581591,-6.2603097000000005,53.34981
57,Antrim,0.9421525,0.36293283975302965,-6.2072498,54.719530000000006
