,placename,awful,awfully,bare,dead,pretty,proper,pure,rather,real,really,right,so,very,well,wicked,wild,longitude,latitude
0,Ballachulish,0.016629069993595282,0.11119464272587226,0.01,0.07871204072872871,0.9503223835942219,0.09258097155881541,0.038375229954164126,0.7393276472328933,0.01,0.40990966285100466,0.24282571275427262,0.3866688378502716,0.40086329803447307,0.25937248354823617,0.01,0.01,-5.133719999999999,56.673930000000006
1,Welwyn Garden City,0.022236153094703462,0.09401650049530287,0.25868986843969666,0.030523254292271682,0.3103745554886565,0.23091880904881693,0.033121374141829106,0.5591489252742644,0.01,0.7175790232672004,0.027666002122721647,0.4197976390511548,0.5306001297896815,0.10073357027551293,0.038027881431074266,0.15557218691881386,-0.208661,51.80317
2,Macclesfield,0.01,0.18267205911224468,0.08845055036134163,0.35967552532115327,0.3528887933522388,0.2950862551701009,0.04245096155392194,0.6940581630586848,0.01,0.8743038768857028,0.16851263198180422,0.13046514290346514,0.5945227771058866,0.18640921660879395,0.21971468553276458,0.042802546366132684,-2.119287,53.25866
3,Salisbury,0.01,0.28420009202245455,0.021615583463372036,0.08214042744264143,0.5656859860708968,0.10555944717682593,0.015455417089679107,0.8936168667654889,0.011687059973956877,0.6634462960163632,0.07916017255327404,0.412998942614622,0.4551279214969075,0.12397663883453046,0.16798541864079608,0.01,-1.794472,51.06878
4,Stevenage,0.04047095547300967,0.12452855969937177,0.2767497337110056,0.04974977314740504,0.2794099855982007,0.2708481713752342,0.033455145332921356,0.6357336442757603,0.013175889609199527,0.698885534150332,0.02190732482843877,0.44224592351982056,0.5066259107400963,0.11925123168082367,0.041321027430443566,0.2817407685606757,-0.19661199999999998,51.90376
5,Charleville,0.19664506778573387,0.1546205492850469,0.01,0.08398936969730246,0.29566995718734645,0.07287875668812471,0.15549342056180215,0.05490646999489645,0.017773058012471782,0.5083815697768529,0.2135194443591881,0.03498829196351553,1.0,0.02673537937204638,0.21420315513934104,0.01,-8.681017599999999,52.36206
6,Buxton,0.01,0.22955313806326386,0.08162207102845852,0.2750863321500748,0.3879585949145903,0.325235654110488,0.036514523512058125,0.7490416978367694,0.03947225931042937,0.8630174186290104,0.18542853726818664,0.12311748781731338,0.5731289883287614,0.22406595137192234,0.23744808096371348,0.01,-1.91483,53.259080000000004
7,Shaftesbury,0.027294774444824914,0.3655717483238563,0.01,0.12858186259098603,0.3656615798076043,0.1280035858171891,0.01,0.9531166770151908,0.03955258254475641,0.7539025033008578,0.04268029927957028,0.3392166246296127,0.5464747844213054,0.10213364824087119,0.03334217447774025,0.01,-2.198083,51.0046
8,Fort William,0.018278421209588922,0.12222345929822001,0.01,0.028839691595298318,0.861447817410292,0.08835561307599486,0.04985082818567768,0.7510782925187856,0.04034517955122043,0.437143243174549,0.23552037211272114,0.4445875308167039,0.3627867417873615,0.26204805752555643,0.01,0.5683664917515212,-5.1052179,56.81981999999999
9,Abingdon,0.06843403188044117,0.16501836144832013,0.06947439892251649,0.1425272915779635,0.5176187973112432,0.18132661461086888,0.03296357890005527,0.7742151117968165,0.04471800698253924,0.9486109643320094,0.04581966629837825,0.13318575921621198,0.5961648132306815,0.051489100815555036,0.14772378035513453,0.12767714641429162,-1.2879528999999998,51.67078
10,Elgin,0.016584156222975988,0.2550844649578775,0.01,0.12977731520194755,0.48707660305492084,0.1472840746520597,0.1774409733418512,0.49668939573939397,0.04513478291602952,0.49544702374343336,0.21902157439801131,0.7458612997662656,0.2218008564152485,0.18785697774484703,0.15030518090178854,0.06238106052435328,-3.318485,57.64945
11,Andover,0.0296958387909666,0.36119796874439963,0.1302692273540531,0.07923854666543874,0.5573019436993794,0.14489050790915284,0.02931750463355614,0.741651408641729,0.04535871257661476,0.7604680997360656,0.06369337584395002,0.2602007112285511,0.5445654257986492,0.11062599296046946,0.1327720326936188,0.01,-1.4919233,51.2112
12,Oxford,0.06526638965012196,0.24332142001321957,0.05093869265377783,0.1215132318216302,0.5431279010929168,0.1649155909593687,0.031437776252592704,0.8092983084070279,0.046698941290414166,0.9084254474384408,0.042046633632506235,0.1355650540887819,0.6074114087096742,0.04756077785488869,0.11112136059598872,0.12176728634137036,-1.2577263,51.75202
13,Rochdale,0.029814089067278296,0.11830139216440123,0.12955053606139763,0.4123898942467712,0.2557522161132535,0.6060716596326154,0.07541475058944115,0.4682516343724347,0.05014473165664408,0.683354447228417,0.25303301360400854,0.1834048093613089,0.5110321229462255,0.45792607867496016,0.09711911281392618,0.01,-2.1561,53.60971
14,Tipperary,0.15906525118425605,0.19677703848284306,0.019692621811960864,0.04235833849884667,0.30850130464802555,0.0669447020086722,0.12355617039903709,0.0838132226777019,0.05118728845742188,0.5936219538134103,0.2090760595609492,0.01,0.9929439151254139,0.020794734434860115,0.22956169502590826,0.01,-8.161851400000002,52.47379
15,Bicester,0.06972769064712052,0.1485456220961576,0.04067611992359273,0.10323057206463405,0.5342753706788903,0.15990782001922896,0.03305778874640686,0.7534195324499557,0.05485154391891708,0.9302652859472426,0.04578681777216497,0.12890928600532317,0.616537860240111,0.03939108870834207,0.10432815257047821,0.12804204450217782,-1.1535898999999998,51.8996
16,Cork,0.13987228583028952,0.26149457655505975,0.01,0.04429724893996478,0.14717362496480205,0.08040841320483276,0.16156935184451357,0.19021208743868437,0.055081819526325536,0.5112924780578245,0.0560220244945686,0.16313671559177645,0.9461759977581782,0.04998942641737854,0.23000686178491744,0.022403781940377333,-8.4756035,51.898509999999995
17,Witney,0.0667613235765312,0.2269172618587691,0.04427004388360885,0.11966172228622604,0.5280959572918447,0.1579790896785551,0.03551931078308633,0.8685259298503232,0.05760462718238133,0.9092494913268042,0.048341038387354124,0.1376791137588805,0.6034667118964041,0.052648195245482574,0.11366660793718257,0.1245563751151555,-1.4850543999999999,51.785940000000004
18,Melton Mowbray,0.02746849917848651,0.36791584792264187,0.2659655871459319,0.16144075555245643,0.42060916069455456,0.31142075154394494,0.025932106336009616,0.553516062535087,0.0591988112866424,0.6591601976100052,0.11716977432212143,0.3287814326825232,0.5300857644317277,0.14590898805218078,0.1879045868578352,0.01,-0.887126,52.7664
19,Horsham,0.048047609185157866,0.273831940118519,0.202067076387422,0.1086603174902082,0.3762062427434322,0.15145930574348432,0.02016007402522318,0.7991216036291611,0.06252167831255631,0.6785626855269268,0.023538313185851308,0.45065523050219003,0.47706372968349003,0.11088857135953556,0.05478011943760493,0.01,-0.325858,51.06288
20,Mallow,0.14195594972569783,0.2653900355406601,0.01,0.04495714678312954,0.14206619357322772,0.08195960897573619,0.15753316029122974,0.1939952326709464,0.06306178889773074,0.5031617333281609,0.061671538236350736,0.16101341179933984,0.9521873740204323,0.047869953097667964,0.23343324894613984,0.022737527707397218,-8.6539164,52.13898
21,Chester,0.013774212245525708,0.1859810171209869,0.05304477910195036,0.6760726987490562,0.20286671900921796,0.3830006095336929,0.025491537386293093,0.6003215243121236,0.06738038198721792,0.692208905827569,0.10399758743841683,0.5061164090993447,0.3826472670422704,0.1797546079521637,0.014722758086268162,0.04283083380366263,-2.893075,53.19339
22,Balivanich,0.01828045575200613,0.22248361394582092,0.01,0.1261877032573678,0.5976951861100309,0.1148365494164712,0.16274457512371138,0.6148026556221131,0.07022136836593686,0.5077782519300155,0.1594154883211683,0.5796427360042208,0.3263405455099655,0.19502821717875352,0.01,0.06876166166860609,-7.3743509000000005,57.472269999999995
23,Tain,0.016648672433644065,0.2560767923679066,0.01,0.13187098265991237,0.5154045250474538,0.12633900415442298,0.18320140457906264,0.5259392018892218,0.07073403860697762,0.48818580584402316,0.21872435085012407,0.7165353882780258,0.23779841794244058,0.18868130240992748,0.15088990105764388,0.06262373454127677,-4.05523,57.8115
24,Ludlow,0.026333931147600437,0.11197439190077187,0.10731483615483074,0.02308315467004271,0.5019935288335805,0.2275939984652677,0.011049332325046278,0.8383392800415956,0.07100027457971762,0.7657441209953275,0.11616944122447521,0.26377534222807475,0.521592283413469,0.1638125455228613,0.15011942772699333,0.0682376771347182,-2.7139129,52.36775
25,Crawley,0.048470898820258956,0.14335784187257505,0.23110588803858853,0.09878329497226873,0.4676389079319304,0.14713333616038862,0.020337679987355525,0.673899800452823,0.07399033195001481,0.603538572879057,0.03167474469742391,0.44795736895212157,0.48381869266393324,0.13079343940142196,0.06907840140384107,0.01,-0.18722750000000002,51.109140000000004
26,Inverness,0.017650709509307475,0.2539172281029418,0.01,0.11959473959774686,0.5601670496509659,0.12718816945298234,0.18795659776371268,0.5268188571247265,0.07711565200167318,0.497477703325472,0.19351405792975968,0.6732657848722075,0.25801230052210844,0.19096808654431288,0.15997154483013137,0.0663928828202658,-4.224721,57.47776999999999
27,Alness,0.017126934441260892,0.2463823483422941,0.01,0.11604582405414159,0.5501904635331504,0.1167552785732397,0.1849869825389197,0.5260865404373664,0.07719691537627024,0.5008688579634615,0.19875275060852626,0.6833959207821376,0.25395084215804864,0.18826130535551955,0.15522447427936503,0.06442271043484737,-4.256825,57.69595
28,Dunvegan,0.018204254657924898,0.22155618954830897,0.01,0.12566170410854474,0.5902695103703827,0.11425898711953192,0.16206618709164508,0.6387470494288928,0.08083561077417199,0.5062398583072586,0.15869018618106576,0.5775791634638153,0.32771771727480986,0.19837515769023709,0.01,0.06847503534746942,-6.581398200000001,57.4366
29,Portree,0.01820804987830431,0.22160238859781373,0.01,0.12568789704038608,0.5905479381441491,0.11850818243217058,0.16209997208634974,0.6388934887879902,0.08091945953451185,0.5052820410603949,0.15872630703243745,0.5797451324362741,0.32549248793054286,0.1984229231584305,0.01,0.06848931376831785,-6.1960231,57.41246999999999
30,Western Isles,0.018085518356731653,0.22011110623584912,0.01,0.1248420813935888,0.5859144300979723,0.11335902633429551,0.15550139560165005,0.60224721044796,0.08125397319436806,0.5045516385229816,0.16542048970194148,0.5809703341892443,0.3299908803083492,0.19560255496205525,0.049886349654500305,0.06802840923449673,-7.0194034,57.759890000000006
31,Invergordon,0.01707336858248932,0.24561178158717187,0.01,0.1156828839079449,0.5518505102346755,0.11631593101824715,0.18440842108796007,0.5242418070068835,0.08169325373557386,0.5006508073891052,0.20365094684557633,0.6791827342549481,0.2564323323795761,0.18757627743658695,0.15473899594940027,0.06422122240130079,-4.1728819999999995,57.688109999999995
32,Loughrea,0.38469465368057437,0.38173585924310466,0.03240393005882728,0.0116166719638226,0.4889884270128241,0.0450542888354302,0.15291686824420866,0.2570089195699804,0.08245882170927252,0.4905616206909931,0.070396437827312,0.09255641936743128,0.8749815639656646,0.05160186484815091,0.12591350508218038,0.01,-8.5660931,53.19891
33,Dorking,0.0594644874902322,0.39206373371483505,0.1744754213515244,0.14012537038776096,0.4448842753882121,0.1667861929615223,0.04082797524430168,0.4906511871414938,0.08599586444046933,0.6505933517316295,0.01,0.3983562528310124,0.5391882491175286,0.07387137045810803,0.01,0.01,-0.332378,51.2322
34,Newcastle,0.023851623727519342,0.21101774549577532,0.12821943520149107,0.3614761093421806,0.2661097994303101,0.6176679189970994,0.132496024620054,0.47278840279062034,0.08813327334454955,0.7570006942837307,0.15501719100077938,0.655109617513772,0.18969696075828632,0.13799626461529507,0.17389202748578406,0.09712278452362161,-1.61778,54.97825
35,Bideford,0.03620184730991098,0.3196337456222422,0.047722139005460434,0.058526565831036347,0.4495249720607899,0.21406357896755238,0.04160674897740529,0.5664218831442174,0.08865992817210817,0.6214160445090717,0.08636161876914601,0.43653234482851755,0.4806028337413842,0.14459448302587752,0.03140452071187652,0.08565066146148027,-4.206666,51.01668
36,Grantown-on-Spey,0.01769847265362366,0.26842318183262426,0.01,0.0777901002067021,0.6052630563865335,0.12950871135713107,0.11520939931950926,0.5126135884506788,0.08886141198374468,0.5552677941977147,0.261477578944797,0.6481203499398065,0.25322937868106177,0.1468954223300239,0.2841449883757302,0.01,-3.609628,57.33041
37,Inchnadamph,0.01672513640379166,0.19897554977260207,0.01,0.11970780664263021,0.5379818965840699,0.1192747792521075,0.18319390194501725,0.5491454214342776,0.08997471433984784,0.4787989292780384,0.21070936360089854,0.6840415871731402,0.2665156140920129,0.18354320621968936,0.059315050707605156,0.06291135305824784,-4.974295,58.15221
38,Shetland Islands,0.01094384846096498,0.13590369958127646,0.01,0.10483659621490396,0.4797010723677267,0.1372441088279272,0.16383166812132188,0.541856038377731,0.09017696201545387,0.42350237380824657,0.2681566793082054,0.8360953111678244,0.18169879452916832,0.16552589714642968,0.05729381042233358,0.060767559543479004,-1.2659409,60.52965
39,Golspie,0.01615318993052839,0.20021183738080658,0.01,0.13411245213780168,0.5140367573754431,0.13035978781310067,0.18512801748248756,0.5361053904370902,0.09021621287173072,0.4784685090825422,0.23600201889555195,0.7453343847929921,0.21818370647866814,0.17697560247858996,0.05728666458684145,0.06075998337263763,-3.976086,57.97341
40,Brora,0.01615318993052839,0.20021183738080658,0.01,0.13411245213780168,0.5091728626197388,0.13035978781310067,0.18512801748248756,0.5361053904370902,0.09021621287173072,0.4735202325516067,0.23600201889555195,0.7486217369137006,0.21931998072819872,0.17697560247858996,0.05728666458684145,0.06075998337263763,-3.8525480000000005,58.012159999999994
