,placename,bare,pretty,proper,pure,rather,really,so,very,well,longitude,latitude
0,Dingle,0.01,0.20509789417753171,0.032761498306652495,0.14844911115146422,0.06179542633175978,0.32725377552157137,0.12290656179610959,0.9663345140268308,0.01,-10.264013499999999,52.14094
1,Tralee,0.01,0.18338924227091924,0.03869866034853565,0.14603764677641812,0.0699879904436626,0.34727319021626707,0.08985398252207155,0.9951762906173834,0.01,-9.6999325,52.27131
2,Killarney,0.01,0.13855643844864324,0.04008365030300017,0.14197555353730784,0.04731121042040376,0.3260077340505099,0.121674019393891,0.9951366455636503,0.01,-9.5044265,52.059940000000005
3,Bantry,0.01,0.1414234648586506,0.042189752401040934,0.14513740385160132,0.048151514218080706,0.33536975445185324,0.1087823122704371,1.0,0.01,-9.4539805,51.68035
4,Mayo,0.01593434341969019,0.3024648086040253,0.014148367488747178,0.2184892357655805,0.06324149788107679,0.19434427664348627,0.30485503824089666,0.8063482667592633,0.0234801024380772,-9.4289369,54.01526
5,Ballycastle,0.01664855895491464,0.27176730571215313,0.022246600857026486,0.25295490320284386,0.04175499999485049,0.17421983163322144,0.3320209591895664,0.794418523262761,0.030805107268021655,-9.3724643,54.279669999999996
6,Abbeyfeale,0.01,0.17631724379290117,0.036232811144539814,0.1400081972155507,0.0749859020897676,0.337744076131065,0.0965911846358966,0.9971735810830211,0.01,-9.2970823,52.386179999999996
7,Ennistymon,0.01,0.3656307866282812,0.012370786415505956,0.15132272832361285,0.04697340361237943,0.31126688839733335,0.12627143239780989,0.9145033910191652,0.01,-9.2934951,52.940369999999994
8,Galway,0.015542759652720279,0.3201292761818699,0.01,0.1739160789288576,0.02597451599671593,0.2819666130905964,0.19780962591741233,0.8771830412130844,0.01,-9.0567905,53.270669999999996
9,Claremorris,0.01743863729258696,0.31410417270803825,0.01,0.1758128204743277,0.10627169985078638,0.2412259902289985,0.2480364748988867,0.8397574269539892,0.02019146524282086,-9.0017356,53.72388
10,Clare,0.015124255568441368,0.3252483957607408,0.0160422374004886,0.16934640939770537,0.0339588532956902,0.305514091567339,0.15365222756672162,0.9040535016835479,0.01,-8.9811351,52.90453
11,Adare,0.01,0.18824783602064193,0.03252863749161052,0.13318544284579187,0.07431347179729796,0.34980824010566697,0.09342999688880037,0.9920662045055927,0.01,-8.7925892,52.56363
12,Charleville,0.01,0.13978612746101962,0.040147963086727245,0.1371955130453303,0.04444603194502661,0.32897563614952496,0.12322588876230245,0.9927962203226017,0.01,-8.681017599999999,52.36206
13,Mallow,0.01,0.14648117984836265,0.041420142755773645,0.14398200329119604,0.044646487703335964,0.3309887171979185,0.11359609167668344,0.9963013899009013,0.01,-8.6539164,52.13898
