index,placename,longitude,latitude,kl,tl
0,Dingle,-10.264013499999999,52.14094,0.8425679619887356,0.01
1,Tralee,-9.6999325,52.27131,0.8702510605800315,0.01
2,Killarney,-9.5044265,52.059940000000005,0.9016898514481163,0.01
3,Bantry,-9.4539805,51.68035,0.8464949288760283,0.01
4,Mayo,-9.4289369,54.01526,0.48127099025757847,0.4243522097514312
5,Ballycastle,-9.3724643,54.279669999999996,0.3722263593018091,0.45328858473482864
6,Abbeyfeale,-9.2970823,52.386179999999996,0.7840986078324576,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.6925714933577041,0.10073079851043253
8,Galway,-9.0567905,53.270669999999996,0.6747679951294306,0.27449982331676004
9,Claremorris,-9.0017356,53.72388,0.551883447057686,0.3777038619015723
10,Clare,-8.9811351,52.90453,0.8446212671134917,0.053910058626070935
11,Adare,-8.7925892,52.56363,0.7905832881218967,0.0521078818494137
12,Charleville,-8.681017599999999,52.36206,0.7840986078324576,0.01
13,Mallow,-8.6539164,52.13898,0.8595650568578154,0.01
14,Limerick,-8.6267343,52.66384,0.8695683751174572,0.05474204937643743
15,Loughrea,-8.5660931,53.19891,0.46375347377656245,0.3525577862243961
16,Sligo,-8.476088800000001,54.27661,0.45617489343622397,0.48654901850555543
17,Cork,-8.4756035,51.898509999999995,0.9376347186182624,0.01
18,Nenagh,-8.19834,52.8635,0.6829257383789642,0.21347696056527987
19,Roscommon,-8.1890955,53.627590000000005,0.4915842777026035,0.42784462632079784
20,Tipperary,-8.161851400000002,52.47379,0.8475290688005805,0.054007034359978584
21,Donegal,-8.1096143,54.653830000000006,0.362163566442803,0.5968983753965547
22,Leitrim,-8.0020132,54.12469,0.38794499796717813,0.5318475474388222
23,Athlone,-7.9406898,53.423930000000006,0.5350936947654181,0.37291325132921166
24,Longford,-7.7932573000000005,53.727630000000005,0.49016323267448514,0.42736341397910066
25,Offaly,-7.7122229,53.235690000000005,0.40424882344523827,0.5393239131309693
26,Fermanagh,-7.6318728,54.343830000000004,0.4263828958225845,0.47474542033980865
27,Enniskillen,-7.631533599999999,54.343819999999994,0.43863043919347294,0.4795979006045538
28,Doon,-7.60964,54.185930000000006,0.4129371141182258,0.4694181976969759
29,Westmeath,-7.4653217000000005,53.534530000000004,0.4872715159655545,0.42638418408736956
30,Strabane,-7.4633103,54.82739,0.24685517760813577,0.6940494538788712
31,Cavan,-7.3633319,53.98972,0.3982520977185032,0.5365740238765173
32,Mullingar,-7.340186800000001,53.525819999999996,0.43769404098805575,0.4792268993617634
33,Laois,-7.332300699999999,52.99429,0.5494990545338114,0.37702352452465987
34,Omagh,-7.309959700000001,54.59771,0.346807056469891,0.5888154299114668
35,Derry,-7.308574799999999,54.99661,0.2686214497532533,0.7088787441614094
36,Derry,-7.308574799999999,54.99661,0.2686214497532533,0.7088787441614094
37,Kilkenny,-7.2447879,52.65415,0.8037136717896896,0.10837568774510946
38,Tyrone,-7.131232000000001,54.491209999999995,0.33222390702480437,0.5811395450799881
39,Waterford,-7.110070200000001,52.25932,0.8609489459410051,0.054454589790055415
40,Monaghan,-6.9683132,54.2492,0.4450605738669002,0.4821455218423463
41,Carlow,-6.934135899999999,52.83651,0.6011742556959896,0.3238082221558688
42,Kildare,-6.8194707999999995,53.21204,0.46604249053201624,0.49045856336020777
43,Dungannon,-6.7669352,54.508269999999996,0.3336176058954444,0.5818731226971604
44,Cookstown,-6.7443895000000005,54.641819999999996,0.24633277742428863,0.6936935443359661
45,Coleraine,-6.6646103000000005,55.132580000000004,0.26207473381493496,0.7044184879264703
46,Meath,-6.656416900000001,53.60555,0.45899049017705656,0.4876645587575577
47,Armagh,-6.652792,54.350280000000005,0.4447257838211545,0.4820128779283288
48,Armagh,-6.652792,54.350280000000005,0.4447257838211545,0.4820128779283288
49,Magherafelt,-6.607980499999999,54.75536999999999,0.24934489537626994,0.6957456904810372
50,Louth,-6.4889423,53.925230000000006,0.4101681722918136,0.5420383200470603
51,Wexford,-6.4633381,52.33692,0.856950721347499,0.054321248246853054
52,Craigavon,-6.4175653,54.442930000000004,0.35393235266468137,0.5925658511210506
53,Drogheda,-6.3560985,53.717859999999995,0.44419222367196526,0.48180148124120625
54,Rosslare,-6.3414908,52.25131,0.7383349727969947,0.05036539069309848
55,Newry,-6.34023,54.1751,0.45176873019670194,0.48480329534168826
56,Ballymena,-6.2802213,54.86529,0.2544845698916876,0.6992473339796916
