index,placename,longitude,latitude,kw,tw
0,Dingle,-10.264013499999999,52.14094,0.13856269650425793,0.01
1,Tralee,-9.6999325,52.27131,0.20281341690779528,0.01
2,Killarney,-9.5044265,52.059940000000005,0.30562148426394714,0.01
3,Bantry,-9.4539805,51.68035,0.14646138614893062,0.01
4,Mayo,-9.4289369,54.01526,0.18118275144429524,0.026518776899601693
5,Ballycastle,-9.3724643,54.279669999999996,0.046854313621233885,0.018814794744252763
6,Abbeyfeale,-9.2970823,52.386179999999996,0.05577894876076935,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.05577894876076935,0.01
8,Galway,-9.0567905,53.270669999999996,0.405327149693946,0.01
9,Claremorris,-9.0017356,53.72388,0.2631256850001635,0.03731571665484203
10,Clare,-8.9811351,52.90453,0.2755582073955761,0.01
11,Adare,-8.7925892,52.56363,0.12969256485589523,0.01
12,Charleville,-8.681017599999999,52.36206,0.05577894876076935,0.01
13,Mallow,-8.6539164,52.13898,0.17552919875481943,0.01
14,Limerick,-8.6267343,52.66384,0.38151258278551065,0.01
15,Loughrea,-8.5660931,53.19891,0.05577894876076935,0.01
16,Sligo,-8.476088800000001,54.27661,0.2557790686772752,0.077541795996579
17,Cork,-8.4756035,51.898509999999995,0.4781177818407173,0.01
18,Nenagh,-8.19834,52.8635,0.2215680259594786,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.23185284267929532,0.01
20,Tipperary,-8.161851400000002,52.47379,0.2863780953842086,0.01
21,Donegal,-8.1096143,54.653830000000006,0.2573774796172752,0.12534282870698776
22,Leitrim,-8.0020132,54.12469,0.17887196552037227,0.055923852530776086
23,Athlone,-7.9406898,53.423930000000006,0.21302874575656336,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.21175604854132674,0.030547166323207753
25,Offaly,-7.7122229,53.235690000000005,0.2780162723143378,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.1487192475462355,0.04744817569797002
27,Enniskillen,-7.631533599999999,54.343819999999994,0.18679141933114052,0.058149944760669925
28,Doon,-7.60964,54.185930000000006,0.11461546818437854,0.03786188855475618
29,Westmeath,-7.4653217000000005,53.534530000000004,0.21519990801955555,0.01
30,Strabane,-7.4633103,54.82739,0.16604232985014158,0.12073279753591314
