index,placename,longitude,latitude,kw,tw
0,Dingle,-10.264013499999999,52.14094,0.8999952024253043,0.01
1,Tralee,-9.6999325,52.27131,0.9175802042193153,0.01
2,Killarney,-9.5044265,52.059940000000005,0.937550916384847,0.01
3,Bantry,-9.4539805,51.68035,0.9024897107452572,0.01
4,Mayo,-9.4289369,54.01526,0.8541877379032691,0.06503782464534454
5,Ballycastle,-9.3724643,54.279669999999996,0.7465732375985216,0.1235070652983199
6,Abbeyfeale,-9.2970823,52.386179999999996,0.862853995333115,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.862853995333115,0.01
8,Galway,-9.0567905,53.270669999999996,0.9518417390341443,0.01
9,Claremorris,-9.0017356,53.72388,0.8710631590126122,0.06615808437373988
10,Clare,-8.9811351,52.90453,0.9324156615378627,0.01
11,Adare,-8.7925892,52.56363,0.897049183845084,0.01
12,Charleville,-8.681017599999999,52.36206,0.862853995333115,0.01
13,Mallow,-8.6539164,52.13898,0.9107921853851425,0.01
14,Limerick,-8.6267343,52.66384,0.9487429068417408,0.01
15,Loughrea,-8.5660931,53.19891,0.862853995333115,0.01
16,Sligo,-8.476088800000001,54.27661,0.8105647052456199,0.13256950080609844
17,Cork,-8.4756035,51.898509999999995,0.960384001763203,0.01
18,Nenagh,-8.19834,52.8635,0.9218022933064679,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.9239872274021564,0.01
20,Tipperary,-8.161851400000002,52.47379,0.9343187435076278,0.01
21,Donegal,-8.1096143,54.653830000000006,0.7514307025038471,0.1995990632892552
22,Leitrim,-8.0020132,54.12469,0.7953919704018896,0.13042074666662115
23,Athlone,-7.9406898,53.423930000000006,0.9199199840847075,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.8611398320563208,0.0654993331942106
25,Offaly,-7.7122229,53.235690000000005,0.9328537452097712,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.7878551526477967,0.1293533867928483
27,Enniskillen,-7.631533599999999,54.343819999999994,0.7971910902368884,0.1306755370015664
28,Doon,-7.60964,54.185930000000006,0.7776058336597277,0.1279018840262566
29,Westmeath,-7.4653217000000005,53.534530000000004,0.9204047064226303,0.01
30,Strabane,-7.4633103,54.82739,0.6756585221307545,0.2618403586865002
31,Cavan,-7.3633319,53.98972,0.8345464442992654,0.09868483159412818
32,Mullingar,-7.340186800000001,53.525819999999996,0.9194119373669707,0.01
33,Laois,-7.332300699999999,52.99429,0.9314430223807928,0.01
34,Omagh,-7.309959700000001,54.59771,0.7395552429398266,0.19689617714658506
35,Derry,-7.308574799999999,54.99661,0.6927770260544308,0.26743492642939726
36,Derry,-7.308574799999999,54.99661,0.6927770260544308,0.26743492642939726
37,Kilkenny,-7.2447879,52.65415,0.9378668248514518,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.728277836689534,0.19432940952678468
39,Waterford,-7.110070200000001,52.25932,0.9431017104946144,0.01
40,Monaghan,-6.9683132,54.2492,0.8020925904139168,0.1313696846884213
