,placename,where_about_x,where_abouts_x,where_at_x,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_abouts,where_x_to,longitude,latitude
0,Dingle,0.038888288687042964,0.5589435043298581,0.01,0.9780071,0.12287373154849075,0.01,0.01,0.01,0.01,-10.264013499999999,52.14094
1,Tralee,0.038888288687042964,0.5589435043298581,0.01,0.9780071,0.12287373154849075,0.01,0.01,0.01,0.01,-9.6999325,52.27131
2,Killarney,0.046210430624698984,0.5573451950643741,0.01,0.9780071,0.10348565495547507,0.01,0.01,0.01,0.01,-9.5044265,52.05994000000001
3,Bantry,0.04365472842041942,0.5362261357414918,0.01,0.9780071,0.11791287252499465,0.01,0.01,0.01,0.01,-9.4539805,51.68035
4,Mayo,0.23760074708566384,0.4277794723224641,0.01,0.9780071,0.2752113656779056,0.01,0.01,0.01,0.01,-9.4289369,54.01526
5,Ballycastle,0.3388937492771308,0.6376995311037459,0.01,0.9780071,0.23857480690525,0.01,0.01,0.01,0.01,-9.3724643,54.279669999999996
6,Abbeyfeale,0.04841283300649938,0.5395731292717243,0.01,0.9780071,0.10974229449878696,0.01,0.01,0.01,0.01,-9.2970823,52.386179999999996
7,Ennistymon,0.17625192576632326,0.40798549379808907,0.01,0.9780071,0.1593943373397231,0.01,0.01,0.01,0.01,-9.2934951,52.940369999999994
8,Galway,0.2169362605943195,0.4428307146179069,0.01,0.9780071,0.1825239809277584,0.01,0.01,0.01,0.01,-9.0567905,53.270669999999996
9,Claremorris,0.15051514594219562,0.4730887436935956,0.01,0.9780071,0.35196217980414546,0.01,0.01,0.01,0.01,-9.0017356,53.72388
10,Clare,0.16934848249916498,0.4429393106077107,0.01,0.9780071,0.1507422092007262,0.01,0.01,0.01,0.01,-8.9811351,52.90453
11,Adare,0.044492927217885635,0.5431525288902495,0.01,0.9780071,0.06565498285616121,0.01,0.01,0.01,0.01,-8.7925892,52.56363
12,Charleville,0.04446866980203562,0.5429521515362019,0.01,0.9780071,0.07657807513646052,0.01,0.01,0.01,0.01,-8.681017599999999,52.36206
