placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Dingle,0.9957262,0.0042738425,0.00000000000,0.00000000000,-10.2640135,52.14094
Tralee,0.9964440,0.0035560071,0.00000000000,0.00000000000, -9.6999325,52.27131
Killarney,0.9967739,0.0032261125,0.00000000000,0.00000000000, -9.5044265,52.05994
Bantry,0.9965264,0.0034735976,0.00000000000,0.00000000000, -9.4539805,51.68035
Mayo,0.9939912,0.0060088320,0.00000000000,0.00000000000, -9.4289369,54.01526
Ballycastle,0.9938320,0.0061679608,0.00000000000,0.00000000000, -9.3724643,54.27967
Abbeyfeale,0.9967942,0.0032058334,0.00000000000,0.00000000000, -9.2970823,52.38618
Ennistymon,0.9959617,0.0040382890,0.00000000000,0.00000000000, -9.2934951,52.94037
Galway,0.9954422,0.0045577765,0.00000000000,0.00000000000, -9.0567905,53.27067
Claremorris,0.9926177,0.0073823110,0.00000000000,0.00000000000, -9.0017356,53.72388
Clare,0.9961138,0.0038862341,0.00000000000,0.00000000000, -8.9811351,52.90453
Adare,0.9969421,0.0030578579,0.00000000000,0.00000000000, -8.7925892,52.56363
Charleville,0.9968697,0.0031302747,0.00000000000,0.00000000000, -8.6810176,52.36206
Mallow,0.9969152,0.0030848329,0.00000000000,0.00000000000, -8.6539164,52.13898
Limerick,0.9953511,0.0046489016,0.00000000000,0.00000000000, -8.6267343,52.66384
Loughrea,0.9961741,0.0038259497,0.00000000000,0.00000000000, -8.5660931,53.19891
Sligo,0.9944212,0.0055788323,0.00000000000,0.00000000000, -8.4760888,54.27661
Cork,0.9966173,0.0033827224,0.00000000000,0.00000000000, -8.4756035,51.89851
Nenagh,0.9974496,0.0025504330,0.00000000000,0.00000000000, -8.1983400,52.86350
Roscommon,0.9939543,0.0060456785,0.00000000000,0.00000000000, -8.1890955,53.62759
Tipperary,0.9969707,0.0030293171,0.00000000000,0.00000000000, -8.1618514,52.47379
Donegal,0.9921815,0.0078184749,0.00000000000,0.00000000000, -8.1096143,54.65383
Leitrim,0.9956339,0.0043661363,0.00000000000,0.00000000000, -8.0020132,54.12469
Athlone,0.9935746,0.0064253587,0.00000000000,0.00000000000, -7.9406898,53.42393
Longford,0.9943291,0.0056708631,0.00000000000,0.00000000000, -7.7932573,53.72763
Offaly,0.9950707,0.0049293045,0.00000000000,0.00000000000, -7.7122229,53.23569
Fermanagh,0.9942657,0.0057343416,0.00000000000,0.00000000000, -7.6318728,54.34383
Enniskillen,0.9942657,0.0057343416,0.00000000000,0.00000000000, -7.6315336,54.34382
Doon,0.9934899,0.0065101199,0.00000000000,0.00000000000, -7.6096400,54.18593
Westmeath,0.9963592,0.0036408303,0.00000000000,0.00000000000, -7.4653217,53.53453
Strabane,0.9858708,0.0133952211,0.00073398472,0.00000000000, -7.4633103,54.82739
Balivanich,0.9962000,0.0038000046,0.00000000000,0.00000000000, -7.3743509,57.47227
Cavan,0.9957106,0.0042894376,0.00000000000,0.00000000000, -7.3633319,53.98972
Mullingar,0.9953309,0.0046690557,0.00000000000,0.00000000000, -7.3401868,53.52582
Laois,0.9957154,0.0042846000,0.00000000000,0.00000000000, -7.3323007,52.99430
Omagh,0.9877868,0.0122132400,0.00000000000,0.00000000000, -7.3099597,54.59771
Derry,0.9851276,0.0141469102,0.00072548258,0.00000000000, -7.3085748,54.99661
Derry,0.9851276,0.0141469102,0.00072548258,0.00000000000, -7.3085748,54.99661
Kilkenny,0.9964488,0.0035511737,0.00000000000,0.00000000000, -7.2447879,52.65415
Tyrone,0.9870544,0.0129456005,0.00000000000,0.00000000000, -7.1312320,54.49121
Waterford,0.9965324,0.0034675681,0.00000000000,0.00000000000, -7.1100702,52.25932
Western Isles,0.9939527,0.0060473480,0.00000000000,0.00000000000, -7.0194034,57.75989
Monaghan,0.9948226,0.0051774297,0.00000000000,0.00000000000, -6.9683132,54.24920
Carlow,0.9946950,0.0053049545,0.00000000000,0.00000000000, -6.9341359,52.83651
Kildare,0.9935783,0.0064216641,0.00000000000,0.00000000000, -6.8194708,53.21204
Dungannon,0.9878450,0.0121549885,0.00000000000,0.00000000000, -6.7669352,54.50827
Cookstown,0.9870588,0.0129411765,0.00000000000,0.00000000000, -6.7443895,54.64182
Coleraine,0.9813351,0.0178164902,0.00084840429,0.00000000000, -6.6646103,55.13258
Meath,0.9953647,0.0046353089,0.00000000000,0.00000000000, -6.6564169,53.60555
Armagh,0.9911553,0.0088446656,0.00000000000,0.00000000000, -6.6527920,54.35028
Armagh,0.9911553,0.0088446656,0.00000000000,0.00000000000, -6.6527920,54.35028
Magherafelt,0.9827366,0.0172634271,0.00000000000,0.00000000000, -6.6079805,54.75537
Dunvegan,0.9962343,0.0037656617,0.00000000000,0.00000000000, -6.5813982,57.43660
Louth,0.9950120,0.0049879655,0.00000000000,0.00000000000, -6.4889423,53.92523
Wexford,0.9949489,0.0050510989,0.00000000000,0.00000000000, -6.4633381,52.33692
Craigavon,0.9937057,0.0062942565,0.00000000000,0.00000000000, -6.4175653,54.44293
Stornoway,0.9935981,0.0064018624,0.00000000000,0.00000000000, -6.3848692,58.20943
Drogheda,0.9965314,0.0034686170,0.00000000000,0.00000000000, -6.3560985,53.71786
Rosslare,0.9953110,0.0044284929,0.00000000000,0.00026049958, -6.3414908,52.25131
Newry,0.9958848,0.0041152263,0.00000000000,0.00000000000, -6.3402300,54.17510
Scilly Isles,0.9939729,0.0033902562,0.00037669513,0.00226017077, -6.3274966,49.92773
Ballymena,0.9833585,0.0158850227,0.00075642965,0.00000000000, -6.2802213,54.86529
Banbridge,0.9985401,0.0014598540,0.00000000000,0.00000000000, -6.2704803,54.34873
Dublin,0.9955945,0.0041776418,0.00022787137,0.00000000000, -6.2603097,53.34981
Antrim,0.9952054,0.0046028154,0.00019178397,0.00000000000, -6.2072498,54.71953
Antrim,0.9952054,0.0046028154,0.00019178397,0.00000000000, -6.2072498,54.71953
Portree,0.9946520,0.0053480269,0.00000000000,0.00000000000, -6.1960231,57.41247
Islay,0.9904612,0.0087093016,0.00082945730,0.00000000000, -6.1770670,55.73625
Wicklow,0.9949657,0.0050343151,0.00000000000,0.00000000000, -6.0445890,52.98082
Kilkeel,0.9969141,0.0030858906,0.00000000000,0.00000000000, -6.0070040,54.06312
Mull,0.9940325,0.0059674503,0.00000000000,0.00000000000, -6.0008870,56.43920
Belfast,0.9962054,0.0036048343,0.00018972812,0.00000000000, -5.9301200,54.59728
Broadford,0.9976249,0.0023751260,0.00000000000,0.00000000000, -5.9096592,57.24139
Down,0.9948445,0.0051555250,0.00000000000,0.00000000000, -5.7156922,54.32875
Kyle of Lochalsh,0.9976637,0.0023362832,0.00000000000,0.00000000000, -5.7143293,57.28261
Campbeltown,0.9963380,0.0036619516,0.00000000000,0.00000000000, -5.6053740,55.42412
Penzance,0.9938402,0.0035465406,0.00037332006,0.00223992036, -5.5375920,50.11880
Oban,0.9940233,0.0059766969,0.00000000000,0.00000000000, -5.4710470,56.41516
Lochgilphead,0.9940843,0.0059156571,0.00000000000,0.00000000000, -5.4323449,56.03829
Helston,0.9938402,0.0035465406,0.00037332006,0.00223992036, -5.2749960,50.10159
Redruth,0.9938310,0.0035518445,0.00037387836,0.00224327019, -5.2266660,50.23302
Ullapool,0.9945078,0.0054921541,0.00000000000,0.00000000000, -5.1613130,57.89542
Ballachulish,0.9969192,0.0030808010,0.00000000000,0.00000000000, -5.1337200,56.67393
Fort William,0.9968710,0.0031290001,0.00000000000,0.00000000000, -5.1052179,56.81982
Achnasheen,0.9943761,0.0056238588,0.00000000000,0.00000000000, -5.0787658,57.57859
Newquay,0.9944713,0.0028596848,0.00038129131,0.00228774784, -5.0737190,50.41550
Falmouth,0.9938402,0.0035465406,0.00037332006,0.00223992036, -5.0662700,50.15257
Rothesay,0.9936246,0.0063754427,0.00000000000,0.00000000000, -5.0557930,55.83596
