index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
0,Dingle,-10.264013499999999,52.14094,0.08819284573714249,0.06938594373179877,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.1562379416703131,0.10630526168804574,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.2651490768082836,0.1610523457102609,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.0966092804583041,0.06690914118503605,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.14636181018780137,0.14076029390196865,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.05477879356828027,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.014936191012920872,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.022091004327062888,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.3704938594738414,0.25242184005546076,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.2385868492551008,0.18818427563459997,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.23314731824515603,0.1660853267586532,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.07885608815049766,0.05646239884707502,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.017823886903799862,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.12737148700367124,0.08665323564202221,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.3455584394840768,0.1996717154638728,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.025444079946331213,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.24981279818074648,0.3592797301843183,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.44783021171071097,0.2604543570710354,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.17618055433644011,0.10607797846473678,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.1865701489037846,0.18074703512606352,0.01,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.24479860270216283,0.14597604835382003,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.27455422997786455,0.4840708770076199,0.17073916426969873,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.15831671097652258,0.19801417568357682,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.16703372755944323,0.11529695242442661,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.180790725997769,0.15581296933135086,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.2357346198470197,0.16967511430572718,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.12178348671652865,0.22516757772267507,0.01,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.16724476975026842,0.2821587225179048,0.01,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.0814599777976987,0.11950470226186018,0.01,0.01,0.01
