index,placename,longitude,latitude,aint,am_not,amnt,arent,ent,int,m_not
0,Dingle,-10.264013499999999,52.14094,0.05175582183390451,0.09205860742077092,0.13929796878502285,0.01,0.01,0.01,0.09228803509711797
1,Tralee,-9.6999325,52.27131,0.08761941431330349,0.154623997238213,0.19631435199363406,0.01,0.01,0.01,0.1620937992529846
2,Killarney,-9.5044265,52.059940000000005,0.14417684919784668,0.25699002158078943,0.2860062725592875,0.01,0.01,0.01,0.2735161902200263
3,Bantry,-9.4539805,51.68035,0.05429208304063382,0.09864584009417317,0.12560306954748574,0.01,0.01,0.01,0.10125866703528874
4,Mayo,-9.4289369,54.01526,0.1130349548445215,0.14002668265891735,0.4430892390759063,0.01,0.01,0.01,0.1497247321565466
5,Ballycastle,-9.3724643,54.279669999999996,0.02008696890960603,0.01,0.1485782136912342,0.01,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.011209356045055763,0.015867532863922857,0.07651835430088377,0.01,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.0155472222008385,0.012966204839364984,0.12771879405179726,0.01,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.24698038140075781,0.352964634007307,0.767512345446853,0.01,0.026972142181409926,0.01,0.37663866591341094
9,Claremorris,-9.0017356,53.72388,0.16936091378536905,0.2342118683063077,0.5893689674737648,0.01,0.021081628658271453,0.01,0.24190279120721414
10,Clare,-8.9811351,52.90453,0.15844998038086525,0.23625002779612725,0.5380197233753292,0.01,0.025209660665127195,0.01,0.2358746708276638
11,Adare,-8.7925892,52.56363,0.06078555045434827,0.09028540979040957,0.11789719339596387,0.01,0.01,0.01,0.08049726352034839
12,Charleville,-8.681017599999999,52.36206,0.01,0.010225436097797195,0.06449530417195025,0.01,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.06827353839869502,0.12386665628982124,0.14229720090153347,0.01,0.01,0.01,0.13353297623825935
