,placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
0,Dingle,0.09743534648592382,0.44606521653761655,0.4237654867558541,0.01,0.010303652330160165,0.01,0.6948086745293882,-10.2640135,52.14094
1,Tralee,0.09849972971808896,0.44511677435963504,0.4250656645740403,0.01,0.010335265913723841,0.01,0.6944628854664464,-9.6999325,52.27131
2,Killarney,0.09773210005415313,0.4538177553427952,0.4237964332036237,0.01,0.010553705000130578,0.01,0.6879339676620366,-9.5044265,52.05994000000001
3,Bantry,0.09054748903991124,0.4368670497638196,0.3639812527716941,0.01,0.01080724561019254,0.01,0.7121105455156794,-9.4539805,51.68035
4,Mayo,0.1878852727088829,0.40833685267386055,1.0,0.01,0.015808584326495824,0.01,0.6064146736830639,-9.4289369,54.01526
5,Ballycastle,0.21379778267205005,0.3807119241227886,0.9452527081591796,0.01,0.015834829708050027,0.01,0.6066668513422256,-9.3724643,54.27967
6,Abbeyfeale,0.1402883620045094,0.5291343983902663,0.4868087980725351,0.01,0.01811130153029684,0.01,0.5806247319418347,-9.2970823,52.38618
7,Ennistymon,0.17620725516983718,0.4769782310703686,0.8125453453840285,0.01,0.0286753609399258,0.01,0.5682498774932393,-9.2934951,52.94037
8,Galway,0.16814719209276593,0.4476529960094237,0.8707273667122006,0.01,0.023585586719324588,0.01,0.5983650481764402,-9.0567905,53.27067
9,Claremorris,0.17891539764832962,0.4609223450910309,0.9452741137324326,0.01,0.026062080304506643,0.01,0.5720325423806519,-9.0017356,53.72388
10,Clare,0.16336661406211211,0.4943088876380782,0.8782922612399864,0.01,0.03172066464496177,0.01,0.5622043002022201,-8.9811351,52.90453
11,Adare,0.15585166386705904,0.5087598854428823,0.3799023791134591,0.01,0.02300229570595376,0.01,0.5880190776220027,-8.7925892,52.56363
12,Charleville,0.09871198691806513,0.4277083822768537,0.4103183058774571,0.01,0.01,0.01,0.7096919325119097,-8.681017599999999,52.36206
13,Mallow,0.08491488176557724,0.41624107333341137,0.35108169353278995,0.01,0.010424234795556044,0.01,0.7357006192680922,-8.6539164,52.13898
14,Limerick,0.15496333893254854,0.5064743235115601,0.6885664074931295,0.01,0.034573237966423705,0.01,0.5711986367122913,-8.6267343,52.66384
15,Loughrea,0.17148571812960076,0.4660191309743532,0.9074895437943982,0.01,0.03277516240539486,0.01,0.5759021321430047,-8.5660931,53.19891
16,Sligo,0.2235267700077576,0.2497899303916929,0.5779137822985062,0.01,0.01,0.01,0.7310057208030339,-8.476088800000001,54.27661
17,Cork,0.07577523966044653,0.4098575752168613,0.340397380209276,0.01,0.010106998721380394,0.01,0.7507548613452721,-8.4756035,51.89851
18,Nenagh,0.17506892551688694,0.4641150127373718,0.3056037663047493,0.01,0.030117675100383826,0.01,0.6086250490743462,-8.19834,52.8635
19,Roscommon,0.2233183843481366,0.449448720854636,0.9553804545860908,0.01,0.02748597053911873,0.01,0.5367802071104548,-8.1890955,53.62759000000001
20,Tipperary,0.07656484031589836,0.38787737033038616,0.3087498705929551,0.014934334757868897,0.011626855411523774,0.01,0.7675447352659944,-8.161851400000002,52.47379
21,Donegal,0.2439737296629195,0.2512466962406095,0.4071046769020506,0.01,0.01,0.01,0.7168274140040749,-8.1096143,54.653830000000006
22,Leitrim,0.2170984644019124,0.23053839135480025,0.6947388859748334,0.01,0.01,0.01,0.7472759559109398,-8.0020132,54.12469
23,Athlone,0.27314888347195865,0.3826201760060664,0.2335706328671541,0.01,0.01898033953619746,0.01,0.5856348524808447,-7.9406898,53.42393000000001
24,Longford,0.22893356969087197,0.3994805154840648,0.5061365884094609,0.01,0.015948175027874663,0.01,0.6016529099295899,-7.7932573,53.72763000000001
25,Offaly,0.2028890402015911,0.3930602738448812,0.20877814445960527,0.01,0.01111543265861418,0.01,0.6469235758409992,-7.7122229,53.23569000000001
26,Fermanagh,0.18638330862806649,0.27269928710676683,0.5217879348868193,0.01,0.01,0.01,0.7515304986908731,-7.6318728,54.34383
27,Enniskillen,0.18638330862806649,0.27269928710676683,0.5217879348868193,0.01,0.01,0.01,0.7515304986908731,-7.631533599999999,54.34382
28,Doon,0.1561752278522485,0.2069810855827833,0.7731229467017701,0.01,0.01,0.01,0.8229139701647077,-7.60964,54.185930000000006
29,Westmeath,0.22073054998618344,0.37402322512136266,0.3871769019085959,0.011607602993052796,0.012199800032565176,0.01,0.6337673527363662,-7.4653217,53.53453
