Unnamed: 0,placename,needs_to_be_Xed,needs_Xed,needs_Xing,longitude,latitude,control
0,Dingle,0.9023549692045684,0.2882849265906017,0.08487538324300989,-10.2640135,52.14094,0.9819019572658481
1,Tralee,0.9047621356208684,0.2899529950832372,0.08159820864330045,-9.6999325,52.27131,0.982715886403378
2,Killarney,0.8897059757150222,0.28521799345149035,0.09736163539363077,-9.5044265,52.05994000000001,0.9785794050014759
3,Bantry,0.9221940651239282,0.2623001306597991,0.09088039887054973,-9.4539805,51.68035,0.9825364266198258
4,Mayo,0.9027963715434932,0.2761977328334418,0.09457238044318073,-9.4289369,54.01526,0.9802387837136118
5,Ballycastle,0.8480343167232619,0.3429502021779165,0.08212951343813167,-9.3724643,54.27967,0.9781797693470011
6,Abbeyfeale,0.9084117849807312,0.2844486026163785,0.08330461243951517,-9.2970823,52.38618,0.9826794141734034
7,Ennistymon,0.8973116242798066,0.2898935576330553,0.08750105515503498,-9.2934951,52.94037,0.9809983967198019
8,Galway,0.8523285243102569,0.2930915893126706,0.12018494260482605,-9.0567905,53.27067,0.9710748121643346
9,Claremorris,0.8973123168566981,0.2669998365306411,0.10652380910405357,-9.0017356,53.72388,0.9779024639031758
10,Clare,0.9011764341939984,0.28580448807100417,0.08786248316331689,-8.9811351,52.90453,0.981254558767737
11,Adare,0.911956162653068,0.2791168908944293,0.08495021899160081,-8.7925892,52.56363,0.9826641547696877
12,Charleville,0.916163798128611,0.2617493683597667,0.09607577005277934,-8.681017599999999,52.36206,0.9812180417527252
13,Mallow,0.914915312851988,0.26095550841644555,0.09771626180091378,-8.6539164,52.13898,0.9808639196745185
14,Limerick,0.911956162653068,0.2791168908944293,0.08495021899160081,-8.6267343,52.66384,0.9826641547696877
15,Loughrea,0.908207705656668,0.26243044339486543,0.10176062071809744,-8.5660931,53.19891,0.9796505597656142
16,Sligo,0.841480461597881,0.36645652410271545,0.06774634011291529,-8.476088800000001,54.27661,0.9815418261650359
17,Cork,0.9162570651500154,0.26531275591200176,0.09304153050314906,-8.4756035,51.89851,0.9816837302375087
18,Nenagh,0.9078625715056784,0.26645699776877096,0.09868584362651353,-8.19834,52.8635,0.9800627853472517
