index,placename,longitude,latitude,Y needs X to be Ved,Y needs X Ved,Y needs X Ving
0,Dingle,-10.264013499999999,52.14094,0.1009115779255534,0.15242759018657026,0.06340589644114053
1,Tralee,-9.6999325,52.27131,0.14855524398153364,0.23650420890173784,0.11977376579059042
2,Killarney,-9.5044265,52.059940000000005,0.22455721970899153,0.37424432404414343,0.20754831871981366
3,Bantry,-9.4539805,51.68035,0.09572365612460408,0.16100492752389436,0.07958844897683602
4,Mayo,-9.4289369,54.01526,0.13354075975014146,0.23550319666223948,0.1089845556285023
5,Ballycastle,-9.3724643,54.279669999999996,0.022153020835873432,0.047950324620077416,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.024776147601545444,0.03951047977818547,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.02849554084951721,0.0370391181730773,0.01
8,Galway,-9.0567905,53.270669999999996,0.34508542969480127,0.4913334378183864,0.27274982821968485
9,Claremorris,-9.0017356,53.72388,0.18836634083745027,0.3383726603691562,0.20118615474779805
10,Clare,-8.9811351,52.90453,0.22428971451525706,0.32433479588535696,0.17406500233510763
11,Adare,-8.7925892,52.56363,0.08699938495350844,0.13853840874668966,0.06266645632498302
12,Charleville,-8.681017599999999,52.36206,0.022319946893460854,0.03951047977818547,0.01
13,Mallow,-8.6539164,52.13898,0.12558637204986656,0.19994937963000048,0.09846481976677765
14,Limerick,-8.6267343,52.66384,0.30577017327054057,0.4613428475591988,0.2662759362258972
15,Loughrea,-8.5660931,53.19891,0.027464265542185264,0.03320878418593381,0.01
16,Sligo,-8.476088800000001,54.27661,0.17539787408136953,0.4382780090463887,0.1587223378767035
17,Cork,-8.4756035,51.898509999999995,0.3851012961623116,0.5688844364455117,0.3607774702725043
18,Nenagh,-8.19834,52.8635,0.16842285157610062,0.24025950854103859,0.1487487821256543
19,Roscommon,-8.1890955,53.627590000000005,0.19953876790099728,0.2720372948933003,0.1263453531201273
20,Tipperary,-8.161851400000002,52.47379,0.2189031054146211,0.33972653641094297,0.19207722035013697
21,Donegal,-8.1096143,54.653830000000006,0.188425901116226,0.5213610509763351,0.14218790191393219
22,Leitrim,-8.0020132,54.12469,0.11714885520312882,0.28174705992965565,0.11195224241389655
23,Athlone,-7.9406898,53.423930000000006,0.1716508625150221,0.22481672743045633,0.13791446535316831
24,Longford,-7.7932573000000005,53.727630000000005,0.19029108491341223,0.25019753199101535,0.13672366718737416
25,Offaly,-7.7122229,53.235690000000005,0.21785944874376392,0.3100346512076656,0.19619181299945487
26,Fermanagh,-7.6318728,54.343830000000004,0.0901003756557035,0.2691907965999804,0.05726728218663157
27,Enniskillen,-7.631533599999999,54.343819999999994,0.1192377050338957,0.34391775815683884,0.08243226408126701
28,Doon,-7.60964,54.185930000000006,0.06313386887998376,0.19611843648912386,0.04028311528574401
29,Westmeath,-7.4653217000000005,53.534530000000004,0.17397455521265637,0.23921058485202867,0.1300035644280411
30,Strabane,-7.4633103,54.82739,0.1252723662271575,0.3593945332979076,0.0876442084464343
31,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.06457225814973339,0.025593721710875858
32,Cavan,-7.3633319,53.98972,0.2225787862140758,0.29655172190320517,0.13250407954946306
33,Mullingar,-7.340186800000001,53.525819999999996,0.1639280193432,0.2437610057128954,0.12258488667904865
34,Laois,-7.332300699999999,52.9943,0.217367991168452,0.3077415456552223,0.17910187988730547
35,Omagh,-7.309959700000001,54.59771,0.1341269524684912,0.38210342048072754,0.09529163211918946
36,Derry,-7.308574799999999,54.99661,0.25539511579039,0.5428173559495142,0.16234808306760679
37,Derry,-7.308574799999999,54.99661,0.25539511579039,0.5428173559495142,0.16234808306760679
38,Kilkenny,-7.2447879,52.65415,0.2473129904564492,0.348380348976824,0.21701724987000734
39,Tyrone,-7.131232000000001,54.491209999999995,0.09414521248210621,0.2795643748407023,0.06076067872212057
40,Waterford,-7.110070200000001,52.25932,0.26561840829298944,0.4089687275004138,0.23831348878383699
41,Western Isles,-7.0194034,57.759890000000006,0.05335439613568859,0.20728424465113104,0.10399153188081416
42,Monaghan,-6.9683132,54.2492,0.13996921013283287,0.3833789360472747,0.10033741851496149
43,Carlow,-6.934135899999999,52.83651,0.22253713934626101,0.3307030915298204,0.18596432188765366
44,Kildare,-6.8194707999999995,53.21204,0.27870373240248036,0.41503758144159847,0.2375469801491126
45,Dungannon,-6.7669352,54.508269999999996,0.09990518033582534,0.2836960172123438,0.06573539071731996
46,Cookstown,-6.7443895000000005,54.641819999999996,0.13774099134245232,0.34263822669561356,0.08619543269211949
47,Coleraine,-6.6646103000000005,55.132580000000004,0.2012450210389434,0.4880016933715189,0.1366541231078589
