placename,off,off_of,longitude,latitude
Dingle,0.9867770,0.013222989,-10.2640135,52.14094
Tralee,0.9861686,0.013831386, -9.6999325,52.27131
Killarney,0.9890657,0.010934336, -9.5044265,52.05994
Bantry,0.9894309,0.010569096, -9.4539805,51.68035
Mayo,0.9857714,0.014228584, -9.4289369,54.01526
Ballycastle,0.9864809,0.013519145, -9.3724643,54.27967
Abbeyfeale,0.9850557,0.014944261, -9.2970823,52.38618
Ennistymon,0.9830286,0.016971363, -9.2934951,52.94037
Galway,0.9819381,0.018061927, -9.0567905,53.27067
Claremorris,0.9854970,0.014503007, -9.0017356,53.72388
Clare,0.9832863,0.016713744, -8.9811351,52.90453
Adare,0.9839317,0.016068317, -8.7925892,52.56363
Charleville,0.9882897,0.011710343, -8.6810176,52.36206
Mallow,0.9882780,0.011722029, -8.6539164,52.13898
Limerick,0.9833143,0.016685712, -8.6267343,52.66384
Loughrea,0.9835459,0.016454090, -8.5660931,53.19891
Sligo,0.9883751,0.011624903, -8.4760888,54.27661
Cork,0.9885428,0.011457205, -8.4756035,51.89851
Nenagh,0.9860889,0.013911118, -8.1983400,52.86350
Roscommon,0.9878999,0.012100139, -8.1890955,53.62759
Tipperary,0.9865106,0.013489394, -8.1618514,52.47379
Donegal,0.9900877,0.009912301, -8.1096143,54.65383
Leitrim,0.9904158,0.009584181, -8.0020132,54.12469
Athlone,0.9917535,0.008246478, -7.9406898,53.42393
Longford,0.9908796,0.009120389, -7.7932573,53.72763
Offaly,0.9903976,0.009602390, -7.7122229,53.23569
Fermanagh,0.9907305,0.009269459, -7.6318728,54.34383
Enniskillen,0.9907305,0.009269459, -7.6315336,54.34382
Doon,0.9897331,0.010266940, -7.6096400,54.18593
Westmeath,0.9917030,0.008297040, -7.4653217,53.53453
Strabane,0.9906703,0.009329688, -7.4633103,54.82739
Balivanich,0.9879525,0.012047526, -7.3743509,57.47227
Cavan,0.9909713,0.009028711, -7.3633319,53.98972
Mullingar,0.9923778,0.007622153, -7.3401868,53.52582
Laois,0.9904497,0.009550343, -7.3323007,52.99430
Omagh,0.9908105,0.009189546, -7.3099597,54.59771
Derry,0.9914235,0.008576504, -7.3085748,54.99661
Derry,0.9914235,0.008576504, -7.3085748,54.99661
Kilkenny,0.9878479,0.012152079, -7.2447879,52.65415
Tyrone,0.9907657,0.009234296, -7.1312320,54.49121
Waterford,0.9874291,0.012570873, -7.1100702,52.25932
Western Isles,0.9843338,0.015666175, -7.0194034,57.75989
Monaghan,0.9892592,0.010740778, -6.9683132,54.24920
Carlow,0.9900353,0.009964674, -6.9341359,52.83651
Kildare,0.9918281,0.008171853, -6.8194708,53.21204
Dungannon,0.9924940,0.007505971, -6.7669352,54.50827
Cookstown,0.9914163,0.008583691, -6.7443895,54.64182
Coleraine,0.9918643,0.008135716, -6.6646103,55.13258
Meath,0.9870612,0.012938792, -6.6564169,53.60555
Armagh,0.9917041,0.008295887, -6.6527920,54.35028
Armagh,0.9917041,0.008295887, -6.6527920,54.35028
Magherafelt,0.9934924,0.006507592, -6.6079805,54.75537
Dunvegan,0.9872223,0.012777679, -6.5813982,57.43660
Louth,0.9902523,0.009747692, -6.4889423,53.92523
Wexford,0.9883118,0.011688198, -6.4633381,52.33692
Craigavon,0.9922481,0.007751938, -6.4175653,54.44293
Stornoway,0.9855714,0.014428613, -6.3848692,58.20943
Drogheda,0.9866863,0.013313668, -6.3560985,53.71786
Rosslare,0.9879839,0.012016138, -6.3414908,52.25131
Newry,0.9914945,0.008505468, -6.3402300,54.17510
Scilly Isles,0.9891271,0.010872910, -6.3274966,49.92773
Ballymena,0.9948829,0.005117072, -6.2802213,54.86529
Banbridge,0.9936838,0.006316181, -6.2704803,54.34873
Dublin,0.9891959,0.010804119, -6.2603097,53.34981
Antrim,0.9918196,0.008180381, -6.2072498,54.71953
Antrim,0.9918196,0.008180381, -6.2072498,54.71953
Portree,0.9857130,0.014286988, -6.1960231,57.41247
Islay,0.9840779,0.015922123, -6.1770670,55.73625
Wicklow,0.9918309,0.008169131, -6.0445890,52.98082
Kilkeel,0.9898748,0.010125204, -6.0070040,54.06312
Mull,0.9791754,0.020824612, -6.0008870,56.43920
Belfast,0.9917282,0.008271848, -5.9301200,54.59728
Broadford,0.9862228,0.013777226, -5.9096592,57.24139
Down,0.9879661,0.012033873, -5.7156922,54.32875
Kyle of Lochalsh,0.9849774,0.015022572, -5.7143293,57.28261
Campbeltown,0.9854336,0.014566370, -5.6053740,55.42412
Penzance,0.9890485,0.010951545, -5.5375920,50.11880
Oban,0.9779670,0.022033013, -5.4710470,56.41516
Lochgilphead,0.9807276,0.019272440, -5.4323449,56.03829
Helston,0.9884612,0.011538844, -5.2749960,50.10159
Redruth,0.9890530,0.010947021, -5.2266660,50.23302
Ullapool,0.9860973,0.013902659, -5.1613130,57.89542
Ballachulish,0.9836878,0.016312163, -5.1337200,56.67393
Fort William,0.9851624,0.014837635, -5.1052179,56.81982
Achnasheen,0.9856532,0.014346763, -5.0787658,57.57859
Newquay,0.9869170,0.013083030, -5.0737190,50.41550
Falmouth,0.9881057,0.011894316, -5.0662700,50.15257
Rothesay,0.9813860,0.018613965, -5.0557930,55.83596
Truro,0.9871053,0.012894728, -5.0510410,50.26320
Milford Haven,0.9888995,0.011100501, -5.0426971,51.71431
Stranraer,0.9905697,0.009430255, -5.0240550,54.90337
Fishguard,0.9872008,0.012799242, -4.9759890,51.99393
Inchnadamph,0.9864481,0.013551937, -4.9742950,58.15221
Haverfordwest,0.9889312,0.011068793, -4.9713190,51.80047
Dunoon,0.9811226,0.018877393, -4.9262140,55.95097
Pembroke,0.9891558,0.010844216, -4.9086370,51.67404
Girvan,0.9855885,0.014411529, -4.8542179,55.24016
Wadebridge,0.9862565,0.013743529, -4.8364560,50.51665
Invergarry,0.9872579,0.012742133, -4.8002610,57.07095
St Austell,0.9868417,0.013158346, -4.7834252,50.34038
Greenock,0.9810618,0.018938218, -4.7719830,55.95648
Helensburgh,0.9822197,0.017780294, -4.7340140,56.00232
Bodmin,0.9862087,0.013791328, -4.7188629,50.47150
Tenby,0.9894577,0.010542345, -4.7035790,51.67274
Camelford,0.9864344,0.013565604, -4.6823640,50.62206
Irvine,0.9839985,0.016001524, -4.6696364,55.61157
Cardigan,0.9842707,0.015729266, -4.6608640,52.08370
Holyhead,0.9921956,0.007804370, -4.6330380,53.30944
Ayr,0.9848967,0.015103339, -4.6291790,55.45856
Dumbarton,0.9819888,0.018011217, -4.5645540,55.94529
Bude,0.9799340,0.020065995, -4.5436780,50.82664
Isle of Man,0.9918275,0.008172531, -4.5126331,54.27697
Kilmarnock,0.9846138,0.015386215, -4.4987920,55.61472
Newton Stewart,0.9871127,0.012887344, -4.4831640,54.96030
Liskeard,0.9802807,0.019719343, -4.4647190,50.45552
Altnaharra,0.9871821,0.012817894, -4.4426550,58.28023
Pwllheli,0.9913850,0.008615031, -4.4176339,52.88882
Lairg,0.9860904,0.013909631, -4.4024140,58.02206
Launceston,0.9805226,0.019477404, -4.3604516,50.63683
Carmarthen,0.9872418,0.012758202, -4.3121310,51.85762
Llangefni,0.9931197,0.006880296, -4.3114020,53.25579
Caernarfon,0.9924428,0.007557219, -4.2739110,53.13955
Cumnock,0.9860349,0.013965142, -4.2658289,55.45355
Aberaeron,0.9888983,0.011101703, -4.2581619,52.24279
Alness,0.9870880,0.012912031, -4.2568250,57.69595
Glasgow,0.9827594,0.017240553, -4.2518060,55.86424
Dalwhinnie,0.9889959,0.011004127, -4.2427830,56.93660
Inverness,0.9870583,0.012941688, -4.2247210,57.47777
Saltash,0.9809403,0.019059720, -4.2164300,50.40921
Bideford,0.9801132,0.019886756, -4.2066660,51.01668
Invergordon,0.9870827,0.012917284, -4.1728820,57.68811
Llanelli,0.9923144,0.007685590, -4.1602480,51.68089
Plymouth,0.9803859,0.019614097, -4.1426565,50.37546
Tavistock,0.9809658,0.019034156, -4.1416540,50.55112
Porthmadog,0.9898528,0.010147180, -4.1333840,52.92784
Bangor,0.9930377,0.006962303, -4.1292630,53.22739
Tywyn,0.9892843,0.010715730, -4.0872490,52.58701
Aberystwyth,0.9895801,0.010419923, -4.0829200,52.41530
Lampeter,0.9883294,0.011670649, -4.0785090,52.11290
Barnstaple,0.9802829,0.019717102, -4.0583380,51.07816
Tain,0.9863691,0.013630880, -4.0552300,57.81150
Okehampton,0.9853345,0.014665495, -4.0042630,50.73831
Llandeilo,0.9875312,0.012468828, -3.9914300,51.88469
Motherwell,0.9871977,0.012802319, -3.9810968,55.78321
Golspie,0.9866413,0.013358690, -3.9760860,57.97341
Airdrie,0.9878170,0.012182951, -3.9625660,55.86627
Swansea,0.9923315,0.007668461, -3.9436460,51.62144
Stirling,0.9869702,0.013029821, -3.9369029,56.11652
Tregaron,0.9879154,0.012084592, -3.9343850,52.22000
Tregaron,0.9879154,0.012084592, -3.9343850,52.22000
Castle Douglas,0.9881898,0.011810155, -3.9314140,54.94042
Dolgellau,0.9875050,0.012494962, -3.8844000,52.74215
Aberfeldy,0.9913089,0.008691072, -3.8669690,56.62175
Machynlleth,0.9895395,0.010460477, -3.8534850,52.59027
Brora,0.9861594,0.013840618, -3.8525480,58.01216
Llandudno,0.9951543,0.004845717, -3.8276090,53.32406
Llandudno,0.9951543,0.004845717, -3.8276090,53.32406
Aviemore,0.9917571,0.008242902, -3.8238120,57.19449
Dalbeattie,0.9881190,0.011880968, -3.8225270,54.93422
Falkirk,0.9881380,0.011861970, -3.7839131,56.00188
Kingsbridge,0.9788534,0.021146556, -3.7774930,50.28395
Pitlochry,0.9892857,0.010714286, -3.7297110,56.70436
Colwyn Bay,0.9956209,0.004379070, -3.7276400,53.29318
Totnes,0.9805371,0.019462868, -3.6857970,50.43374
Grantown-on-Spey,0.9903322,0.009667811, -3.6096280,57.33041
Dumfries,0.9890374,0.010962558, -3.6051200,55.07086
Whitehaven,0.9932570,0.006743016, -3.5892330,54.54970
Dartmouth,0.9808433,0.019156678, -3.5788070,50.35252
Bridgend,0.9926704,0.007329587, -3.5769450,51.50429
Paignton,0.9821934,0.017806627, -3.5642350,50.43508
Workington,0.9894705,0.010529470, -3.5427520,54.64357
Llanidloes,0.9799134,0.020086648, -3.5401950,52.44779
Exeter,0.9828754,0.017124641, -3.5338990,50.71841
Torquay,0.9823133,0.017686687, -3.5253150,50.46192
Thurso,0.9858049,0.014195130, -3.5220800,58.59357
Livingston,0.9882664,0.011733579, -3.5180680,55.90071
Rhyl,0.9897342,0.010265769, -3.4916340,53.31914
Tiverton,0.9838042,0.016195778, -3.4912070,50.90205
Tiverton,0.9838042,0.016195778, -3.4912070,50.90205
Minehead,0.9867599,0.013240148, -3.4811520,51.20428
Dunfermline,0.9899570,0.010042955, -3.4521510,56.07174
Perth,0.9875664,0.012433607, -3.4308381,56.39499
Prestatyn,0.9917171,0.008282882, -3.4076130,53.33651
Builth Wells,0.9807916,0.019208382, -3.4045920,52.15002
Braemar,0.9894958,0.010504202, -3.3979439,57.00647
Brecon,0.9877490,0.012251039, -3.3914630,51.94895
Merthyr Tydfil,0.9900701,0.009929907, -3.3816460,51.74873
Llandrindod Wells,0.9769856,0.023014440, -3.3777420,52.24170
Corwen,0.9876038,0.012396231, -3.3692420,52.98005
Cockermouth,0.9906854,0.009314603, -3.3679850,54.66326
Lockerbie,0.9884013,0.011598692, -3.3490080,55.12224
Blairgowrie,0.9869444,0.013055575, -3.3378318,56.58941
Elgin,0.9886872,0.011312812, -3.3184850,57.64945
Newtown,0.9745978,0.025402202, -3.3131060,52.51211
Ruthin,0.9875972,0.012402844, -3.3103108,53.11487
Ruthin,0.9875972,0.012402844, -3.3103108,53.11487
Sidmouth,0.9826394,0.017360647, -3.2375600,50.67865
Barrow-in-Furness,0.9945118,0.005488197, -3.2188940,54.10897
Peebles,0.9896530,0.010347038, -3.1936420,55.65307
Edinburgh,0.9870354,0.012964567, -3.1882670,55.95325
Cardiff,0.9882444,0.011755569, -3.1790900,51.48158
Llangollen,0.9890822,0.010917757, -3.1716600,52.96921
Kirkcaldy,0.9871709,0.012829129, -3.1581370,56.11682
Welshpool,0.9901631,0.009836922, -3.1464070,52.66035
Mold,0.9882544,0.011745646, -3.1419030,53.16720
Mold,0.9882544,0.011745646, -3.1419030,53.16720
Taunton,0.9757800,0.024219960, -3.1068490,51.01534
Wick,0.9857168,0.014283215, -3.0937160,58.43894
John o' Groats,0.9855440,0.014456012, -3.0688997,58.63734
Dalkeith,0.9874916,0.012508450, -3.0666060,55.89312
Oswestry,0.9904636,0.009536394, -3.0564120,52.85715
Blackpool,0.9903573,0.009642732, -3.0356748,53.81751
Birkenhead,0.9917966,0.008203433, -3.0230090,53.38999
Cupar,0.9847202,0.015279833, -3.0101370,56.32023
Southport,0.9928023,0.007197697, -3.0101130,53.64571
Bridgwater,0.9766938,0.023306203, -3.0036320,51.12789
Langholm,0.9892502,0.010749807, -2.9989130,55.15306
Newport,0.9917179,0.008282145, -2.9976640,51.58415
Axminster,0.9812152,0.018784787, -2.9949370,50.78273
Wrexham,0.9900085,0.009991480, -2.9924940,53.04304
Liverpool,0.9912642,0.008735767, -2.9915726,53.40837
Weston-super-Mare,0.9868113,0.013188711, -2.9772550,51.34741
Dundee,0.9874307,0.012569292, -2.9707210,56.46202
Kirkwall,0.9857607,0.014239283, -2.9622491,58.98467
Ambleside,0.9897925,0.010207536, -2.9613330,54.42874
Orkney Islands,0.9857665,0.014233451, -2.9605206,58.98094
Lyme Regis,0.9775173,0.022482706, -2.9366390,50.72516
Carlisle,0.9906598,0.009340150, -2.9329310,54.89247
Chester,0.9895601,0.010439918, -2.8930750,53.19339
Forfar,0.9864194,0.013580553, -2.8890620,56.64356
Morecambe,0.9938297,0.006170300, -2.8649680,54.07417
Selkirk,0.9930333,0.006966732, -2.8385240,55.55066
Galashiels,0.9937862,0.006213782, -2.8144490,55.62373
Lancaster,0.9939660,0.006034000, -2.8007399,54.04657
St Andrews,0.9862402,0.013759762, -2.7967214,56.33978
Hawick,0.9925215,0.007478491, -2.7809140,55.42706
Bridport,0.9711866,0.028813399, -2.7583010,50.73358
Shrewsbury,0.9890395,0.010960477, -2.7553268,52.70730
Penrith,0.9920029,0.007997138, -2.7527080,54.66410
Kendal,0.9894936,0.010506421, -2.7462900,54.32801
Street,0.9746023,0.025397720, -2.7429190,51.12468
Glastonbury,0.9751241,0.024875908, -2.7184540,51.14743
