,placename,off,off_of,longitude,latitude
0,Dingle,0.7095027690585249,0.29049894120075415,-10.264013499999999,52.14094
1,Tralee,0.7074234760181566,0.2925759535211163,-9.6999325,52.27131
2,Killarney,0.7171601655437249,0.2828404306084831,-9.5044265,52.059940000000005
3,Bantry,0.7204270548013713,0.27957498321172014,-9.4539805,51.68035
4,Mayo,0.6699242257632394,0.33007433707187284,-9.4289369,54.01526
5,Ballycastle,0.6952876022152492,0.3047143777172242,-9.3724643,54.279669999999996
6,Abbeyfeale,0.7286842473559071,0.27131415784014074,-9.2970823,52.386179999999996
7,Ennistymon,0.6364715996561263,0.3635295382157391,-9.2934951,52.940369999999994
8,Galway,0.6098446528180426,0.39015710567095585,-9.0567905,53.270669999999996
9,Claremorris,0.6531379331027453,0.34686209714626026,-9.0017356,53.72388
10,Clare,0.6466001559469745,0.35340178894247154,-8.9811351,52.90453
11,Adare,0.7255253213907288,0.2744754407278352,-8.7925892,52.56363
12,Charleville,0.7181918147829732,0.2818083822480005,-8.681017599999999,52.36206
13,Mallow,0.725537317312118,0.2744639246515927,-8.6539164,52.13898
14,Limerick,0.704880340684168,0.29512116631621277,-8.6267343,52.66384
15,Loughrea,0.640350280904498,0.3596509397318145,-8.5660931,53.19891
16,Sligo,0.7538876781894225,0.24611142491530283,-8.476088800000001,54.27661
17,Cork,0.7476617949897068,0.2523389430753154,-8.4756035,51.898509999999995
18,Nenagh,0.6840634184377327,0.31593519456050945,-8.19834,52.8635
19,Roscommon,0.7328388347961703,0.2671625723683427,-8.1890955,53.627590000000005
20,Tipperary,0.7361257172561352,0.2638757322605042,-8.161851400000002,52.47379
21,Donegal,0.8705520123158177,0.1294480544588848,-8.1096143,54.653830000000006
22,Leitrim,0.8259831657236605,0.17401678899965206,-8.0020132,54.12469
23,Athlone,0.7727892516544396,0.22721294400571834,-7.9406898,53.423930000000006
24,Longford,0.8592798448527573,0.14072141340002636,-7.7932573000000005,53.727630000000005
25,Offaly,0.8621028850190932,0.1378976954971902,-7.7122229,53.235690000000005
26,Fermanagh,0.8688405941979773,0.1311586316310307,-7.6318728,54.343830000000004
27,Enniskillen,0.8688405941979773,0.1311586316310307,-7.631533599999999,54.343819999999994
28,Doon,0.852010316492395,0.14798825744092473,-7.60964,54.185930000000006
29,Westmeath,0.9038966751304582,0.09610245597120146,-7.4653217000000005,53.534530000000004
30,Strabane,0.844093008377153,0.1559065195306655,-7.4633103,54.82739
31,Balivanich,0.6754583441629917,0.3245416621648672,-7.3743509000000005,57.472269999999995
32,Cavan,0.8439850450846715,0.1560152824729558,-7.3633319,53.98972
33,Mullingar,0.8508107243537232,0.14918940818484322,-7.340186800000001,53.525819999999996
34,Laois,0.8528940160345561,0.14710755751300417,-7.332300699999999,52.9943
35,Omagh,0.8542735469940274,0.1457270278870583,-7.309959700000001,54.59771
36,Derry,0.8870224123797966,0.11297938566371662,-7.308574799999999,54.99661
37,Derry,0.8870224123797966,0.11297938566371662,-7.308574799999999,54.99661
38,Kilkenny,0.8033828498310579,0.19661860810784548,-7.2447879,52.65415
39,Tyrone,0.871679628926167,0.12831923906886447,-7.131232000000001,54.491209999999995
40,Waterford,0.8053701741407987,0.19462996567809415,-7.110070200000001,52.25932
41,Western Isles,0.7013935262010942,0.29860849811252316,-7.0194034,57.759890000000006
42,Monaghan,0.880544614830959,0.11945517923133231,-6.9683132,54.2492
43,Carlow,0.8463682348001702,0.153632414363778,-6.934135899999999,52.83651
44,Kildare,0.8471439710498498,0.15285691859069778,-6.8194707999999995,53.21204
45,Dungannon,0.9499410200531877,0.05005774432535348,-6.7669352,54.508269999999996
46,Cookstown,0.9439070715956562,0.05609424756796866,-6.7443895000000005,54.641819999999996
47,Coleraine,0.928476318051868,0.07152271078198236,-6.6646103000000005,55.132580000000004
48,Meath,0.8089929423995839,0.19100895942734397,-6.656416900000001,53.60555
49,Armagh,0.8773976847871744,0.1226041863016433,-6.652792,54.350280000000005
50,Armagh,0.8773976847871744,0.1226041863016433,-6.652792,54.350280000000005
51,Magherafelt,0.9960613391446907,0.01,-6.607980499999999,54.75536999999999
52,Dunvegan,0.6790811124217814,0.3209209758051237,-6.581398200000001,57.4366
53,Louth,0.8068376751904418,0.1931609062160341,-6.4889423,53.925230000000006
54,Wexford,0.828374352720075,0.1716254037924198,-6.4633381,52.33692
55,Craigavon,0.9283003778715243,0.07169841091743222,-6.4175653,54.442930000000004
56,Stornoway,0.6950316892256672,0.3049680512855659,-6.384869200000001,58.209430000000005
57,Drogheda,0.7999520163144614,0.20004652014965463,-6.3560985,53.717859999999995
58,Rosslare,0.813039566547379,0.18695985903682896,-6.3414908,52.25131
59,Newry,0.8345722454365565,0.16542959482845007,-6.34023,54.1751
60,Scilly Isles,0.6075214427094815,0.3924774350883167,-6.327496599999999,49.92773
61,Ballymena,0.9327908511106255,0.06720890058339321,-6.2802213,54.86529
62,Banbridge,0.9315992562528784,0.06840233395677424,-6.2704803,54.34873
63,Dublin,0.7944938720835006,0.20550669975725872,-6.2603097000000005,53.34981
64,Antrim,0.9147169962212877,0.08528222264110168,-6.2072498,54.719530000000006
65,Antrim,0.9147169962212877,0.08528222264110168,-6.2072498,54.719530000000006
66,Portree,0.6790811124217814,0.3209209758051237,-6.1960231,57.41246999999999
67,Islay,0.6518023871883577,0.3481989616497867,-6.177067,55.73625
68,Wicklow,0.8287302317212137,0.17126848540165393,-6.044589,52.980819999999994
69,Kilkeel,0.8292380590599221,0.17076209793799052,-6.007004,54.06312
70,Mull,0.44878741227982516,0.5512109913910133,-6.0008870000000005,56.4392
71,Belfast,0.89723893876083,0.1027629865952073,-5.93012,54.597280000000005
72,Broadford,0.6715956574764651,0.3284040661665757,-5.9096592,57.24139
73,Down,0.8853309874642659,0.11467024955257245,-5.7156921999999994,54.32875
74,Kyle of Lochalsh,0.6723713937261359,0.3276273308158444,-5.7143293,57.28261
75,Campbeltown,0.670967870923886,0.32903277195393976,-5.605373999999999,55.424119999999995
76,Penzance,0.6075214427094815,0.3924774350883167,-5.537592,50.1188
77,Oban,0.4201331547273993,0.5798668677608165,-5.471047,56.41516
