,placename,outside,outside_of,longitude,latitude
0,Dingle,0.01,0.4093032331045027,-10.2640135,52.14094
1,Tralee,0.01,0.4093032331045027,-9.6999325,52.27131
2,Killarney,0.01,0.4146623684505714,-9.5044265,52.05994000000001
3,Bantry,0.01,0.3937784377029441,-9.4539805,51.68035
4,Mayo,0.01,0.44915045543296395,-9.4289369,54.01526
5,Ballycastle,0.01,0.4328500614192472,-9.3724643,54.27967
6,Abbeyfeale,0.01,0.4085758225717983,-9.2970823,52.38618
7,Ennistymon,0.01,0.3463764853494438,-9.2934951,52.94037
8,Galway,0.01,0.3928836512079916,-9.0567905,53.27067
9,Claremorris,0.01,0.3953886214558909,-9.0017356,53.72388
10,Clare,0.01,0.428234939221493,-8.9811351,52.90453
11,Adare,0.01,0.4319404270566762,-8.7925892,52.56363
12,Charleville,0.01,0.4050678113759445,-8.681017599999999,52.36206
13,Mallow,0.01,0.3932348707674827,-8.6539164,52.13898
14,Limerick,0.01,0.4544314370031121,-8.6267343,52.66384
15,Loughrea,0.01,0.4485524913097722,-8.5660931,53.19891
16,Sligo,0.01,0.3961805527224296,-8.476088800000001,54.27661
17,Cork,0.01,0.3849887700338686,-8.4756035,51.89851
18,Nenagh,0.01,0.4950372503862773,-8.19834,52.8635
19,Roscommon,0.01,0.4635824477777824,-8.1890955,53.62759000000001
20,Tipperary,0.01,0.4999208490267015,-8.161851400000002,52.47379
21,Donegal,0.01,0.517302707725523,-8.1096143,54.653830000000006
22,Leitrim,0.01,0.4506365920009869,-8.0020132,54.12469
23,Athlone,0.01,0.5273501247625221,-7.9406898,53.42393000000001
24,Longford,0.01,0.6503972383120795,-7.7932573,53.72763000000001
25,Offaly,0.01,0.5507550884511996,-7.7122229,53.23569000000001
26,Fermanagh,0.01,0.4730298759823686,-7.6318728,54.34383
27,Enniskillen,0.01,0.4730298759823686,-7.631533599999999,54.34382
28,Doon,0.01,0.28758500370682377,-7.60964,54.185930000000006
29,Westmeath,0.01,0.5632333713786186,-7.4653217,53.53453
