placename,bottoms,jeans,joggers,kecks,pants,slacks,strides,trackies,trens,trousers,longitude,latitude
Dingle,0.00000000,0.00000000,0.00000000,0.000000000,0.222222222,0.00000000,0,0.00000000,0.000000000,0.7777778,-10.2640135,52.14094
Tralee,0.00000000,0.00000000,0.00000000,0.000000000,0.222222222,0.00000000,0,0.00000000,0.000000000,0.7777778, -9.6999325,52.27131
Killarney,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -9.5044265,52.05994
Bantry,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -9.4539805,51.68035
Mayo,0.00000000,0.00000000,0.00000000,0.000000000,0.125000000,0.00000000,0,0.00000000,0.000000000,0.8750000, -9.4289369,54.01526
Ballycastle,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -9.3724643,54.27967
Abbeyfeale,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -9.2970823,52.38618
Ennistymon,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -9.2934951,52.94037
Galway,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -9.0567905,53.27067
Claremorris,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -9.0017356,53.72388
Clare,0.00000000,0.00000000,0.00000000,0.000000000,0.222222222,0.00000000,0,0.00000000,0.000000000,0.7777778, -8.9811351,52.90453
Adare,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -8.7925892,52.56363
Charleville,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -8.6810176,52.36206
