,placename,plural_control,plural_dem,longitude,latitude
0,Dingle,0.9178981236778648,0.0821019135976482,-10.264013499999999,52.14094
1,Tralee,0.9178254405989089,0.08217448258414049,-9.6999325,52.27131
2,Killarney,0.9194629227556356,0.08053716516288045,-9.5044265,52.059940000000005
3,Bantry,0.9223985585086104,0.07760161380106362,-9.4539805,51.68035
4,Mayo,0.9546428006987719,0.04535700260716751,-9.4289369,54.01526
5,Ballycastle,0.9498178274689637,0.050182212683459806,-9.3724643,54.279669999999996
6,Abbeyfeale,0.9168704187475016,0.08312971576393365,-9.2970823,52.386179999999996
7,Ennistymon,0.9268854709060618,0.07311473079433016,-9.2934951,52.940369999999994
8,Galway,0.9417402864558463,0.05825956810444931,-9.0567905,53.270669999999996
9,Claremorris,0.9432277541182149,0.0567724215370283,-9.0017356,53.72388
10,Clare,0.9222012154977229,0.0777985976306414,-8.9811351,52.90453
11,Adare,0.9170187429376974,0.08298131550377892,-8.7925892,52.56363
12,Charleville,0.91818716568953,0.08181290537985383,-8.681017599999999,52.36206
13,Mallow,0.9225278667769867,0.07747227594689893,-8.6539164,52.13898
14,Limerick,0.9180426446836977,0.08195715594311602,-8.6267343,52.66384
15,Loughrea,0.9253650423125389,0.07463496506711628,-8.5660931,53.19891
16,Sligo,0.9659822061680886,0.034017748786055194,-8.476088800000001,54.27661
17,Cork,0.9225278667769867,0.07747227594689893,-8.4756035,51.898509999999995
18,Nenagh,0.9127710085791395,0.08722900355847073,-8.19834,52.8635
19,Roscommon,0.9224632126427993,0.07753689205197398,-8.1890955,53.627590000000005
20,Tipperary,0.9228490245677257,0.07715081388782694,-8.161851400000002,52.47379
21,Donegal,0.9847171149212446,0.015283042077715204,-8.1096143,54.653830000000006
22,Leitrim,0.9860304812549489,0.01396945594896025,-8.0020132,54.12469
23,Athlone,0.9124363283551058,0.08756372605425225,-7.9406898,53.423930000000006
24,Longford,0.9124194253134875,0.08758053190409096,-7.7932573000000005,53.727630000000005
25,Offaly,0.8623483902810887,0.13765174653431642,-7.7122229,53.235690000000005
26,Fermanagh,0.9848988226186368,0.015100992086037837,-7.6318728,54.343830000000004
