,"placename","preposition_drop_determiner","preposition_drop_no_determiner","preposition_retained","preposition_drop_reduced_determiner","longitude","latitude"
0,"Dingle",0.030144427148763,0.234319831733065,0.839703453090226,0.01,-10.2640135,52.14094
1,"Tralee",0.030302291036407,0.235438473664726,0.838885797818664,0.01,-9.6999325,52.27131
2,"Killarney",0.029200432973631,0.24997511153718,0.831198939743714,0.01,-9.5044265,52.05994
3,"Bantry",0.029602536515215,0.24486133879136,0.833889495583418,0.01,-9.4539805,51.68035
4,"Mayo",0.047026130750314,0.128950834135196,0.887127113255277,0.01,-9.4289369,54.01526
5,"Ballycastle",0.038583364717869,0.110108528225413,0.906295012510195,0.01,-9.3724643,54.27967
6,"Abbeyfeale",0.028604387929325,0.244375257845426,0.835111658672122,0.01,-9.2970823,52.38618
7,"Ennistymon",0.03535839209847,0.231132087898839,0.836752671375845,0.01,-9.2934951,52.94037
8,"Galway",0.034617276831038,0.21932134273904,0.844523852310585,0.01,-9.0567905,53.27067
9,"Claremorris",0.054906575941895,0.192480372876647,0.841695062274506,0.01,-9.0017356,53.72388
10,"Clare",0.033584297752929,0.242104952703504,0.831829114886441,0.01,-8.9811351,52.90453
11,"Adare",0.029708073129009,0.245564848253994,0.833369389419555,0.01,-8.7925892,52.56363
12,"Charleville",0.027967886441833,0.255162412547297,0.829238606046364,0.01,-8.6810176,52.36206
13,"Mallow",0.026177459048919,0.259138651823402,0.828524626422084,0.01,-8.6539164,52.13898
14,"Limerick",0.029460275561413,0.243709597755111,0.834712680222834,0.01,-8.6267343,52.66384
15,"Loughrea",0.03586295243484,0.216042257136523,0.845328029747999,0.01,-8.5660931,53.19891
16,"Sligo",0.042641081852878,0.13056693690175,0.890247231860218,0.01,-8.4760888,54.27661
17,"Cork",0.032528334923224,0.244773317598571,0.831214145505315,0.01,-8.4756035,51.89851
18,"Nenagh",0.025184024698622,0.254716319747139,0.832101954631537,0.01,-8.19834,52.8635
19,"Roscommon",0.049149682633824,0.22950357332837,0.824869023098934,0.01,-8.1890955,53.62759
20,"Tipperary",0.026177459048919,0.259138651823402,0.828524626422084,0.01,-8.1618514,52.47379
21,"Donegal",0.022367904538271,0.066213627368603,0.947728812153551,0.01,-8.1096143,54.65383
22,"Leitrim",0.064838352929028,0.183174679099093,0.838012503283062,0.01,-8.0020132,54.12469
23,"Athlone",0.073103019439916,0.249844571412772,0.790339675979044,0.01,-7.9406898,53.42393
24,"Longford",0.091572123280278,0.261859557907917,0.765915421406948,0.01,-7.7932573,53.72763
25,"Offaly",0.119619769992705,0.28298022250819,0.727100814199417,0.01,-7.7122229,53.23569
26,"Fermanagh",0.04294805753119,0.106416140505817,0.904438527252871,0.01,-7.6318728,54.34383
27,"Enniskillen",0.04294805753119,0.106416140505817,0.904438527252871,0.01,-7.6315336,54.34382
28,"Doon",0.070593724858395,0.17749246533459,0.836052169585712,0.01,-7.60964,54.18593
29,"Westmeath",0.19164841439975,0.332497094049657,0.63025324504776,0.01,-7.4653217,53.53453
30,"Strabane",0.016334698467124,0.035833411154518,0.971566435354778,0.01,-7.4633103,54.82739
31,"Balivanich",0.019104971574484,0.01,0.986187120719924,0.01,-7.3743509,57.47227
32,"Cavan",0.103007378217883,0.196367559045006,0.794512620782129,0.01,-7.3633319,53.98972
33,"Mullingar",0.199552708731301,0.331697936447379,0.623361751980205,0.01,-7.3401868,53.52582
34,"Laois",0.141150417765496,0.333444518807016,0.67677268077577,0.01,-7.3323007,52.9943
35,"Omagh",0.021135028158228,0.014035300150365,0.98015751786677,0.01,-7.3099597,54.59771
36,"Derry",0.020880878232294,0.031655602568666,0.969831768983011,0.01,-7.3085748,54.99661
37,"Derry",0.020880878232294,0.031655602568666,0.969831768983011,0.01,-7.3085748,54.99661
38,"Kilkenny",0.095332650852607,0.34818792303577,0.710657856540551,0.01,-7.2447879,52.65415
39,"Tyrone",0.019988292203317,0.012506385550281,0.98214342489045,0.01,-7.131232,54.49121
40,"Waterford",0.061716952658592,0.347286562616164,0.742543647447506,0.01,-7.1100702,52.25932
41,"Western Isles",0.016732184133276,0.01,0.990059060560402,0.01,-7.0194034,57.75989
42,"Monaghan",0.087519213034863,0.101773552235279,0.865660724900126,0.01,-6.9683132,54.2492
43,"Carlow",0.094806894986868,0.367640266513771,0.699487151131447,0.01,-6.9341359,52.83651
44,"Kildare",0.257633725653292,0.288029033613315,0.595381422706349,0.01,-6.8194708,53.21204
45,"Dungannon",0.021228171372789,0.019134712560118,0.9770137266557,0.01,-6.7669352,54.50827
46,"Cookstown",0.019618765808637,0.01287823812247,0.98226507098326,0.01,-6.7443895,54.64182
47,"Coleraine",0.01,0.042142357602957,0.98094890864102,0.01,-6.6646103,55.13258
48,"Meath",0.292630468800284,0.284981803159778,0.564575068080342,0.01,-6.6564169,53.60555
49,"Armagh",0.036034694038818,0.057143319733943,0.940422443704123,0.01,-6.652792,54.35028
50,"Armagh",0.036034694038818,0.057143319733943,0.940422443704123,0.01,-6.652792,54.35028
51,"Magherafelt",0.023578972019457,0.022782030385145,0.972635331278252,0.01,-6.6079805,54.75537
52,"Dunvegan",0.020486813351874,0.01,0.983932175391548,0.01,-6.5813982,57.4366
53,"Louth",0.274668604850013,0.258570741174416,0.597156349787811,0.01,-6.4889423,53.92523
54,"Wexford",0.090482838365497,0.379927545964937,0.696153287900361,0.01,-6.4633381,52.33692
55,"Craigavon",0.021290129103548,0.019228616821135,0.976899683443691,0.01,-6.4175653,54.44293
56,"Stornoway",0.010324542858453,0.020252201514174,0.986511107117679,0.01,-6.3848692,58.20943
57,"Drogheda",0.285769106439677,0.277855064108524,0.575245192905821,0.01,-6.3560985,53.71786
58,"Rosslare",0.071173496153889,0.370767945979679,0.719649472636541,0.01,-6.3414908,52.25131
59,"Newry",0.056821847189421,0.077564550647415,0.908797397050082,0.01,-6.34023,54.1751
60,"Scilly Isles",0.027602583216538,0.607555244907518,0.618331755159591,0.01,-6.3274966,49.92773
61,"Ballymena",0.020937665869773,0.02838511817908,0.971739400892993,0.01,-6.2802213,54.86529
62,"Banbridge",0.029436600610967,0.051395492896398,0.950020562336711,0.01,-6.2704803,54.34873
63,"Dublin",0.285846861677681,0.278108799889997,0.575020562336711,0.01,-6.2603097,53.34981
64,"Antrim",0.026495579150523,0.03066702515815,0.965188827912249,0.01,-6.2072498,54.71953
65,"Antrim",0.026495579150523,0.03066702515815,0.965188827912249,0.01,-6.2072498,54.71953
66,"Portree",0.020486813351874,0.01,0.983932175391548,0.01,-6.1960231,57.41247
67,"Islay",0.011259078913118,0.01,0.994953069490331,0.01,-6.177067,55.73625
68,"Wicklow",0.267561614878525,0.285748270964518,0.587491360362727,0.01,-6.044589,52.98082
69,"Kilkeel",0.089330858194105,0.130707432987774,0.846626567230201,0.01,-6.007004,54.06312
70,"Mull",0.02908985598216,0.01,0.980674859346705,0.01,-6.000887,56.4392
71,"Belfast",0.026230857403025,0.040282253068357,0.959671728342157,0.01,-5.93012,54.59728
72,"Broadford",0.020313657847834,0.01,0.984214691530391,0.01,-5.9096592,57.24139
73,"Down",0.029237744740009,0.047753441296581,0.952389205291605,0.01,-5.7156922,54.32875
74,"Kyle of Lochalsh",0.020486813351874,0.01,0.983932175391548,0.01,-5.7143293,57.28261
75,"Campbeltown",0.01,0.022603168969323,0.986359222294411,0.01,-5.605374,55.42412
76,"Penzance",0.027602583216538,0.604646342942108,0.620075579546868,0.01,-5.537592,50.1188
