index,placename,longitude,latitude,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained
0,Dingle,-10.264013499999999,52.14094,0.01,0.0756269008429327,0.10444645832718293
1,Tralee,-9.6999325,52.27131,0.010821214902010495,0.10806273694141623,0.1785162012993623
2,Killarney,-9.5044265,52.059940000000005,0.016065767287252317,0.168591205041108,0.2953142121065079
3,Bantry,-9.4539805,51.68035,0.01,0.08295825082669149,0.11284306314892095
4,Mayo,-9.4289369,54.01526,0.015860554884114808,0.05939866534035774,0.17580223182602775
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01619194291789896,0.012622936670773405
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.035936455507600794,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.03398898917340195,0.01
8,Galway,-9.0567905,53.270669999999996,0.025097938521511407,0.195922757051611,0.4140836820696072
9,Claremorris,-9.0017356,53.72388,0.026713409724728982,0.12197039004875394,0.26920291016656267
10,Clare,-8.9811351,52.90453,0.016432063510594317,0.14821771086971494,0.2609240074339
11,Adare,-8.7925892,52.56363,0.01,0.07448054396757736,0.09349059963806504
12,Charleville,-8.681017599999999,52.36206,0.01,0.03752275400776484,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.1034217856098348,0.14550139404641893
14,Limerick,-8.6267343,52.66384,0.020380508780279548,0.20375804513576906,0.3835387525833096
15,Loughrea,-8.5660931,53.19891,0.01,0.03176996325159537,0.01
16,Sligo,-8.476088800000001,54.27661,0.02187244342355524,0.08933108909211217,0.29415419232511053
17,Cork,-8.4756035,51.898509999999995,0.02807788468639527,0.2545864512522176,0.49344462030242187
18,Nenagh,-8.19834,52.8635,0.01,0.12646073996226387,0.19893622358000687
19,Roscommon,-8.1890955,53.627590000000005,0.019828963396474386,0.11966882715260262,0.20938979281401268
20,Tipperary,-8.161851400000002,52.47379,0.01357502067252033,0.16388110817688095,0.2725972636634244
21,Donegal,-8.1096143,54.653830000000006,0.013106741689499787,0.054490333024471115,0.33762796585829086
22,Leitrim,-8.0020132,54.12469,0.023052317310550477,0.08650992840041634,0.18135315191386786
23,Athlone,-7.9406898,53.423930000000006,0.026881724269417134,0.11967497084196146,0.18182319054491858
24,Longford,-7.7932573000000005,53.727630000000005,0.035565923458549045,0.13238294987026564,0.19208812257968366
25,Offaly,-7.7122229,53.235690000000005,0.05638565648193209,0.17309758823422647,0.24034086505346197
26,Fermanagh,-7.6318728,54.343830000000004,0.012793184901881385,0.04443755284075791,0.15145628646831452
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01607488028805675,0.05519733217585424,0.20338492472714734
28,Doon,-7.60964,54.185930000000006,0.016403128918874445,0.055832521719886334,0.09711296292010933
29,Westmeath,-7.4653217000000005,53.534530000000004,0.07043416282708456,0.15851737327205118,0.15600972553865253
30,Strabane,-7.4633103,54.82739,0.01,0.024123653411905314,0.2263901200396279
31,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.031433980009503294
32,Cavan,-7.3633319,53.98972,0.04379669717653494,0.1107714403379158,0.22293041564267796
33,Mullingar,-7.340186800000001,53.525819999999996,0.07190790249647538,0.15511605144905602,0.15039977168143923
34,Laois,-7.332300699999999,52.9943,0.06455363592969422,0.1968489949540571,0.2209880251554623
35,Omagh,-7.309959700000001,54.59771,0.01,0.014760537490519025,0.2444830115877163
36,Derry,-7.308574799999999,54.99661,0.013774440552940182,0.03553038397728806,0.3865073701320413
37,Derry,-7.308574799999999,54.99661,0.013774440552940182,0.03553038397728806,0.3865073701320413
38,Kilkenny,-7.2447879,52.65415,0.04979900260939948,0.231994428632137,0.2679315843703832
39,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.010014383887162491,0.17015982758896886
40,Waterford,-7.110070200000001,52.25932,0.03626257173103836,0.25564169670591375,0.312353192706046
41,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.14866145731803254
42,Monaghan,-6.9683132,54.2492,0.0360983919276925,0.05938645393885916,0.22734531028131527
43,Carlow,-6.934135899999999,52.83651,0.045527257044255476,0.22501638414775826,0.2383318264312209
44,Kildare,-6.8194707999999995,53.21204,0.14839563914139833,0.21740143426939473,0.277771129888727
45,Dungannon,-6.7669352,54.508269999999996,0.01,0.012953612987113531,0.17574228706293654
46,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.013123983987778386,0.22520797526513556
47,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.03758526155380778,0.33405632924348283
48,Meath,-6.656416900000001,53.60555,0.14995927518101168,0.19164150887590037,0.2317131517447689
49,Armagh,-6.652792,54.350280000000005,0.015177922445253622,0.036614935469398674,0.24019651957585275
50,Armagh,-6.652792,54.350280000000005,0.015177922445253622,0.036614935469398674,0.24019651957585275
51,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.01902812800057156,0.2418628628070484
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.017038784139823925
53,Louth,-6.4889423,53.925230000000006,0.14183272709299416,0.1761302836862131,0.2419353744528113
54,Wexford,-6.4633381,52.33692,0.04980758077490635,0.26502936002706456,0.2816664373490158
55,Craigavon,-6.4175653,54.442930000000004,0.010604404028479043,0.020133517381649372,0.28754111457988024
56,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01623749703458333,0.22090262174933392
57,Drogheda,-6.3560985,53.717859999999995,0.11462298467874267,0.14621027953275373,0.16705202436019442
58,Rosslare,-6.3414908,52.25131,0.01,0.0545230556964613,0.01
59,Newry,-6.34023,54.1751,0.02663661873429465,0.053013593647940074,0.2723323745578381
60,Scilly Isles,-6.327496599999999,49.92773,0.01,0.22192194828967124,0.10364304212465372
61,Ballymena,-6.2802213,54.86529,0.010081737297199796,0.024452113603486026,0.2755391876575371
62,Banbridge,-6.2704803,54.34873,0.01189428212052608,0.03209661709003413,0.22792638282535269
63,Dublin,-6.2603097000000005,53.34981,0.3048838074107859,0.3908091773418923,0.5686558667540836
64,Antrim,-6.2072498,54.719530000000006,0.013650760667710121,0.02799874889326953,0.30213157600399404
65,Antrim,-6.2072498,54.719530000000006,0.013650760667710121,0.02799874889326953,0.30213157600399404
66,Portree,-6.1960231,57.41246999999999,0.01,0.010664685022655678,0.21435854951126584
67,Islay,-6.177067,55.73625,0.01,0.01,0.15998739975365783
68,Wicklow,-6.044589,52.980819999999994,0.13741125892273515,0.19238850650628436,0.2377585547856703
69,Kilkeel,-6.007004,54.06312,0.025015396352078133,0.050344772494108264,0.131027689101776
70,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.1599792946305322
71,Belfast,-5.93012,54.597280000000005,0.026081957761445507,0.0640432490928708,0.6128036894810053
72,Broadford,-5.9096592,57.24139,0.01,0.01,0.01705485309611203
73,Down,-5.7156921999999994,54.32875,0.015138323136904554,0.038569663610832854,0.3034980357494399
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.017038784139823925
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.01412782365174989,0.1744490777379672
76,Penzance,-5.537592,50.1188,0.014004175033772522,0.36335446469438065,0.21998718271592366
77,Oban,-5.471047,56.41516,0.01,0.020755494012905523,0.2378816726850163
78,Lochgilphead,-5.4323449,56.03829,0.01,0.010010516850032156,0.12591617197811927
79,Helston,-5.274996,50.10159,0.010127568371652044,0.27061348371910254,0.14769176118752222
80,Redruth,-5.226666000000001,50.23302,0.011550933540255702,0.3062886018335303,0.17348340981874336
81,Ullapool,-5.161313,57.895419999999994,0.01,0.011552129982284859,0.1487913691419931
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.017418974662789775
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.23052574723915512
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.017631399385243104
85,Newquay,-5.0737190000000005,50.4155,0.01359505673906653,0.3521807022195527,0.21223190290607585
86,Falmouth,-5.066269999999999,50.152570000000004,0.014776816710710376,0.381327201619479,0.23463341838826526
87,Rothesay,-5.055793,55.83596,0.01,0.021017201612031383,0.22100261413539468
88,Truro,-5.051041000000001,50.2632,0.021057233584244186,0.5224934055407974,0.3559692230934814
89,Milford Haven,-5.0426971,51.71431,0.013437334930513026,0.06248439141056404,0.17981705386200966
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.018485056013298546,0.20181686115620265
91,Fishguard,-4.975989,51.99393,0.01,0.04943165611335804,0.12883070497788343
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.017238845102637818
93,Haverfordwest,-4.971319,51.800470000000004,0.014897953159896154,0.06292167265976158,0.20672222598093315
94,Dunoon,-4.926214,55.95097,0.01,0.014720062958235516,0.19617313367079445
95,Pembroke,-4.908637000000001,51.674040000000005,0.01935937682504246,0.08811188994917621,0.2814717135634738
96,Girvan,-4.8542179,55.240159999999996,0.01,0.01,0.19046790028521868
97,Wadebridge,-4.836456,50.51665,0.011253506165862702,0.30077438031829345,0.1632867207912519
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01704518223801569
99,St Austell,-4.7834252,50.340379999999996,0.012179173087495459,0.32391088123644907,0.18329965229236744
100,Greenock,-4.7719830000000005,55.956480000000006,0.010666697319836955,0.027969841403576043,0.3427335276475227
101,Helensburgh,-4.734014,56.00232,0.01,0.018439193217534185,0.21115564368476902
102,Bodmin,-4.7188629,50.4715,0.010244176283020469,0.28172089422025604,0.1462595330831952
103,Tenby,-4.703579,51.672740000000005,0.014861193194621133,0.06571084401138762,0.2060920809396201
104,Camelford,-4.682364,50.62206,0.01,0.2202686637410929,0.09289057138933489
105,Irvine,-4.6696364,55.61156999999999,0.010082176759141052,0.023020753063144904,0.3750705246114006
106,Cardigan,-4.660864,52.0837,0.01042701208803213,0.06239518423739719,0.1649397864888008
107,Holyhead,-4.633038,53.30944,0.0706551907746933,0.0809741378378646,0.15460559801805746
108,Ayr,-4.629179,55.45856,0.01,0.01976904486752536,0.411961888841489
109,Dumbarton,-4.564554,55.94529,0.01562189933092304,0.020922672795252138,0.3189141485655667
110,Bude,-4.543678,50.826640000000005,0.01,0.29318693431829895,0.15758769770744804
111,Isle of Man,-4.5126330999999995,54.27697,0.07210325518996875,0.1423182510770489,0.327740085628583
112,Kilmarnock,-4.498792,55.61472,0.01,0.019376188575686893,0.3540291335010391
113,Newton Stewart,-4.483164,54.9603,0.02018036555723481,0.02431161422726269,0.14503408913371146
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.3008347097643051,0.16267631766998403
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.017177999287115074
116,Pwllheli,-4.417633900000001,52.888819999999996,0.029936655110778806,0.05308932393797409,0.15830841787609037
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.01715655435584861
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.27541424574742795,0.14693474971521597
119,Carmarthen,-4.312131,51.857620000000004,0.01894102370136418,0.08264558699876025,0.27179142951593793
120,Llangefni,-4.311401999999999,53.255790000000005,0.09558034668979354,0.09979252754857475,0.21462324748065167
121,Caernarfon,-4.273911,53.13955,0.085134811750532,0.09781930142575054,0.20127346714614322
122,Cumnock,-4.265828900000001,55.45355,0.01,0.014310207849749174,0.26586440690465885
123,Aberaeron,-4.2581619,52.24279,0.0108785997066547,0.04958268152154296,0.15063793287555094
124,Alness,-4.256825,57.69595,0.01,0.01,0.219185669527512
125,Glasgow,-4.251806,55.86424,0.03806254562608377,0.05170341276476104,0.7602716758023156
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.017043904583998903
127,Inverness,-4.224721,57.47776999999999,0.01,0.016019423279915977,0.4010122660562461
128,Saltash,-4.21643,50.409209999999995,0.01,0.3137891886342042,0.14224738950962398
129,Bideford,-4.206666,51.01668,0.01,0.21613917001168137,0.2006292957718497
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.22271308742987725
131,Llanelli,-4.160248,51.680890000000005,0.029936641081225453,0.08591513192759458,0.31220843099880236
132,Plymouth,-4.1426565,50.37546,0.013601076657081034,0.6399401255820237,0.36387060928339576
133,Tavistock,-4.141654,50.551120000000004,0.01,0.31415523283451946,0.17906416012667808
134,Porthmadog,-4.1333839999999995,52.92784,0.04020848687474875,0.06217034577585657,0.20116467263816096
135,Bangor,-4.129263,53.22739,0.12413143622883714,0.12428944847321063,0.2819241146173355
